"f","count"
"original_shape_Elongation",70
"wavelet.LHH_firstorder_Median",31
"wavelet.LHH_firstorder_Skewness",55
"wavelet.HLH_glcm_ClusterShade",60
"wavelet.HHL_firstorder_Mean",31
"logarithm_firstorder_Maximum",5
"wavelet.LLH_firstorder_Variance",4
"wavelet.HHH_glcm_Autocorrelation",85
"wavelet.LHH_glcm_ClusterShade",18
"wavelet.HLL_firstorder_Skewness",10
"wavelet.HLH_firstorder_Skewness",30
"wavelet.HLH_gldm_DependenceNonUniformityNormalized",11
"wavelet.HLH_gldm_HighGrayLevelEmphasis",117
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",7
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",77
"wavelet.LHH_gldm_HighGrayLevelEmphasis",27
"wavelet.HHH_firstorder_Kurtosis",12
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",58
"wavelet.LLH_glcm_ClusterShade",36
"logarithm_firstorder_Kurtosis",27
"wavelet.HLL_glcm_JointAverage",11
"lbp.3D.m1_firstorder_Skewness",24
"wavelet.HHL_firstorder_Median",36
"wavelet.HHH_glcm_ClusterShade",31
"original_shape_Sphericity",41
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",9
"lbp.3D.k_firstorder_10Percentile",18
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",17
"wavelet.LLH_firstorder_Skewness",23
"original_shape_Flatness",30
"wavelet.HHH_firstorder_Skewness",14
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",2
"lbp.3D.m2_firstorder_Maximum",3
"wavelet.HHH_firstorder_90Percentile",1
"wavelet.HHH_firstorder_Median",7
"wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis",7
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",10
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",38
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",5
"wavelet.HHL_glcm_InverseVariance",3
"logarithm_firstorder_RobustMeanAbsoluteDeviation",2
"wavelet.LHH_firstorder_Mean",6
"original_firstorder_10Percentile",6
"wavelet.LHH_firstorder_RootMeanSquared",2
"wavelet.HLH_glszm_GrayLevelVariance",1
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",1
"wavelet.HLH_glrlm_LongRunEmphasis",2
"wavelet.LHH_glszm_GrayLevelVariance",1
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",8
"wavelet.LHL_firstorder_RootMeanSquared",1
"wavelet.LHL_firstorder_Variance",1
"wavelet.HHH_firstorder_Mean",2
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",3
"original_gldm_LowGrayLevelEmphasis",2
"wavelet.HLL_glcm_ClusterShade",5
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",2
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",2
"wavelet.HLH_firstorder_Median",5
"wavelet.HLH_firstorder_Mean",2
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",2
"wavelet.LHL_firstorder_Kurtosis",1
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",3
"wavelet.LLL_firstorder_Median",2
"original_firstorder_Kurtosis",4
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.HLL_firstorder_Median",1
"wavelet.HHH_glszm_GrayLevelVariance",1
"wavelet.HHL_firstorder_Kurtosis",1
"logarithm_firstorder_10Percentile",1
