"f","count"
"original_firstorder_Maximum",48
"original_gldm_LowGrayLevelEmphasis",111
"wavelet.LLH_firstorder_Mean",52
"wavelet.LLH_firstorder_Median",114
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",164
"wavelet.LHH_firstorder_Median",106
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",6
"wavelet.HLH_firstorder_Mean",93
"wavelet.HLH_firstorder_Median",77
"wavelet.HHL_firstorder_Mean",216
"wavelet.HHL_firstorder_Median",156
"wavelet.HHL_glszm_GrayLevelVariance",12
"wavelet.HHH_firstorder_Mean",135
"wavelet.HHH_firstorder_Median",36
"logarithm_glrlm_LongRunLowGrayLevelEmphasis",199
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",79
"logarithm_glszm_ZoneEntropy",82
"wavelet.LHH_firstorder_Mean",65
"wavelet.HHL_glcm_JointAverage",19
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",162
"logarithm_firstorder_Maximum",91
"logarithm_firstorder_Mean",45
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",15
"wavelet.LHH_glrlm_LowGrayLevelRunEmphasis",55
"wavelet.LHH_gldm_LowGrayLevelEmphasis",101
"wavelet.HLH_glcm_ClusterShade",173
"wavelet.HLH_gldm_LowGrayLevelEmphasis",129
"wavelet.HHL_firstorder_Skewness",29
"wavelet.HHH_gldm_HighGrayLevelEmphasis",119
"lbp.3D.m1_firstorder_Median",45
"logarithm_firstorder_Kurtosis",2
"wavelet.HLH_gldm_DependenceNonUniformityNormalized",40
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",43
"wavelet.HHL_gldm_DependenceNonUniformity",9
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",16
"wavelet.HLL_firstorder_Mean",26
"wavelet.HHL_glcm_InverseVariance",69
"lbp.3D.m2_firstorder_Maximum",6
"lbp.3D.k_firstorder_10Percentile",17
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",2
"wavelet.HHH_glcm_ClusterShade",53
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",103
"log.sigma.2.0.mm.3D_firstorder_Maximum",20
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",4
"wavelet.HHH_glszm_GrayLevelVariance",16
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",15
"wavelet.HLH_gldm_DependenceNonUniformity",12
"original_shape_Flatness",41
"log.sigma.1.0.mm.3D_firstorder_RootMeanSquared",22
"wavelet.LLH_firstorder_Skewness",12
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",8
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",7
"log.sigma.3.0.mm.3D_firstorder_Maximum",10
"wavelet.HHH_firstorder_Variance",1
"log.sigma.3.0.mm.3D_glcm_ClusterShade",8
"wavelet.HLH_firstorder_Kurtosis",9
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",59
"wavelet.HHH_firstorder_Skewness",36
"logarithm_glcm_InverseVariance",9
"logarithm_glszm_GrayLevelNonUniformityNormalized",11
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",15
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",10
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",16
"wavelet.HHH_glrlm_GrayLevelNonUniformity",20
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",29
"log.sigma.1.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",16
"log.sigma.2.0.mm.3D_glszm_GrayLevelVariance",2
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",1
"logarithm_firstorder_InterquartileRange",16
"wavelet.HLL_firstorder_Median",16
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",6
"wavelet.LHL_firstorder_Median",12
"wavelet.HHL_firstorder_Kurtosis",3
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",11
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",1
"wavelet.LHH_glszm_GrayLevelVariance",5
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",1
"lbp.3D.m2_firstorder_Kurtosis",20
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",5
"wavelet.LHL_glcm_Imc1",1
"log.sigma.2.0.mm.3D_glszm_ZoneEntropy",1
"wavelet.LLH_firstorder_RootMeanSquared",6
"wavelet.HLH_glszm_GrayLevelVariance",4
"wavelet.HHH_glrlm_RunEntropy",6
"original_glrlm_ShortRunLowGrayLevelEmphasis",9
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",2
"wavelet.HHL_glcm_Imc2",2
"log.sigma.3.0.mm.3D_firstorder_Minimum",1
"gradient_firstorder_10Percentile",2
"wavelet.HHH_glszm_SmallAreaEmphasis",7
"wavelet.LLH_firstorder_Kurtosis",2
"original_shape_Sphericity",7
"wavelet.LHH_glcm_ClusterShade",8
"wavelet.LLL_glszm_LowGrayLevelZoneEmphasis",3
"logarithm_gldm_DependenceEntropy",11
