"f","count"
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",165
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",110
"wavelet.HLL_glcm_Correlation",38
"wavelet.LLH_glcm_InverseVariance",145
"wavelet.LLH_firstorder_Kurtosis",129
"wavelet.LLH_glrlm_RunVariance",77
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",61
"logarithm_gldm_SmallDependenceLowGrayLevelEmphasis",123
"wavelet.HLL_glcm_Imc1",3
"gradient_glcm_Correlation",3
"wavelet.LHL_glcm_InverseVariance",71
"logarithm_glszm_SmallAreaEmphasis",68
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",18
"wavelet.LLL_firstorder_Minimum",111
"original_glszm_ZoneEntropy",6
"log.sigma.3.0.mm.3D_glszm_GrayLevelVariance",96
"gradient_glszm_LargeAreaLowGrayLevelEmphasis",4
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",4
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",51
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",12
"logarithm_glrlm_GrayLevelVariance",42
"wavelet.LHL_glcm_Correlation",7
"wavelet.LHL_firstorder_Minimum",11
"original_shape_Flatness",10
"logarithm_glcm_InverseVariance",42
"original_shape_Sphericity",73
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",20
"wavelet.HHH_glcm_ClusterShade",4
"wavelet.HHL_glszm_GrayLevelVariance",25
"logarithm_glszm_GrayLevelVariance",63
"original_glcm_MaximumProbability",19
"wavelet.HLL_glszm_SizeZoneNonUniformity",14
"wavelet.HHH_glrlm_GrayLevelNonUniformity",11
"wavelet.HHL_glcm_Imc2",5
"wavelet.HHL_glcm_InverseVariance",1
"log.sigma.1.0.mm.3D_gldm_DependenceEntropy",24
"log.sigma.3.0.mm.3D_glcm_ClusterShade",3
"wavelet.LLH_gldm_DependenceNonUniformity",28
"logarithm_glszm_LowGrayLevelZoneEmphasis",8
"wavelet.HHL_firstorder_Skewness",41
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",18
"lbp.3D.m2_firstorder_Kurtosis",55
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",13
"wavelet.LHL_firstorder_Median",2
"wavelet.HLH_gldm_DependenceVariance",7
"wavelet.HLH_gldm_DependenceEntropy",19
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",7
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",10
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",20
"wavelet.HLH_glrlm_RunEntropy",5
"wavelet.HHL_gldm_DependenceNonUniformity",2
"wavelet.HLL_firstorder_Median",29
"logarithm_glcm_MaximumProbability",1
"log.sigma.1.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",3
"logarithm_glszm_GrayLevelNonUniformity",9
"log.sigma.1.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",14
"wavelet.HLH_gldm_DependenceNonUniformity",25
"log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",5
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",9
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",7
"logarithm_glcm_DifferenceVariance",29
"wavelet.LHL_firstorder_90Percentile",11
"lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis",2
"wavelet.LHL_glcm_ClusterShade",1
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",12
"wavelet.LHL_firstorder_RootMeanSquared",17
"wavelet.HLL_glcm_Imc2",6
"wavelet.LLH_glcm_Imc1",4
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",2
