"f","count"
"original_shape_Flatness",213
"original_shape_Sphericity",134
"original_firstorder_Entropy",45
"original_gldm_DependenceEntropy",45
"log.sigma.1.0.mm.3D_firstorder_Mean",188
"log.sigma.1.0.mm.3D_firstorder_RootMeanSquared",190
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",222
"log.sigma.1.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",221
"log.sigma.2.0.mm.3D_firstorder_RootMeanSquared",213
"log.sigma.2.0.mm.3D_glcm_Imc2",35
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",56
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",122
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",65
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",56
"log.sigma.3.0.mm.3D_firstorder_Median",98
"log.sigma.3.0.mm.3D_glcm_Autocorrelation",119
"log.sigma.3.0.mm.3D_glcm_InverseVariance",95
"log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized",135
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",83
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",149
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",183
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",58
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",234
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",227
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",192
"log.sigma.3.0.mm.3D_gldm_LowGrayLevelEmphasis",71
"wavelet.LLH_firstorder_Mean",74
"wavelet.LLH_firstorder_Skewness",67
"wavelet.LLH_glcm_DifferenceVariance",55
"wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized",146
"wavelet.LLH_glrlm_LongRunEmphasis",197
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",217
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",237
"wavelet.LLH_gldm_DependenceNonUniformity",114
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",115
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",70
"wavelet.LHL_firstorder_Median",30
"wavelet.LHL_glcm_ClusterShade",117
"wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis",197
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",236
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",236
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",63
"wavelet.LHL_glszm_GrayLevelVariance",21
"wavelet.LHL_glszm_ZoneEntropy",63
"wavelet.LHL_gldm_DependenceVariance",150
"wavelet.LHH_firstorder_Mean",193
"wavelet.LHH_firstorder_Median",228
"wavelet.LHH_firstorder_Skewness",73
"wavelet.LHH_glcm_Imc2",37
"wavelet.LHH_glcm_InverseVariance",207
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",163
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",198
"wavelet.LHH_glszm_SizeZoneNonUniformity",64
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",147
"wavelet.LHH_gldm_DependenceVariance",157
"wavelet.HLL_firstorder_Mean",124
"wavelet.HLL_glcm_Correlation",39
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",245
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",245
"wavelet.HLL_gldm_DependenceEntropy",88
"wavelet.HLL_gldm_DependenceNonUniformityNormalized",131
"wavelet.HLH_firstorder_Mean",183
"wavelet.HLH_firstorder_Median",194
"wavelet.HLH_firstorder_Skewness",62
"wavelet.HLH_glcm_Correlation",19
"wavelet.HLH_glrlm_LongRunEmphasis",238
"wavelet.HLH_glrlm_RunEntropy",149
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",181
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",197
"wavelet.HLH_gldm_DependenceNonUniformity",184
"wavelet.HLH_gldm_DependenceNonUniformityNormalized",232
"wavelet.HLH_gldm_DependenceVariance",134
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",121
"wavelet.HHL_firstorder_Kurtosis",47
"wavelet.HHL_firstorder_Mean",159
"wavelet.HHL_firstorder_Median",222
"wavelet.HHL_glcm_Imc1",97
"wavelet.HHL_glcm_Imc2",90
"wavelet.HHL_glrlm_LongRunEmphasis",180
"wavelet.HHL_glrlm_RunEntropy",238
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",207
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",95
"wavelet.HHL_glszm_LowGrayLevelZoneEmphasis",228
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",178
"wavelet.HHL_gldm_DependenceVariance",217
"wavelet.HHH_firstorder_Mean",235
"wavelet.HHH_firstorder_Median",243
"wavelet.HHH_firstorder_Skewness",159
"wavelet.HHH_glcm_Imc2",58
"wavelet.HHH_glrlm_RunLengthNonUniformity",13
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",242
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",246
"wavelet.HHH_glszm_GrayLevelVariance",120
"wavelet.HHH_gldm_DependenceNonUniformity",195
"wavelet.HHH_gldm_DependenceNonUniformityNormalized",232
"wavelet.HHH_gldm_DependenceVariance",182
"wavelet.HHH_gldm_LowGrayLevelEmphasis",246
"wavelet.LLL_glrlm_RunEntropy",20
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",89
"gradient_glszm_LowGrayLevelZoneEmphasis",169
"lbp.3D.m2_firstorder_RootMeanSquared",248
"lbp.3D.m2_firstorder_Skewness",245
"lbp.3D.m2_glcm_ClusterShade",142
"lbp.3D.m2_glrlm_LongRunHighGrayLevelEmphasis",240
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",248
"lbp.3D.k_glcm_Imc1",147
"lbp.3D.k_glszm_GrayLevelNonUniformityNormalized",153
"lbp.3D.k_glszm_GrayLevelVariance",182
"lbp.3D.k_glszm_HighGrayLevelZoneEmphasis",191
"logarithm_firstorder_Kurtosis",221
"logarithm_firstorder_Skewness",237
"logarithm_glcm_ClusterShade",184
"logarithm_glcm_JointEnergy",158
"logarithm_glcm_JointEntropy",158
"logarithm_glcm_InverseVariance",104
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",117
"logarithm_gldm_DependenceEntropy",161
"original_glszm_SmallAreaHighGrayLevelEmphasis",55
"log.sigma.1.0.mm.3D_glcm_Imc1",173
"log.sigma.1.0.mm.3D_glcm_Imc2",174
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",56
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",124
"log.sigma.1.0.mm.3D_glszm_GrayLevelVariance",138
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",114
"log.sigma.1.0.mm.3D_gldm_DependenceNonUniformityNormalized",29
"log.sigma.2.0.mm.3D_firstorder_Skewness",48
"log.sigma.2.0.mm.3D_glcm_Autocorrelation",128
"log.sigma.2.0.mm.3D_glszm_LargeAreaEmphasis",79
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",138
"wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation",63
"wavelet.LLH_glrlm_RunEntropy",167
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",158
"wavelet.LLH_gldm_DependenceVariance",186
"wavelet.LHL_firstorder_Mean",142
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",19
"wavelet.LHH_firstorder_InterquartileRange",31
"wavelet.LHH_glcm_ClusterProminence",114
"wavelet.LHH_glcm_ClusterShade",154
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",117
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",111
"wavelet.LHH_glszm_GrayLevelVariance",131
"wavelet.LHH_glszm_ZoneEntropy",139
