"f","count"
"wavelet.LLH_gldm_DependenceNonUniformity",63
"wavelet.LLL_firstorder_TotalEnergy",113
"original_glszm_ZoneEntropy",53
"logarithm_gldm_DependenceEntropy",82
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",72
"log.sigma.3.0.mm.3D_glszm_ZoneEntropy",114
"original_shape_SurfaceVolumeRatio",83
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",79
"wavelet.HLH_gldm_DependenceNonUniformity",10
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformity",84
"wavelet.HHH_glrlm_GrayLevelNonUniformity",49
"wavelet.LLL_firstorder_Mean",67
"wavelet.LLH_firstorder_Median",49
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",17
"wavelet.LHL_glszm_SizeZoneNonUniformity",50
"wavelet.LLL_glszm_ZoneEntropy",54
"logarithm_gldm_GrayLevelVariance",62
"wavelet.LHL_firstorder_Median",4
"logarithm_firstorder_Entropy",43
"log.sigma.3.0.mm.3D_glszm_GrayLevelVariance",9
"original_shape_MajorAxisLength",50
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",19
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",3
"log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",40
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",2
"log.sigma.1.0.mm.3D_firstorder_Median",3
"log.sigma.2.0.mm.3D_glszm_GrayLevelVariance",3
"log.sigma.3.0.mm.3D_glszm_ZonePercentage",6
"gradient_glszm_SizeZoneNonUniformity",7
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",8
"wavelet.LHH_gldm_DependenceNonUniformity",6
"original_gldm_DependenceEntropy",3
"lbp.3D.m1_glcm_ClusterShade",3
"wavelet.LLH_glrlm_RunEntropy",1
"lbp.3D.k_glcm_Imc2",1
"wavelet.HLH_glcm_ClusterShade",3
"lbp.3D.m2_firstorder_Maximum",1
"wavelet.HHH_glszm_ZoneVariance",1
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",1
"logarithm_glcm_ClusterProminence",1
"wavelet.LLL_glcm_ClusterShade",1
