"f","count"
"original_shape_Elongation",201
"original_shape_Sphericity",65
"original_firstorder_90Percentile",104
"original_firstorder_Minimum",42
"original_glrlm_HighGrayLevelRunEmphasis",86
"original_glszm_LargeAreaLowGrayLevelEmphasis",157
"original_glszm_SmallAreaLowGrayLevelEmphasis",39
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",105
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",138
"log.sigma.1.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",205
"log.sigma.1.0.mm.3D_gldm_DependenceNonUniformityNormalized",166
"log.sigma.2.0.mm.3D_glcm_Imc2",107
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",214
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",30
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",224
"log.sigma.3.0.mm.3D_glcm_Correlation",164
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",150
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",128
"log.sigma.3.0.mm.3D_glszm_GrayLevelVariance",122
"log.sigma.3.0.mm.3D_gldm_DependenceEntropy",92
"wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized",49
"wavelet.LLH_glrlm_LongRunEmphasis",197
"wavelet.LLH_glrlm_RunEntropy",193
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",183
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",203
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",53
"wavelet.LLH_gldm_DependenceEntropy",194
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",246
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",246
"wavelet.LHL_glszm_SizeZoneNonUniformity",57
"wavelet.LHL_gldm_DependenceEntropy",197
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",199
"wavelet.LHH_firstorder_Mean",144
"wavelet.LHH_firstorder_Median",243
"wavelet.LHH_glrlm_RunEntropy",169
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",185
"wavelet.LHH_glszm_GrayLevelVariance",85
"wavelet.LHH_gldm_DependenceVariance",190
"wavelet.HLL_firstorder_Kurtosis",25
"wavelet.HLL_glcm_ClusterShade",34
"wavelet.HLL_glrlm_GrayLevelNonUniformityNormalized",78
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",215
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",232
"wavelet.HLL_glszm_GrayLevelNonUniformityNormalized",32
"wavelet.HLL_glszm_GrayLevelVariance",46
"wavelet.HLL_glszm_LowGrayLevelZoneEmphasis",221
"wavelet.HLH_firstorder_Kurtosis",36
"wavelet.HLH_firstorder_Median",136
"wavelet.HLH_firstorder_Skewness",95
"wavelet.HLH_glcm_ClusterProminence",41
"wavelet.HLH_glcm_ClusterShade",55
"wavelet.HLH_glcm_InverseVariance",233
"wavelet.HLH_glrlm_LongRunEmphasis",180
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",203
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",220
"wavelet.HLH_gldm_DependenceVariance",226
"wavelet.HHL_firstorder_Mean",125
"wavelet.HHL_firstorder_Median",171
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",197
"wavelet.HHL_glszm_GrayLevelVariance",97
"wavelet.HHL_gldm_DependenceNonUniformity",143
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",195
"wavelet.HHH_firstorder_Median",238
"wavelet.HHH_glcm_Autocorrelation",141
"wavelet.HHH_glcm_Correlation",24
"wavelet.HHH_glcm_Imc1",198
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",177
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",141
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",161
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",138
"wavelet.HHH_glszm_ZoneEntropy",166
"wavelet.LLL_firstorder_Mean",97
"wavelet.LLL_glszm_SmallAreaEmphasis",111
"wavelet.LLL_glszm_ZoneVariance",182
"wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis",59
"gradient_firstorder_Minimum",136
"gradient_glszm_GrayLevelVariance",106
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",22
"lbp.3D.m1_firstorder_Mean",222
"lbp.3D.m1_firstorder_RootMeanSquared",198
"lbp.3D.m1_glcm_Imc2",134
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",150
"lbp.3D.m2_firstorder_Maximum",224
"lbp.3D.m2_firstorder_Median",246
"lbp.3D.m2_glrlm_LongRunHighGrayLevelEmphasis",246
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",247
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",188
"lbp.3D.k_firstorder_Minimum",129
"lbp.3D.k_glcm_ClusterProminence",185
"lbp.3D.k_glszm_LowGrayLevelZoneEmphasis",201
"lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis",196
