"f","count"
"original_shape_Flatness",121
"original_glrlm_GrayLevelNonUniformity",118
"original_glszm_LowGrayLevelZoneEmphasis",114
"original_glszm_SizeZoneNonUniformityNormalized",102
"original_glszm_SmallAreaLowGrayLevelEmphasis",124
"log.sigma.2.0.mm.3D_firstorder_10Percentile",170
"log.sigma.2.0.mm.3D_glcm_Imc1",91
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",104
"log.sigma.2.0.mm.3D_gldm_DependenceNonUniformityNormalized",91
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",37
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",137
"log.sigma.4.0.mm.3D_glcm_Correlation",91
"log.sigma.4.0.mm.3D_glcm_Imc1",90
"log.sigma.4.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",15
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",154
"log.sigma.5.0.mm.3D_firstorder_90Percentile",89
"log.sigma.5.0.mm.3D_firstorder_Kurtosis",47
"log.sigma.5.0.mm.3D_firstorder_RootMeanSquared",96
"log.sigma.5.0.mm.3D_firstorder_Skewness",50
"log.sigma.5.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",51
"wavelet.LLH_glcm_ClusterProminence",83
"wavelet.LLH_glcm_JointEntropy",108
"wavelet.LLH_glrlm_RunVariance",218
"wavelet.LHL_glcm_ClusterProminence",111
"wavelet.LHL_glcm_Contrast",110
"wavelet.LHL_glcm_DifferenceAverage",142
"wavelet.LHL_glszm_SmallAreaEmphasis",139
"wavelet.LHH_glcm_Autocorrelation",185
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",120
"wavelet.LHH_glszm_SmallAreaEmphasis",201
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",160
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",220
"wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis",185
"wavelet.HLL_firstorder_Kurtosis",26
"wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation",94
"wavelet.HLL_glcm_Id",243
"wavelet.HLL_glrlm_GrayLevelVariance",244
"wavelet.HLL_glszm_SmallAreaEmphasis",190
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",105
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",190
"wavelet.HHL_glcm_Imc2",70
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",23
"wavelet.HHH_firstorder_90Percentile",89
"wavelet.LLL_glcm_Imc1",212
"wavelet.LLL_glrlm_RunVariance",112
"wavelet.LLL_glszm_SizeZoneNonUniformityNormalized",16
"wavelet.LLL_gldm_DependenceNonUniformity",35
"original_glcm_SumEntropy",71
"log.sigma.1.0.mm.3D_glcm_MaximumProbability",12
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",56
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",42
"log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",9
"log.sigma.5.0.mm.3D_firstorder_Median",30
"log.sigma.5.0.mm.3D_glcm_Correlation",76
"log.sigma.5.0.mm.3D_glrlm_LongRunEmphasis",125
"log.sigma.5.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",52
"log.sigma.5.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",54
"log.sigma.5.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",178
"wavelet.LLH_firstorder_Skewness",71
"wavelet.LHL_glrlm_LongRunEmphasis",36
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",161
"wavelet.LHH_glszm_ZoneEntropy",77
"wavelet.HLH_firstorder_Mean",21
"wavelet.HLH_glcm_Imc1",89
"wavelet.HLH_glszm_SmallAreaEmphasis",175
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",176
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",196
"wavelet.HHL_firstorder_Mean",59
"wavelet.HHH_glszm_LowGrayLevelZoneEmphasis",155
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",132
"original_shape_Elongation",161
"log.sigma.1.0.mm.3D_glcm_ClusterShade",8
"log.sigma.1.0.mm.3D_glcm_JointEnergy",37
"log.sigma.1.0.mm.3D_glcm_Id",37
"log.sigma.3.0.mm.3D_glcm_ClusterShade",39
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",41
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",6
"wavelet.LHL_firstorder_Skewness",41
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",22
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",101
"wavelet.HLL_firstorder_Skewness",33
"wavelet.HLL_glcm_InverseVariance",50
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",68
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",29
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",3
"wavelet.HHH_gldm_DependenceVariance",63
"wavelet.LLL_glrlm_LongRunLowGrayLevelEmphasis",17
"original_glszm_GrayLevelNonUniformityNormalized",13
"original_gldm_LargeDependenceLowGrayLevelEmphasis",5
"log.sigma.1.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",10
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",15
"log.sigma.5.0.mm.3D_firstorder_Maximum",27
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",50
"wavelet.LHH_firstorder_Mean",112
"wavelet.HLH_glcm_Idmn",38
"wavelet.HHL_firstorder_Median",18
"wavelet.LLL_glcm_Idn",11
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",18
"original_shape_Sphericity",6
"original_glrlm_LongRunHighGrayLevelEmphasis",36
"original_glrlm_RunLengthNonUniformity",49
"original_glszm_LargeAreaHighGrayLevelEmphasis",28
"log.sigma.1.0.mm.3D_firstorder_Skewness",29
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",30
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",122
"log.sigma.5.0.mm.3D_firstorder_InterquartileRange",18
"log.sigma.5.0.mm.3D_glcm_Idn",46
"log.sigma.5.0.mm.3D_glszm_SmallAreaEmphasis",68
"wavelet.LLH_glcm_DifferenceAverage",88
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",70
"wavelet.HLL_firstorder_RootMeanSquared",65
"wavelet.HLL_glcm_ClusterShade",68
"wavelet.HLH_glszm_ZoneEntropy",20
"wavelet.LLL_firstorder_Uniformity",79
"original_glszm_LargeAreaEmphasis",60
"original_glszm_ZoneVariance",51
"log.sigma.3.0.mm.3D_firstorder_Skewness",53
"log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",21
"wavelet.HHH_glszm_SmallAreaEmphasis",27
"original_glcm_Imc1",13
"original_glszm_SmallAreaEmphasis",53
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",14
"log.sigma.4.0.mm.3D_glcm_MaximumProbability",122
"wavelet.LHL_firstorder_Kurtosis",46
"wavelet.LHL_glcm_ClusterShade",70
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",20
"original_glcm_Correlation",30
"wavelet.LLH_firstorder_Kurtosis",28
"wavelet.HHH_firstorder_Kurtosis",12
"wavelet.LLL_glrlm_LongRunHighGrayLevelEmphasis",10
"original_glrlm_LongRunEmphasis",32
"log.sigma.5.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",32
"log.sigma.5.0.mm.3D_glszm_LargeAreaEmphasis",26
"wavelet.LLL_firstorder_90Percentile",112
"original_glrlm_RunVariance",39
"log.sigma.5.0.mm.3D_glszm_GrayLevelVariance",18
"wavelet.HLH_firstorder_Skewness",4
"wavelet.HHH_firstorder_Skewness",25
"wavelet.LLL_glcm_Correlation",15
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",11
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",16
"wavelet.HHH_firstorder_Mean",12
"wavelet.HHH_glszm_ZoneEntropy",11
"log.sigma.3.0.mm.3D_firstorder_Uniformity",15
"log.sigma.4.0.mm.3D_firstorder_10Percentile",15
"wavelet.LLL_glrlm_GrayLevelNonUniformity",25
"original_glcm_Idmn",39
"wavelet.LLH_firstorder_90Percentile",12
"wavelet.LHH_firstorder_Skewness",24
"wavelet.HLH_firstorder_Kurtosis",7
"wavelet.HLH_glszm_GrayLevelVariance",29
"wavelet.HHL_firstorder_Skewness",51
