"f","count"
"original_shape_Elongation",249
"original_shape_Flatness",249
"original_shape_Sphericity",188
"original_glcm_Correlation",82
"original_glcm_Imc1",138
"original_glrlm_GrayLevelNonUniformity",243
"original_glrlm_LongRunHighGrayLevelEmphasis",249
"original_glrlm_LongRunLowGrayLevelEmphasis",192
"original_glrlm_RunLengthNonUniformity",139
"original_glrlm_RunPercentage",248
"original_glrlm_RunVariance",244
"original_glrlm_ShortRunLowGrayLevelEmphasis",164
"original_glszm_LargeAreaHighGrayLevelEmphasis",239
"original_glszm_LargeAreaLowGrayLevelEmphasis",250
"original_glszm_SizeZoneNonUniformityNormalized",247
"original_glszm_SmallAreaEmphasis",223
"original_glszm_SmallAreaLowGrayLevelEmphasis",219
"original_glszm_ZoneVariance",248
"original_gldm_DependenceVariance",219
"log.sigma.1.0.mm.3D_firstorder_Skewness",250
"log.sigma.1.0.mm.3D_glcm_ClusterShade",242
"log.sigma.1.0.mm.3D_glcm_Id",219
"log.sigma.1.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",82
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",194
"log.sigma.2.0.mm.3D_glcm_Imc1",245
"log.sigma.2.0.mm.3D_glrlm_RunVariance",92
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",245
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",248
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",245
"log.sigma.2.0.mm.3D_gldm_DependenceNonUniformityNormalized",197
"log.sigma.3.0.mm.3D_firstorder_10Percentile",236
"log.sigma.3.0.mm.3D_firstorder_Skewness",225
"log.sigma.3.0.mm.3D_glcm_ClusterShade",122
"log.sigma.3.0.mm.3D_glcm_JointEnergy",144
"log.sigma.3.0.mm.3D_glcm_Imc1",250
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",247
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",245
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",241
"log.sigma.4.0.mm.3D_firstorder_Kurtosis",227
"log.sigma.4.0.mm.3D_glcm_Correlation",249
"log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",135
"log.sigma.4.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",209
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",230
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",249
"log.sigma.5.0.mm.3D_firstorder_Maximum",148
"log.sigma.5.0.mm.3D_firstorder_Mean",207
