"f","count"
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",193
"wavelet.LLH_glrlm_RunVariance",124
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",91
"log.sigma.5.0.mm.3D_glcm_Idmn",133
"log.sigma.5.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",9
"wavelet.HHH_glszm_HighGrayLevelZoneEmphasis",1
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",201
"log.sigma.3.0.mm.3D_glcm_Imc1",13
"wavelet.LLH_firstorder_Kurtosis",5
"wavelet.LLL_firstorder_90Percentile",26
"log.sigma.5.0.mm.3D_glszm_GrayLevelVariance",14
"wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis",9
"wavelet.LHH_firstorder_Kurtosis",44
"wavelet.HLL_glcm_Id",17
"log.sigma.5.0.mm.3D_glcm_Correlation",37
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",4
"wavelet.HHH_gldm_DependenceEntropy",105
"wavelet.HHL_glcm_Contrast",39
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",87
"log.sigma.5.0.mm.3D_firstorder_Maximum",20
"wavelet.LLL_glcm_Idn",3
"original_glszm_LargeAreaHighGrayLevelEmphasis",54
"original_shape_Flatness",7
"log.sigma.4.0.mm.3D_firstorder_Kurtosis",48
"original_shape_Sphericity",1
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",3
"wavelet.LLL_glcm_Imc1",4
"wavelet.HHL_glszm_ZoneVariance",3
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",31
"wavelet.HHL_firstorder_Skewness",3
"log.sigma.5.0.mm.3D_firstorder_Skewness",47
"original_glszm_GrayLevelNonUniformityNormalized",6
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",4
"wavelet.LLL_gldm_DependenceNonUniformity",4
"wavelet.LHL_glrlm_LongRunEmphasis",25
"wavelet.LLH_glcm_ClusterShade",53
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",39
"wavelet.HHH_glcm_Imc2",2
"log.sigma.3.0.mm.3D_glcm_JointEnergy",10
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",3
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",17
"log.sigma.4.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",1
"log.sigma.5.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",5
"wavelet.LHH_glcm_JointEntropy",32
"original_glrlm_LongRunHighGrayLevelEmphasis",2
"log.sigma.5.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",6
"wavelet.HHH_glszm_LargeAreaEmphasis",3
"wavelet.LHH_glszm_ZoneEntropy",3
"wavelet.LLL_glrlm_LongRunHighGrayLevelEmphasis",13
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",20
"wavelet.HLH_glcm_Imc2",4
"log.sigma.5.0.mm.3D_firstorder_Mean",1
"log.sigma.2.0.mm.3D_gldm_DependenceNonUniformityNormalized",2
"wavelet.HHL_glszm_SmallAreaEmphasis",1
"wavelet.LLL_glrlm_GrayLevelNonUniformity",5
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",4
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",7
"log.sigma.4.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",4
"wavelet.HHL_firstorder_Mean",1
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",2
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",6
"log.sigma.5.0.mm.3D_glcm_Idn",4
"log.sigma.5.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",3
"log.sigma.2.0.mm.3D_glcm_Imc1",1
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",5
"log.sigma.4.0.mm.3D_glcm_Correlation",2
"log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",4
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",1
"original_shape_Elongation",4
"wavelet.HLL_glrlm_GrayLevelVariance",2
"wavelet.LHH_glszm_SmallAreaEmphasis",1
"original_glszm_ZoneVariance",1
"wavelet.HLH_glszm_HighGrayLevelZoneEmphasis",1
"log.sigma.5.0.mm.3D_glcm_MaximumProbability",3
"wavelet.LHL_firstorder_Skewness",2
"log.sigma.5.0.mm.3D_glszm_SmallAreaEmphasis",4
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.LHL_glszm_SmallAreaEmphasis",4
"wavelet.HLL_firstorder_Skewness",4
"log.sigma.4.0.mm.3D_glcm_Idn",1
"original_glszm_GrayLevelNonUniformity",2
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",2
"wavelet.LLH_glcm_Idm",2
