"f","count"
"wavelet.LLH_firstorder_Median",18
"wavelet.HHL_glrlm_HighGrayLevelRunEmphasis",154
"wavelet.HHL_glrlm_LowGrayLevelRunEmphasis",109
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",11
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",158
"log.sigma.3.0.mm.3D_firstorder_Maximum",186
"wavelet.LLH_glrlm_LowGrayLevelRunEmphasis",10
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",4
"wavelet.LHH_firstorder_Median",48
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",30
"wavelet.HHH_firstorder_Mean",20
"wavelet.LLH_gldm_HighGrayLevelEmphasis",37
"wavelet.LLL_firstorder_Mean",100
"original_shape_Flatness",59
"original_shape_Sphericity",40
"wavelet.HLL_glcm_ClusterShade",51
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",5
"wavelet.LHH_firstorder_Mean",8
"wavelet.HHH_firstorder_Median",3
"wavelet.LLL_firstorder_Variance",27
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",26
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",2
"wavelet.LLH_glcm_ClusterShade",14
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",21
"wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis",35
"wavelet.LHH_gldm_LowGrayLevelEmphasis",25
"wavelet.LLH_firstorder_Skewness",8
"wavelet.HLL_firstorder_Mean",2
"wavelet.LLH_firstorder_RootMeanSquared",16
"wavelet.LHH_firstorder_Variance",9
"wavelet.HHL_firstorder_Mean",15
"wavelet.HLH_gldm_LowGrayLevelEmphasis",16
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",7
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",5
"lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis",1
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HHL_firstorder_Skewness",4
"wavelet.LHL_glrlm_RunEntropy",2
"wavelet.HHL_glcm_InverseVariance",4
"wavelet.LHH_gldm_DependenceVariance",1
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.HHH_firstorder_Skewness",7
"wavelet.LHL_firstorder_90Percentile",2
"lbp.3D.m2_glcm_JointAverage",6
"wavelet.LLH_firstorder_Mean",4
"wavelet.LHL_firstorder_Mean",3
"lbp.3D.m1_glcm_Correlation",1
"original_glszm_GrayLevelNonUniformityNormalized",1
"logarithm_glszm_LowGrayLevelZoneEmphasis",2
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.HLH_firstorder_Median",1
"wavelet.HLL_glcm_JointAverage",3
"wavelet.LHH_glcm_ClusterShade",1
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",1
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",2
"wavelet.HLL_firstorder_Skewness",2
"wavelet.HHL_glcm_ClusterShade",1
"wavelet.HLL_glrlm_RunEntropy",1
