"f","count"
"wavelet.HLH_firstorder_Mean",46
"wavelet.HHL_glrlm_HighGrayLevelRunEmphasis",50
"wavelet.HHL_glrlm_LowGrayLevelRunEmphasis",10
"wavelet.HHH_firstorder_Median",68
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",20
"wavelet.HLH_glcm_ClusterShade",44
"original_shape_Flatness",25
"wavelet.HHL_firstorder_Mean",44
"wavelet.HHH_glcm_ClusterShade",13
"log.sigma.3.0.mm.3D_firstorder_Maximum",27
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",28
"wavelet.HHH_glrlm_GrayLevelNonUniformity",4
"wavelet.HHL_firstorder_Median",104
"wavelet.HHH_firstorder_Skewness",14
"original_shape_Sphericity",6
"wavelet.HLH_firstorder_Median",22
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",11
"wavelet.HHH_firstorder_Mean",13
"wavelet.HLH_gldm_DependenceVariance",2
"wavelet.HHL_glcm_ClusterShade",9
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.LHH_firstorder_Variance",8
"wavelet.LLH_firstorder_RootMeanSquared",34
"wavelet.LHH_firstorder_Mean",16
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",8
"wavelet.LHL_glcm_Correlation",1
"wavelet.LLH_glcm_ClusterShade",7
"wavelet.HLL_glcm_ClusterShade",2
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",6
"lbp.3D.m2_firstorder_Maximum",3
"wavelet.LHH_gldm_DependenceNonUniformity",3
"wavelet.LLH_firstorder_Skewness",2
"wavelet.LLH_gldm_HighGrayLevelEmphasis",1
"wavelet.LLL_firstorder_Mean",3
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",1
"wavelet.LHH_firstorder_Median",4
"lbp.3D.m1_firstorder_Median",1
"wavelet.HHH_glszm_LowGrayLevelZoneEmphasis",1
"wavelet.HLL_glcm_JointAverage",2
"wavelet.HLH_gldm_LowGrayLevelEmphasis",1
