"f","count"
"gradient_glszm_SizeZoneNonUniformity",82
"original_glszm_SmallAreaHighGrayLevelEmphasis",104
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",62
"lbp.3D.m1_glcm_Correlation",9
"original_shape_Sphericity",80
"log.sigma.2.0.mm.3D_glcm_InverseVariance",38
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",39
"wavelet.LHL_glcm_Correlation",4
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",1
"wavelet.LLH_firstorder_Mean",19
"original_glszm_GrayLevelNonUniformityNormalized",34
"wavelet.LLH_glrlm_RunEntropy",13
"original_glcm_ClusterProminence",1
"wavelet.LLL_glszm_GrayLevelVariance",27
"logarithm_glszm_GrayLevelVariance",13
"wavelet.HLL_glszm_SizeZoneNonUniformity",22
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",2
"log.sigma.3.0.mm.3D_firstorder_Median",43
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",9
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",1
"wavelet.LLH_glcm_DifferenceVariance",5
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",10
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",1
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",2
"wavelet.LLH_firstorder_Median",34
"wavelet.LHL_firstorder_90Percentile",6
"wavelet.HLL_glcm_Correlation",1
"original_glcm_ClusterShade",7
"wavelet.HLH_firstorder_Mean",5
"wavelet.HLL_glrlm_RunEntropy",3
"wavelet.LLL_gldm_DependenceEntropy",2
"logarithm_gldm_DependenceNonUniformityNormalized",1
"wavelet.HLL_glszm_SmallAreaEmphasis",2
"lbp.3D.m1_glszm_SmallAreaEmphasis",2
"log.sigma.1.0.mm.3D_firstorder_Median",5
"original_glrlm_ShortRunLowGrayLevelEmphasis",1
"wavelet.LLL_glszm_SmallAreaEmphasis",5
"gradient_gldm_DependenceEntropy",1
"lbp.3D.m1_glrlm_LongRunLowGrayLevelEmphasis",1
"wavelet.LHL_glcm_Imc2",1
"log.sigma.2.0.mm.3D_firstorder_RootMeanSquared",7
"wavelet.HLL_firstorder_Mean",1
"logarithm_glszm_LowGrayLevelZoneEmphasis",1
"logarithm_glrlm_ShortRunHighGrayLevelEmphasis",2
"wavelet.LHH_glszm_GrayLevelVariance",2
"wavelet.LHH_glcm_Imc2",2
"wavelet.HLH_glcm_InverseVariance",1
"logarithm_glcm_MaximumProbability",2
"original_glszm_LargeAreaHighGrayLevelEmphasis",1
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",2
"log.sigma.1.0.mm.3D_gldm_DependenceEntropy",1
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.LLH_firstorder_RootMeanSquared",1
"wavelet.LLH_glcm_Imc1",2
"wavelet.HLH_glcm_Imc2",2
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",2
"logarithm_glszm_SizeZoneNonUniformity",1
"wavelet.LLL_firstorder_Mean",1
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.LLL_glszm_SizeZoneNonUniformity",1
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.HLL_glszm_GrayLevelVariance",1
"wavelet.LHH_glcm_ClusterShade",2
"log.sigma.3.0.mm.3D_firstorder_Maximum",1
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformity",1
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",1
"logarithm_gldm_DependenceVariance",1
"lbp.3D.k_firstorder_90Percentile",1
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",1
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.LHH_glszm_ZoneEntropy",1
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",2
"lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis",1
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",1
"lbp.3D.k_firstorder_10Percentile",1
"wavelet.LLH_gldm_DependenceNonUniformity",1
