"f","count"
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",492
"wavelet.LLH_firstorder_Median",222
"wavelet.HLL_glrlm_RunEntropy",242
"log.sigma.3.0.mm.3D_glcm_InverseVariance",87
"wavelet.HLH_glrlm_RunVariance",1
"wavelet.LLH_glrlm_RunEntropy",7
"wavelet.LHH_glcm_Imc2",17
"original_glszm_SizeZoneNonUniformityNormalized",15
"logarithm_gldm_DependenceVariance",3
"original_firstorder_InterquartileRange",14
"gradient_glszm_LowGrayLevelZoneEmphasis",8
"gradient_glcm_ClusterProminence",12
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",42
"lbp.3D.m2_firstorder_Uniformity",23
"log.sigma.2.0.mm.3D_glcm_InverseVariance",95
"logarithm_glszm_LowGrayLevelZoneEmphasis",4
"wavelet.HHL_glcm_InverseVariance",7
"wavelet.HLH_glcm_InverseVariance",30
"logarithm_glrlm_LongRunLowGrayLevelEmphasis",15
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",3
"original_shape_MajorAxisLength",17
"wavelet.HHH_firstorder_Median",3
"wavelet.HHH_glszm_SizeZoneNonUniformity",26
"wavelet.HHL_gldm_DependenceVariance",68
"wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis",55
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",33
"logarithm_firstorder_TotalEnergy",3
"wavelet.HLL_gldm_DependenceEntropy",10
"wavelet.LLH_glcm_DifferenceVariance",31
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",18
"lbp.3D.m2_glcm_JointAverage",8
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",3
"wavelet.LHL_glcm_Correlation",60
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",12
"wavelet.HHL_glszm_SmallAreaEmphasis",7
"lbp.3D.m1_gldm_LowGrayLevelEmphasis",79
"original_glszm_GrayLevelNonUniformityNormalized",14
"lbp.3D.m1_glcm_Correlation",11
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",2
"wavelet.HLL_glszm_ZoneEntropy",30
"wavelet.HLL_glszm_SizeZoneNonUniformityNormalized",8
"lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation",1
"original_shape_Sphericity",3
"wavelet.HHH_glszm_SmallAreaEmphasis",7
"wavelet.HLH_glrlm_RunLengthNonUniformity",4
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",10
"wavelet.LLH_glszm_ZoneEntropy",6
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",8
"wavelet.LLH_glcm_ClusterProminence",1
"wavelet.LLL_glcm_DifferenceVariance",5
"gradient_gldm_DependenceEntropy",1
"wavelet.HLL_firstorder_Median",2
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",4
"lbp.3D.k_firstorder_10Percentile",3
"logarithm_glszm_GrayLevelVariance",5
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.HLH_gldm_LowGrayLevelEmphasis",1
"wavelet.LLL_gldm_DependenceEntropy",2
"logarithm_gldm_DependenceNonUniformityNormalized",8
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",2
"wavelet.LLL_firstorder_Minimum",4
"log.sigma.3.0.mm.3D_glcm_Correlation",7
"wavelet.LHH_gldm_LowGrayLevelEmphasis",2
"wavelet.LLH_glcm_ClusterShade",5
"wavelet.HHH_gldm_LowGrayLevelEmphasis",1
"wavelet.LLH_firstorder_Minimum",3
"lbp.3D.m2_firstorder_Skewness",1
"lbp.3D.k_firstorder_Minimum",1
"lbp.3D.m2_glrlm_LongRunHighGrayLevelEmphasis",1
"wavelet.LLL_glszm_ZoneEntropy",2
"wavelet.HHL_glcm_Correlation",2
"wavelet.LHH_glrlm_GrayLevelNonUniformityNormalized",2
"lbp.3D.m1_glszm_SmallAreaLowGrayLevelEmphasis",2
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",1
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",1
"wavelet.LHL_firstorder_Kurtosis",2
"original_firstorder_Kurtosis",2
"wavelet.HLL_glszm_GrayLevelNonUniformityNormalized",12
"wavelet.HLH_glszm_SizeZoneNonUniformity",1
"original_firstorder_Mean",2
"wavelet.LHH_gldm_DependenceVariance",1
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformity",1
"wavelet.HHL_glcm_ClusterShade",1
"wavelet.LLH_glcm_Imc1",1
"wavelet.HLL_glszm_GrayLevelNonUniformity",2
"wavelet.LLL_glszm_GrayLevelNonUniformity",1
"original_glszm_SmallAreaLowGrayLevelEmphasis",2
