"f","count"
"log.sigma.2.0.mm.3D_glcm_Imc2",52
"log.sigma.2.0.mm.3D_gldm_DependenceVariance",22
"wavelet.LLH_firstorder_90Percentile",201
"wavelet.LLH_firstorder_Mean",181
"wavelet.LLH_glcm_JointAverage",49
"wavelet.LLH_glcm_Correlation",59
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",71
"wavelet.LHL_firstorder_Skewness",28
"wavelet.LHL_glcm_JointAverage",204
"wavelet.LHL_gldm_DependenceEntropy",22
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",194
"wavelet.LHH_glcm_ClusterProminence",17
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",45
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",28
"wavelet.HLL_glcm_Idmn",8
"wavelet.HLL_gldm_DependenceVariance",26
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",95
"wavelet.HHL_firstorder_Mean",141
"wavelet.HHL_glrlm_RunVariance",31
"wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis",51
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",63
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",29
"lbp.3D.m1_firstorder_90Percentile",29
"lbp.3D.m1_firstorder_Skewness",40
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",189
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",176
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",103
"lbp.3D.m2_glcm_Autocorrelation",165
"lbp.3D.m2_glcm_Correlation",25
"lbp.3D.m2_gldm_LargeDependenceEmphasis",64
"logarithm_firstorder_RobustMeanAbsoluteDeviation",12
"wavelet.LLH_firstorder_10Percentile",108
"wavelet.LLH_firstorder_InterquartileRange",27
"wavelet.LLH_glcm_Idmn",6
"wavelet.LHL_firstorder_Maximum",19
"wavelet.LHL_firstorder_Median",31
"wavelet.LHL_glcm_Imc1",49
"wavelet.LHL_glcm_Imc2",78
"wavelet.LHH_firstorder_90Percentile",128
"wavelet.LHH_firstorder_RootMeanSquared",79
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",72
"wavelet.HLL_glcm_ClusterShade",10
"wavelet.HLH_glcm_Imc1",25
"wavelet.HLH_gldm_LowGrayLevelEmphasis",38
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",12
"wavelet.HHL_glcm_ClusterShade",115
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",119
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",83
"lbp.3D.m1_glcm_JointEnergy",97
"lbp.3D.m1_glcm_MaximumProbability",97
"lbp.3D.m2_firstorder_Median",40
"lbp.3D.m2_glcm_ClusterProminence",74
"lbp.3D.m2_glcm_ClusterShade",51
"lbp.3D.k_glcm_ClusterShade",184
"logarithm_glcm_Idmn",27
"original_shape_Sphericity",52
"original_shape_SurfaceVolumeRatio",54
"log.sigma.3.0.mm.3D_glcm_Idm",14
"log.sigma.4.0.mm.3D_glcm_Imc2",13
"wavelet.LLH_firstorder_Skewness",49
"wavelet.LHL_glcm_Contrast",86
"wavelet.LHL_glcm_Correlation",137
"wavelet.LHH_glcm_InverseVariance",16
"wavelet.HLH_firstorder_InterquartileRange",17
"wavelet.HHH_glcm_Id",32
"wavelet.HHH_glcm_InverseVariance",28
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",8
"wavelet.HHH_gldm_LowGrayLevelEmphasis",12
"lbp.3D.m2_firstorder_Kurtosis",78
"lbp.3D.k_glcm_MaximumProbability",72
"logarithm_firstorder_Skewness",13
"log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",44
"wavelet.LHH_firstorder_Skewness",14
"wavelet.HHL_firstorder_Median",11
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",43
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",54
"wavelet.HHH_firstorder_Kurtosis",74
"wavelet.LLL_firstorder_10Percentile",79
"wavelet.LLL_glcm_Imc2",7
"lbp.3D.m1_glcm_ClusterShade",47
"lbp.3D.m2_firstorder_Skewness",25
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",9
"logarithm_firstorder_Maximum",78
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",29
"original_glcm_ClusterTendency",26
"log.sigma.4.0.mm.3D_glcm_Correlation",13
"wavelet.LLH_glcm_ClusterShade",101
"wavelet.LLH_glcm_Imc2",5
"wavelet.LHL_firstorder_Kurtosis",33
"wavelet.LHL_glcm_ClusterShade",26
"wavelet.LHL_gldm_GrayLevelVariance",34
"wavelet.HHL_glcm_Idmn",14
"wavelet.HHH_firstorder_Energy",24
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",14
"lbp.3D.k_firstorder_Skewness",14
"lbp.3D.k_glcm_Imc2",27
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",26
"original_gldm_LargeDependenceHighGrayLevelEmphasis",23
"log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis",21
"wavelet.LHH_glcm_Correlation",20
"wavelet.HLL_glcm_MaximumProbability",20
"wavelet.HLL_glszm_GrayLevelVariance",10
"wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis",20
"wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis",31
"wavelet.HHH_glcm_Imc1",32
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",48
"gradient_glrlm_LongRunLowGrayLevelEmphasis",31
"logarithm_glcm_Correlation",11
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",26
"wavelet.HLH_glszm_ZoneVariance",40
"wavelet.HHL_firstorder_Skewness",45
"lbp.3D.m2_firstorder_90Percentile",26
"lbp.3D.k_firstorder_Range",57
"lbp.3D.k_glcm_Correlation",16
"logarithm_firstorder_Minimum",32
"log.sigma.2.0.mm.3D_firstorder_Skewness",17
"log.sigma.3.0.mm.3D_glcm_JointEnergy",20
"wavelet.LLH_firstorder_Maximum",26
"wavelet.LHL_glcm_Idmn",16
"wavelet.LHH_firstorder_Kurtosis",23
"wavelet.LHH_glcm_ClusterShade",43
"wavelet.HLH_firstorder_Kurtosis",6
"wavelet.HHL_glcm_Correlation",21
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",17
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",41
"wavelet.HHH_firstorder_Mean",22
"gradient_glszm_SmallAreaEmphasis",8
"lbp.3D.m2_glrlm_GrayLevelNonUniformityNormalized",14
"logarithm_glcm_Imc1",9
"original_glszm_LargeAreaLowGrayLevelEmphasis",26
"log.sigma.4.0.mm.3D_glcm_MaximumProbability",39
"wavelet.LHL_firstorder_90Percentile",16
"wavelet.LHL_gldm_LargeDependenceEmphasis",32
"wavelet.LHH_glcm_Imc2",17
"wavelet.HHL_glcm_Imc1",26
"gradient_firstorder_InterquartileRange",9
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",16
"logarithm_glszm_SizeZoneNonUniformityNormalized",16
"wavelet.HLL_firstorder_Skewness",8
"gradient_firstorder_Skewness",22
"lbp.3D.m1_glcm_Imc2",12
"wavelet.LHL_firstorder_TotalEnergy",38
"wavelet.HHH_gldm_DependenceVariance",13
"lbp.3D.k_glrlm_RunVariance",32
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",18
"wavelet.LLH_glcm_MaximumProbability",12
"wavelet.LLH_glrlm_RunVariance",14
"gradient_glcm_Imc2",14
"lbp.3D.k_glcm_Idmn",55
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",18
"wavelet.LHL_firstorder_InterquartileRange",13
"wavelet.LHH_glrlm_RunLengthNonUniformityNormalized",50
"wavelet.HLL_glcm_Correlation",66
"lbp.3D.k_glrlm_LowGrayLevelRunEmphasis",18
"log.sigma.2.0.mm.3D_glcm_Imc1",31
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",7
"wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis",8
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",71
"wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis",13
"wavelet.HHL_glszm_GrayLevelNonUniformity",6
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",7
"log.sigma.3.0.mm.3D_glcm_Idmn",12
"wavelet.HLL_firstorder_90Percentile",27
"log.sigma.4.0.mm.3D_firstorder_90Percentile",8
"log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",4
"wavelet.LHH_firstorder_10Percentile",22
"lbp.3D.m1_firstorder_Maximum",1
"lbp.3D.k_firstorder_Minimum",14
"log.sigma.4.0.mm.3D_glrlm_ShortRunEmphasis",30
"wavelet.HHH_glcm_ClusterShade",51
"lbp.3D.m2_glcm_MaximumProbability",39
"wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis",16
"wavelet.LLH_glrlm_GrayLevelVariance",43
"wavelet.LHH_firstorder_Median",11
"log.sigma.3.0.mm.3D_firstorder_RootMeanSquared",6
"log.sigma.4.0.mm.3D_firstorder_Minimum",11
"wavelet.LLH_glcm_DifferenceVariance",17
"wavelet.HHL_firstorder_Kurtosis",24
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",23
"gradient_glcm_ClusterShade",17
"wavelet.LHL_glrlm_LowGrayLevelRunEmphasis",8
"wavelet.HLL_firstorder_Energy",7
"wavelet.HLL_glcm_Imc2",27
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",19
"wavelet.HHH_glcm_Idmn",16
"gradient_glcm_DifferenceVariance",10
"lbp.3D.k_glszm_ZoneVariance",29
"log.sigma.2.0.mm.3D_glcm_Correlation",20
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",17
"wavelet.HHL_firstorder_InterquartileRange",24
"wavelet.HLL_firstorder_Median",37
"wavelet.HLH_glcm_Correlation",12
"wavelet.HHH_firstorder_Median",1
"lbp.3D.k_glrlm_GrayLevelVariance",17
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",8
"wavelet.HLL_firstorder_InterquartileRange",10
"lbp.3D.k_firstorder_10Percentile",5
"wavelet.LLH_firstorder_Kurtosis",8
"wavelet.HLH_firstorder_Mean",3
"wavelet.LHH_glcm_Idn",6
"wavelet.HLH_glcm_Idmn",10
"lbp.3D.k_glszm_ZoneEntropy",7
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",5
"gradient_firstorder_10Percentile",10
"wavelet.HHH_firstorder_Skewness",4
"lbp.3D.m1_glcm_Correlation",11
"wavelet.HHH_glcm_Correlation",6
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",9
"wavelet.HLH_glcm_ClusterProminence",2
"gradient_firstorder_Minimum",7
"wavelet.LHH_glszm_SmallAreaEmphasis",1
"gradient_glcm_Idn",8
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.HLH_firstorder_Skewness",1
