"f","count"
"wavelet.HHH_glcm_ClusterShade",90
"wavelet.LHH_firstorder_Skewness",59
"wavelet.HLH_glcm_ClusterProminence",36
"original_shape_Flatness",56
"wavelet.LHH_glcm_ClusterProminence",82
"wavelet.HHH_firstorder_Mean",39
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",22
"wavelet.HHL_firstorder_Median",2
"wavelet.HHH_firstorder_Kurtosis",10
"wavelet.HHH_firstorder_Skewness",21
"wavelet.LHH_glcm_ClusterShade",19
"wavelet.HHH_firstorder_Median",69
"wavelet.HLL_firstorder_Skewness",2
"wavelet.LHL_glcm_Correlation",11
"wavelet.HLH_firstorder_Skewness",36
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",7
"wavelet.HHL_firstorder_Kurtosis",1
"wavelet.LLL_glcm_Imc2",1
"wavelet.LHH_glcm_Correlation",8
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",6
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",8
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",3
"wavelet.HHL_glcm_ClusterShade",3
"wavelet.LLH_firstorder_Kurtosis",4
"lbp.3D.m1_glcm_ClusterShade",1
"wavelet.HLH_gldm_LowGrayLevelEmphasis",1
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",1
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",1
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",1
