"f","count"
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",250
"wavelet.LLL_glcm_Correlation",249
"wavelet.LLH_glcm_Imc1",250
"gradient_gldm_SmallDependenceLowGrayLevelEmphasis",236
"original_shape_MinorAxisLength",249
"wavelet.HHL_glcm_Imc1",250
"wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis",248
"logarithm_glcm_Idmn",229
"logarithm_firstorder_RootMeanSquared",243
"lbp.3D.k_firstorder_Minimum",245
"original_shape_MajorAxisLength",245
"lbp.3D.k_glcm_Idmn",225
"lbp.3D.m2_firstorder_Maximum",221
"wavelet.HHH_firstorder_Median",237
"wavelet.HLL_glcm_Idmn",218
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",235
"wavelet.LHH_glszm_GrayLevelNonUniformity",231
"wavelet.HHL_firstorder_Mean",201
"wavelet.HHL_glcm_ClusterShade",203
"wavelet.HHL_glcm_Correlation",228
"lbp.3D.m2_firstorder_Range",215
"wavelet.HLH_glcm_InverseVariance",219
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",225
"wavelet.HHL_glcm_Idmn",236
"wavelet.HLH_glcm_Correlation",195
"wavelet.HHL_glszm_LargeAreaEmphasis",186
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",181
"log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",146
"log.sigma.4.0.mm.3D_glcm_JointEntropy",232
"lbp.3D.m1_glcm_Correlation",213
"wavelet.LHH_glcm_Imc2",227
"wavelet.HLH_firstorder_Skewness",179
"wavelet.HLL_glcm_Imc1",145
"lbp.3D.m1_glcm_ClusterShade",185
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",200
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",136
"lbp.3D.k_glcm_Correlation",188
"wavelet.HLH_firstorder_Kurtosis",120
"wavelet.HLH_firstorder_Median",198
"log.sigma.3.0.mm.3D_glcm_Correlation",214
"wavelet.HLH_glcm_Idmn",71
"wavelet.HLH_glcm_MaximumProbability",153
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",193
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",170
"lbp.3D.m2_firstorder_90Percentile",37
"logarithm_firstorder_Skewness",72
"logarithm_glszm_LargeAreaHighGrayLevelEmphasis",69
"wavelet.LHL_glszm_LargeAreaEmphasis",132
"wavelet.LHL_gldm_DependenceVariance",90
"original_shape_Sphericity",83
"wavelet.LHH_firstorder_Skewness",149
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",35
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",111
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",102
"wavelet.HHH_firstorder_Mean",96
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",83
"wavelet.HLL_glcm_Contrast",36
"wavelet.HLH_glcm_Imc1",226
"wavelet.HHH_glcm_Correlation",81
"logarithm_firstorder_Minimum",74
"gradient_firstorder_Skewness",81
"wavelet.LLH_firstorder_10Percentile",37
"wavelet.LHL_firstorder_90Percentile",134
"logarithm_glszm_GrayLevelNonUniformity",27
"wavelet.HLL_glcm_Correlation",141
"wavelet.LLH_gldm_LowGrayLevelEmphasis",65
"wavelet.HHL_glcm_ClusterProminence",85
"lbp.3D.k_gldm_LowGrayLevelEmphasis",169
"wavelet.HHH_gldm_DependenceVariance",171
