"f","count"
"original_shape_Flatness",249
"original_shape_Sphericity",201
"original_glszm_LargeAreaLowGrayLevelEmphasis",93
"original_glszm_SizeZoneNonUniformityNormalized",238
"log.sigma.2.0.mm.3D_glcm_Correlation",126
"wavelet.LHL_glcm_Correlation",74
"wavelet.LHH_firstorder_Skewness",68
"wavelet.LHH_glcm_ClusterProminence",94
"wavelet.HLL_firstorder_Skewness",195
"wavelet.HLL_glcm_ClusterProminence",36
"wavelet.HLL_glcm_Correlation",139
"wavelet.HLL_glszm_LargeAreaEmphasis",100
"wavelet.HLL_gldm_LowGrayLevelEmphasis",43
"wavelet.HHL_firstorder_Median",102
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",225
"wavelet.HHH_firstorder_Mean",59
"wavelet.HHH_firstorder_Median",102
"wavelet.HHH_firstorder_Skewness",165
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",46
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",10
"gradient_glszm_LowGrayLevelZoneEmphasis",249
"lbp.3D.m2_firstorder_90Percentile",156
"lbp.3D.k_firstorder_Skewness",248
"wavelet.HLL_firstorder_90Percentile",46
"wavelet.HLL_firstorder_Kurtosis",121
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",234
"gradient_glcm_InverseVariance",155
"lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation",43
"log.sigma.2.0.mm.3D_glcm_Imc1",55
"wavelet.HLH_firstorder_Median",93
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",98
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",46
"wavelet.HHH_firstorder_Kurtosis",138
"lbp.3D.m2_firstorder_Skewness",36
"lbp.3D.k_firstorder_Maximum",130
"original_firstorder_90Percentile",64
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",102
"wavelet.HHL_firstorder_Skewness",102
"wavelet.HHL_glcm_Imc1",7
"wavelet.LLL_firstorder_Skewness",14
"log.sigma.2.0.mm.3D_glcm_ClusterShade",29
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",72
"lbp.3D.m2_glcm_ClusterShade",41
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",36
"wavelet.LLH_glcm_Correlation",35
"wavelet.HHH_firstorder_Energy",21
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",145
"lbp.3D.k_glszm_GrayLevelVariance",38
"lbp.3D.k_glszm_SmallAreaEmphasis",71
"wavelet.HLH_firstorder_Mean",4
"wavelet.HHL_firstorder_Mean",5
"wavelet.HHH_glcm_ClusterShade",13
"lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis",18
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",11
"wavelet.LHH_glcm_Correlation",19
"wavelet.LLH_glcm_ClusterShade",28
"wavelet.LHL_glcm_ClusterShade",7
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",17
"lbp.3D.k_glcm_Idmn",38
"wavelet.HLL_gldm_DependenceVariance",15
"wavelet.HHL_glcm_ClusterShade",3
"lbp.3D.m2_firstorder_Maximum",24
"wavelet.HLH_firstorder_Skewness",36
"wavelet.LLH_firstorder_90Percentile",2
"lbp.3D.m2_glrlm_RunPercentage",25
"original_glszm_LargeAreaHighGrayLevelEmphasis",4
"lbp.3D.m2_glcm_Imc2",4
"wavelet.HLL_firstorder_InterquartileRange",4
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",8
"wavelet.HHH_glcm_Contrast",2
"gradient_gldm_SmallDependenceLowGrayLevelEmphasis",1
"lbp.3D.k_glcm_JointEnergy",4
"wavelet.LHL_firstorder_90Percentile",1
"wavelet.HLH_glcm_ClusterProminence",9
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",6
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",7
"logarithm_glcm_SumSquares",7
"wavelet.HHL_firstorder_Kurtosis",5
"original_shape_MajorAxisLength",3
"log.sigma.2.0.mm.3D_firstorder_90Percentile",4
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",1
"lbp.3D.k_firstorder_Minimum",1
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",2
"wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis",4
"wavelet.LHH_firstorder_Kurtosis",2
"wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis",2
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",4
"wavelet.LHH_firstorder_Median",1
"lbp.3D.k_glcm_Correlation",2
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",1
"wavelet.LLH_firstorder_Mean",1
"wavelet.LLH_firstorder_Skewness",1
