"f","count"
"original_glszm_LargeAreaLowGrayLevelEmphasis",179
"log.sigma.2.0.mm.3D_firstorder_Skewness",30
"log.sigma.2.0.mm.3D_glcm_ClusterShade",82
"log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",36
"log.sigma.4.0.mm.3D_glcm_Imc1",86
"wavelet.LLH_glcm_Correlation",67
"wavelet.LLH_gldm_DependenceEntropy",24
"wavelet.LHL_glcm_Correlation",78
"wavelet.LHL_glcm_Imc2",78
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",127
"wavelet.LHH_glcm_ClusterProminence",174
"wavelet.LHH_glcm_InverseVariance",111
"wavelet.LHH_glrlm_LongRunEmphasis",76
"wavelet.HLL_firstorder_Kurtosis",216
"wavelet.HLL_glcm_ClusterProminence",113
"wavelet.HLL_glcm_Correlation",188
"wavelet.HLL_glcm_Imc2",50
"wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis",52
"wavelet.HLL_glszm_LargeAreaEmphasis",57
"wavelet.HLH_firstorder_Skewness",48
"wavelet.HLH_glszm_ZoneVariance",39
"wavelet.HHL_firstorder_Skewness",165
"wavelet.HHL_glcm_ClusterShade",91
"wavelet.HHL_glcm_Idmn",17
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",146
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",157
"wavelet.HHH_firstorder_Energy",196
"wavelet.HHH_firstorder_Median",170
"wavelet.HHH_glcm_ClusterShade",196
"wavelet.HHH_glcm_Imc1",87
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",102
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",195
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",87
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",107
"wavelet.LLL_firstorder_Skewness",83
"wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis",178
"gradient_glcm_InverseVariance",36
"gradient_glszm_LowGrayLevelZoneEmphasis",173
"lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis",154
"lbp.3D.m2_firstorder_Maximum",164
"lbp.3D.m2_firstorder_Skewness",100
"lbp.3D.m2_glcm_ClusterShade",113
"lbp.3D.m2_glcm_Imc2",58
"lbp.3D.m2_glcm_MaximumProbability",202
"lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized",22
"lbp.3D.k_firstorder_Maximum",117
"lbp.3D.k_firstorder_Skewness",240
"lbp.3D.k_glcm_Idmn",86
"lbp.3D.k_glszm_GrayLevelVariance",62
"lbp.3D.k_glszm_LowGrayLevelZoneEmphasis",179
"lbp.3D.k_glszm_SmallAreaEmphasis",129
"lbp.3D.k_gldm_DependenceEntropy",83
"original_shape_Flatness",240
"original_firstorder_90Percentile",102
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",25
"log.sigma.4.0.mm.3D_firstorder_Kurtosis",46
"wavelet.LLH_firstorder_90Percentile",57
"wavelet.LLH_glcm_ClusterShade",68
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",41
"wavelet.LHH_firstorder_Skewness",105
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",45
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",64
"wavelet.HLL_firstorder_90Percentile",81
"wavelet.HLL_firstorder_Skewness",182
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",41
"wavelet.HLH_firstorder_Median",173
"wavelet.HLH_glcm_ClusterProminence",180
"wavelet.HHL_firstorder_Median",161
"wavelet.HHL_glrlm_RunVariance",75
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",33
"wavelet.HHH_firstorder_Kurtosis",98
"lbp.3D.m2_firstorder_90Percentile",158
"lbp.3D.m2_glrlm_RunPercentage",92
"lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis",46
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",68
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",91
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",36
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",113
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",69
"log.sigma.4.0.mm.3D_glcm_Autocorrelation",7
"wavelet.LLH_firstorder_Skewness",70
"wavelet.LLH_glrlm_GrayLevelVariance",85
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",44
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",91
"wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis",18
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",59
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",99
"wavelet.HLH_firstorder_Kurtosis",55
"wavelet.HLH_firstorder_Mean",38
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",91
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",105
"wavelet.HLH_gldm_DependenceVariance",22
"wavelet.HHH_firstorder_Skewness",111
"wavelet.HHH_glcm_Contrast",31
"gradient_glcm_Imc1",30
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",24
"gradient_gldm_SmallDependenceLowGrayLevelEmphasis",22
"lbp.3D.m1_glcm_Correlation",16
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",93
"original_shape_MajorAxisLength",8
"log.sigma.2.0.mm.3D_glcm_Correlation",68
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",126
"wavelet.LHH_glrlm_GrayLevelVariance",59
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",29
"wavelet.HLL_firstorder_InterquartileRange",14
"wavelet.HHL_glcm_Imc1",10
"wavelet.HHL_glszm_ZoneVariance",29
"gradient_glszm_SmallAreaEmphasis",22
"wavelet.LLH_glrlm_RunVariance",21
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",29
"wavelet.LHL_glszm_ZoneEntropy",81
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",40
"wavelet.HHH_glszm_GrayLevelNonUniformity",17
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",15
"lbp.3D.m1_firstorder_Skewness",35
"lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation",80
"logarithm_glcm_SumSquares",26
"log.sigma.2.0.mm.3D_firstorder_90Percentile",39
"wavelet.LLH_firstorder_Kurtosis",54
"wavelet.LHL_firstorder_90Percentile",25
"wavelet.LHL_firstorder_Kurtosis",22
"wavelet.LHL_glcm_ClusterShade",97
"wavelet.HLL_firstorder_TotalEnergy",35
"wavelet.HLL_gldm_DependenceVariance",19
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",64
"wavelet.LLL_glcm_MaximumProbability",8
"gradient_glcm_Idmn",41
"log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",16
"log.sigma.3.0.mm.3D_firstorder_InterquartileRange",43
"wavelet.LLH_firstorder_Mean",33
"wavelet.LHH_firstorder_90Percentile",44
"wavelet.LHH_firstorder_Mean",14
"wavelet.LHH_glcm_Correlation",66
"wavelet.LHH_glszm_ZoneVariance",29
"wavelet.HHL_firstorder_Mean",19
"wavelet.HHH_glcm_Correlation",25
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",76
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",25
"wavelet.LHH_glszm_HighGrayLevelZoneEmphasis",46
"wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis",61
"wavelet.HHH_firstorder_Mean",100
"lbp.3D.k_glcm_JointEnergy",70
"logarithm_gldm_DependenceVariance",31
"original_shape_Sphericity",71
"log.sigma.2.0.mm.3D_glcm_Imc1",60
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",19
"lbp.3D.k_glszm_ZoneEntropy",23
"wavelet.LLH_glcm_Imc2",19
"wavelet.LHL_glcm_Contrast",26
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",35
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",52
"lbp.3D.k_glcm_Correlation",31
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",23
"log.sigma.4.0.mm.3D_firstorder_Uniformity",22
"log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",21
"wavelet.LHL_firstorder_TotalEnergy",34
"wavelet.LHL_gldm_DependenceEntropy",33
"wavelet.LHH_firstorder_Median",29
"wavelet.LHL_glcm_JointEnergy",26
"wavelet.HHH_glszm_LargeAreaEmphasis",37
"log.sigma.4.0.mm.3D_glcm_Correlation",45
"wavelet.LHL_firstorder_Skewness",30
"gradient_firstorder_Minimum",7
"lbp.3D.k_firstorder_10Percentile",56
"original_glcm_Idmn",33
"log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",13
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",49
"wavelet.LHH_firstorder_Kurtosis",33
"wavelet.LHH_glcm_Imc2",26
"wavelet.HLL_gldm_LowGrayLevelEmphasis",78
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",31
"lbp.3D.k_firstorder_Minimum",39
"original_glszm_LargeAreaHighGrayLevelEmphasis",18
"gradient_firstorder_Range",26
"logarithm_firstorder_Minimum",26
"original_glszm_SizeZoneNonUniformityNormalized",53
"gradient_firstorder_Skewness",23
"logarithm_firstorder_RobustMeanAbsoluteDeviation",15
"log.sigma.3.0.mm.3D_glcm_Imc2",19
"wavelet.HLH_glcm_Correlation",14
"log.sigma.4.0.mm.3D_glcm_ClusterShade",13
"wavelet.HLL_glcm_Idmn",17
"wavelet.HHL_glcm_Correlation",13
"wavelet.HLL_gldm_DependenceEntropy",22
"wavelet.HLL_firstorder_Maximum",16
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.HLH_glcm_Imc1",9
"wavelet.HHH_gldm_DependenceNonUniformityNormalized",21
"wavelet.HHL_firstorder_Kurtosis",19
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",12
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",13
"wavelet.LLL_glcm_Imc2",9
"wavelet.HLH_glszm_SmallAreaEmphasis",5
