"f","count"
"original_shape_Elongation",235
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",33
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",173
"wavelet.LHL_firstorder_Skewness",55
"wavelet.LHL_glcm_ClusterShade",123
"wavelet.LHH_firstorder_Skewness",57
"wavelet.LHH_glcm_ClusterShade",208
"wavelet.HLH_firstorder_Skewness",109
"wavelet.HLH_glcm_ClusterShade",118
"wavelet.HHL_glcm_ClusterShade",94
"wavelet.HHL_glcm_Correlation",60
"wavelet.HHH_firstorder_Kurtosis",210
"wavelet.HHH_firstorder_Skewness",119
"wavelet.HHH_glcm_ClusterShade",236
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",76
"gradient_firstorder_Kurtosis",96
"gradient_glcm_Imc2",5
"wavelet.LHH_glcm_InverseVariance",29
"wavelet.HLH_firstorder_Kurtosis",100
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",66
"wavelet.HHH_glszm_SmallAreaEmphasis",118
"wavelet.LLH_firstorder_Kurtosis",45
"wavelet.LHH_glcm_ClusterProminence",139
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",38
"wavelet.HLH_firstorder_Mean",26
"wavelet.HLH_glcm_Correlation",31
"wavelet.HLL_firstorder_Skewness",90
"wavelet.HHH_glcm_Imc1",16
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",31
"wavelet.LLL_glszm_LargeAreaEmphasis",56
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",28
"original_shape_Flatness",12
"log.sigma.4.0.mm.3D_glcm_ClusterShade",42
"wavelet.LLH_firstorder_Skewness",25
"wavelet.LLH_glcm_ClusterShade",65
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",16
"lbp.3D.m1_glcm_ClusterShade",40
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",31
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",14
"log.sigma.3.0.mm.3D_firstorder_Skewness",9
"lbp.3D.m2_firstorder_RootMeanSquared",6
"original_gldm_LargeDependenceLowGrayLevelEmphasis",81
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",3
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",43
"wavelet.HHL_gldm_DependenceVariance",13
"wavelet.HLH_firstorder_Median",18
"wavelet.HHH_firstorder_Median",19
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",15
"lbp.3D.m1_glcm_JointAverage",5
"lbp.3D.k_firstorder_10Percentile",12
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",6
"wavelet.HLL_firstorder_Mean",9
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",10
"original_shape_Sphericity",27
"lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis",1
"wavelet.HLH_gldm_DependenceVariance",7
"lbp.3D.m1_firstorder_Median",9
"wavelet.HLL_glcm_ClusterShade",40
"lbp.3D.k_glszm_SmallAreaLowGrayLevelEmphasis",29
"wavelet.HHL_firstorder_Median",19
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",2
"lbp.3D.m2_glcm_MaximumProbability",1
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",4
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",8
"wavelet.HHH_gldm_DependenceVariance",22
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",17
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",12
"log.sigma.4.0.mm.3D_glcm_Autocorrelation",2
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",18
"wavelet.HHL_firstorder_Skewness",29
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",10
"wavelet.HHH_glcm_ClusterProminence",4
"wavelet.LLH_glcm_Correlation",1
"wavelet.LLH_firstorder_90Percentile",16
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",2
"wavelet.HHL_firstorder_TotalEnergy",6
"lbp.3D.m2_firstorder_Skewness",3
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",5
"wavelet.LHL_firstorder_Kurtosis",6
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",7
"log.sigma.2.0.mm.3D_glcm_ClusterShade",9
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",1
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",4
"wavelet.LHH_gldm_DependenceVariance",7
"lbp.3D.k_glcm_Idn",1
"wavelet.LHH_glcm_Correlation",1
"wavelet.HHL_glcm_Idn",1
"lbp.3D.k_glcm_ClusterProminence",5
"wavelet.LLL_firstorder_Minimum",2
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.HHL_glszm_SmallAreaEmphasis",1
"wavelet.LHL_glcm_Correlation",1
"wavelet.HLH_firstorder_TotalEnergy",1
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",1
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",1
