"f","count"
"logarithm_firstorder_Maximum",249
"wavelet.LHL_gldm_DependenceEntropy",97
"wavelet.LLL_firstorder_Minimum",62
"wavelet.HHL_firstorder_TotalEnergy",31
"lbp.3D.k_firstorder_10Percentile",3
"log.sigma.3.0.mm.3D_firstorder_Skewness",39
"wavelet.HLH_glszm_SmallAreaEmphasis",51
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",4
"original_firstorder_Mean",81
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",4
"wavelet.HHL_glcm_Correlation",2
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",17
"wavelet.HLL_firstorder_TotalEnergy",9
"wavelet.LHL_firstorder_Energy",11
"wavelet.HLH_firstorder_Skewness",5
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",7
"wavelet.HLH_gldm_DependenceVariance",1
"original_shape_Elongation",4
"lbp.3D.m2_firstorder_Skewness",9
"log.sigma.2.0.mm.3D_glcm_Correlation",5
"wavelet.HHH_firstorder_InterquartileRange",1
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",2
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",3
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",3
"wavelet.HHL_glcm_Imc1",4
"wavelet.HHL_glcm_Imc2",1
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",1
"wavelet.HHH_gldm_DependenceVariance",1
"lbp.3D.k_glcm_Imc2",9
"wavelet.HLL_glcm_ClusterProminence",1
"wavelet.HHH_firstorder_Kurtosis",3
"wavelet.LLH_glszm_SmallAreaEmphasis",4
"wavelet.HLL_firstorder_Kurtosis",1
"log.sigma.4.0.mm.3D_glcm_ClusterShade",1
"original_firstorder_10Percentile",1
"wavelet.HHH_glcm_ClusterShade",1
"wavelet.LHL_firstorder_Maximum",3
"original_gldm_LargeDependenceLowGrayLevelEmphasis",1
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",1
"lbp.3D.m1_glcm_MaximumProbability",3
"wavelet.LHH_glcm_Correlation",1
"gradient_glrlm_RunEntropy",1
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",3
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HHL_firstorder_Mean",2
"wavelet.HHH_glcm_Imc1",1
"wavelet.LLH_firstorder_90Percentile",1
"wavelet.LLH_firstorder_Median",1
"wavelet.HHH_firstorder_Median",1
"wavelet.HHH_glcm_Correlation",1
"lbp.3D.m1_glcm_JointAverage",1
