"f","count"
"log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",7
"log.sigma.3.0.mm.3D_glcm_Idmn",241
"gradient_glcm_Idmn",70
"lbp.3D.m1_firstorder_Mean",242
"lbp.3D.k_glcm_Imc1",234
"logarithm_firstorder_10Percentile",246
"wavelet.LLH_glcm_Imc2",127
"logarithm_firstorder_Kurtosis",102
"lbp.3D.m1_glcm_Imc1",18
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",8
"original_glszm_SmallAreaLowGrayLevelEmphasis",14
"wavelet.LLH_firstorder_Energy",4
"wavelet.HHL_glcm_Imc1",145
"log.sigma.4.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",12
"wavelet.HHH_glcm_Imc1",2
"wavelet.HHL_glcm_Correlation",8
"wavelet.HLL_glcm_Imc2",24
"wavelet.LHL_glcm_Imc2",6
"lbp.3D.m2_glcm_Correlation",5
"wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis",7
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",16
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",6
"gradient_glcm_ClusterShade",1
"log.sigma.2.0.mm.3D_glcm_Imc1",1
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",1
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",1
"logarithm_gldm_DependenceNonUniformity",1
