"f","count"
"original_shape_Flatness",240
"log.sigma.2.0.mm.3D_glszm_LargeAreaEmphasis",41
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",247
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",397
"log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis",316
"wavelet.LLH_firstorder_Median",8
"wavelet.LLH_glcm_Correlation",236
"wavelet.LHL_glcm_Correlation",162
"wavelet.LHH_firstorder_Mean",355
"wavelet.LHH_firstorder_Skewness",310
"wavelet.LHH_glcm_ClusterShade",325
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",232
"wavelet.HLH_firstorder_Median",329
"wavelet.HHL_firstorder_Median",389
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",318
"wavelet.HHH_firstorder_Mean",305
"wavelet.HHH_firstorder_Median",422
"wavelet.HHH_firstorder_Skewness",432
"wavelet.LLL_firstorder_Skewness",315
"lbp.3D.m2_firstorder_Kurtosis",176
"lbp.3D.m2_glcm_JointAverage",368
"lbp.3D.m2_glcm_ClusterShade",413
"lbp.3D.k_firstorder_10Percentile",319
"lbp.3D.k_glcm_ClusterShade",294
"original_shape_Sphericity",133
"wavelet.LLH_firstorder_Skewness",218
"wavelet.LHL_glcm_ClusterProminence",260
"wavelet.LHH_glszm_SmallAreaEmphasis",42
"wavelet.HLL_firstorder_Median",371
"wavelet.HLL_glcm_Correlation",98
"wavelet.HLH_firstorder_Mean",295
"wavelet.HLH_firstorder_Skewness",231
"wavelet.HHL_firstorder_Mean",201
"wavelet.HHL_glcm_ClusterProminence",273
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",118
"lbp.3D.m2_glcm_Imc2",56
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",9
"logarithm_glcm_ClusterShade",264
"log.sigma.4.0.mm.3D_firstorder_10Percentile",97
"wavelet.LHH_firstorder_90Percentile",89
"wavelet.HLL_glszm_LargeAreaEmphasis",317
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",258
"wavelet.HHL_firstorder_Skewness",200
"wavelet.HHH_glcm_ClusterShade",240
"wavelet.HHH_glcm_JointEnergy",67
"lbp.3D.m1_glcm_JointAverage",144
"lbp.3D.k_firstorder_Range",145
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",207
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",62
"lbp.3D.m2_firstorder_RootMeanSquared",247
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",20
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",85
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",28
"lbp.3D.k_glcm_Idmn",15
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",19
"logarithm_firstorder_Skewness",316
"wavelet.LHL_firstorder_Skewness",67
"wavelet.LHL_glszm_LargeAreaEmphasis",144
"wavelet.HHL_firstorder_Kurtosis",115
"wavelet.HHL_firstorder_Maximum",9
"wavelet.LLH_firstorder_Kurtosis",56
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",31
"wavelet.HHL_glszm_LargeAreaEmphasis",16
"gradient_firstorder_Minimum",10
"lbp.3D.m1_firstorder_Skewness",5
"wavelet.HHH_firstorder_Energy",78
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",20
"wavelet.HHL_glcm_Correlation",80
"original_gldm_LargeDependenceLowGrayLevelEmphasis",59
"wavelet.LLH_glszm_LargeAreaEmphasis",16
"wavelet.HHH_glcm_Correlation",22
"wavelet.LHL_firstorder_10Percentile",26
"wavelet.HLH_glcm_ClusterProminence",68
"log.sigma.2.0.mm.3D_firstorder_10Percentile",25
"wavelet.LLH_glcm_ClusterShade",18
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",61
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",150
"lbp.3D.m1_firstorder_RootMeanSquared",57
"log.sigma.4.0.mm.3D_firstorder_Maximum",1
"log.sigma.4.0.mm.3D_firstorder_Mean",22
"wavelet.HLL_firstorder_Energy",7
"wavelet.HLH_firstorder_Kurtosis",1
"wavelet.HLH_glszm_ZoneVariance",7
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",7
