"f","count"
"original_shape_Flatness",408
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",64
"log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis",131
"wavelet.LLH_firstorder_10Percentile",83
"wavelet.LLH_firstorder_Median",23
"wavelet.LLH_firstorder_Skewness",83
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",264
"wavelet.LLH_gldm_SmallDependenceEmphasis",52
"wavelet.LHL_firstorder_10Percentile",184
"wavelet.LHH_glcm_ClusterShade",289
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",107
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",103
"wavelet.HLL_glcm_InverseVariance",28
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",401
"wavelet.HLH_firstorder_Skewness",116
"wavelet.HLH_glszm_ZoneVariance",107
"wavelet.HHL_firstorder_Median",205
"wavelet.HHL_firstorder_Skewness",245
"wavelet.HHH_firstorder_Skewness",345
"wavelet.HHH_glcm_Idmn",29
"wavelet.HHH_glszm_LargeAreaEmphasis",10
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",283
"gradient_firstorder_Minimum",37
"lbp.3D.m1_firstorder_Skewness",63
"lbp.3D.m1_glcm_JointAverage",350
"lbp.3D.m2_firstorder_Kurtosis",308
"lbp.3D.m2_glcm_JointAverage",390
"lbp.3D.m2_gldm_DependenceVariance",7
"lbp.3D.k_firstorder_10Percentile",291
"lbp.3D.k_firstorder_Kurtosis",107
"lbp.3D.k_glcm_ClusterShade",346
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",342
"logarithm_firstorder_Kurtosis",208
"logarithm_firstorder_Skewness",416
"logarithm_glcm_ClusterShade",413
"logarithm_glszm_LargeAreaEmphasis",140
"log.sigma.2.0.mm.3D_glcm_Correlation",51
"log.sigma.2.0.mm.3D_glszm_LargeAreaEmphasis",89
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",332
"log.sigma.4.0.mm.3D_firstorder_10Percentile",208
"log.sigma.4.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",33
"wavelet.LLH_glcm_Correlation",210
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",149
"wavelet.LHL_firstorder_90Percentile",78
"wavelet.LHL_firstorder_Maximum",52
"wavelet.LHL_firstorder_Skewness",182
"wavelet.LHL_glcm_ClusterProminence",152
"wavelet.LHL_glcm_Correlation",216
"wavelet.LHH_firstorder_Mean",301
"wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis",45
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",52
"wavelet.HLH_firstorder_Mean",94
"wavelet.HLH_glcm_Correlation",10
"wavelet.HHL_glcm_ClusterProminence",265
"wavelet.HHH_firstorder_Median",298
"wavelet.HHH_glcm_ClusterShade",129
"wavelet.HHH_glcm_ClusterTendency",68
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",97
"lbp.3D.m2_glcm_ClusterShade",273
"lbp.3D.k_glcm_Correlation",46
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",86
"log.sigma.4.0.mm.3D_glcm_Correlation",86
"wavelet.LLH_glcm_ClusterShade",194
"wavelet.LLH_glcm_Imc2",79
"wavelet.LLH_gldm_DependenceEntropy",73
"wavelet.LHH_firstorder_90Percentile",151
"wavelet.HLL_glcm_ClusterTendency",36
"wavelet.HHL_glcm_JointEnergy",143
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",17
"wavelet.HHL_glszm_LargeAreaEmphasis",116
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",207
"wavelet.HHH_firstorder_Energy",239
"wavelet.LLL_firstorder_Skewness",189
"lbp.3D.m2_firstorder_RootMeanSquared",216
"original_gldm_LargeDependenceLowGrayLevelEmphasis",58
"log.sigma.2.0.mm.3D_glcm_Imc2",21
"wavelet.LLH_glcm_JointEntropy",63
"wavelet.LHL_glcm_ClusterTendency",59
"wavelet.LHL_glszm_ZoneEntropy",70
"wavelet.HLL_firstorder_Median",298
"wavelet.HHL_firstorder_Kurtosis",87
"wavelet.HHL_firstorder_Mean",97
"wavelet.HHH_glcm_JointEnergy",138
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",45
"gradient_glrlm_LongRunLowGrayLevelEmphasis",16
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",108
"lbp.3D.m2_glcm_Imc2",138
"lbp.3D.k_firstorder_Range",112
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",122
"original_firstorder_Uniformity",24
"log.sigma.3.0.mm.3D_glcm_JointEnergy",19
"wavelet.LHL_glszm_LargeAreaEmphasis",29
"wavelet.LHH_glszm_LargeAreaEmphasis",34
"wavelet.HLH_glcm_MaximumProbability",55
"wavelet.HHH_firstorder_Mean",85
"wavelet.HHH_glcm_Correlation",96
"wavelet.LLL_glcm_Imc2",44
"log.sigma.4.0.mm.3D_glcm_DifferenceVariance",57
"log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",29
"wavelet.LHL_firstorder_Mean",137
"wavelet.HLL_glcm_MaximumProbability",81
"wavelet.HLL_glszm_LargeAreaEmphasis",257
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",211
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",17
"gradient_glcm_Correlation",53
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",114
"wavelet.LHH_firstorder_Skewness",152
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",37
"wavelet.HLL_firstorder_10Percentile",39
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",23
"lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis",39
"logarithm_firstorder_InterquartileRange",21
"wavelet.LHL_glcm_Idmn",9
"wavelet.HLH_firstorder_Median",102
"wavelet.LLL_glcm_Correlation",15
"log.sigma.3.0.mm.3D_firstorder_Median",33
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",52
"wavelet.HLL_firstorder_Energy",63
