"f","count"
"original_shape_Flatness",424
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",66
"log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis",133
"wavelet.LLH_firstorder_10Percentile",85
"wavelet.LLH_firstorder_Median",39
"wavelet.LLH_firstorder_Skewness",125
"wavelet.LLH_glcm_Correlation",319
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",266
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",230
"wavelet.LLH_gldm_SmallDependenceEmphasis",45
"wavelet.LHL_firstorder_10Percentile",166
"wavelet.LHH_glcm_ClusterShade",334
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",146
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",101
"wavelet.HLL_glcm_InverseVariance",28
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",405
"wavelet.HLH_firstorder_Kurtosis",44
"wavelet.HLH_firstorder_Skewness",307
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",379
"wavelet.HLH_glszm_ZoneVariance",101
"wavelet.HHL_firstorder_Median",328
"wavelet.HHL_firstorder_Skewness",258
"wavelet.HHH_firstorder_Skewness",347
"wavelet.HHH_glcm_ClusterShade",275
"wavelet.HHH_glcm_Idmn",82
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",90
"wavelet.HHH_glszm_LargeAreaEmphasis",8
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",287
"gradient_firstorder_Minimum",34
"lbp.3D.m1_firstorder_Skewness",115
"lbp.3D.m1_glcm_JointAverage",368
"lbp.3D.m2_firstorder_Kurtosis",344
"lbp.3D.m2_glcm_JointAverage",377
"lbp.3D.m2_gldm_DependenceVariance",16
"lbp.3D.k_firstorder_10Percentile",303
"lbp.3D.k_firstorder_Kurtosis",108
"lbp.3D.k_glcm_ClusterShade",348
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",371
"logarithm_firstorder_Kurtosis",292
"logarithm_firstorder_Skewness",405
"logarithm_glcm_ClusterShade",451
"logarithm_glszm_LargeAreaEmphasis",147
"log.sigma.2.0.mm.3D_glcm_Correlation",50
"log.sigma.2.0.mm.3D_glszm_LargeAreaEmphasis",95
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",366
"log.sigma.4.0.mm.3D_firstorder_10Percentile",206
"log.sigma.4.0.mm.3D_firstorder_Maximum",21
"wavelet.LLH_glcm_ClusterShade",239
"wavelet.LHL_firstorder_90Percentile",72
"wavelet.LHL_firstorder_Maximum",70
"wavelet.LHL_firstorder_Skewness",194
"wavelet.LHL_glcm_ClusterProminence",145
"wavelet.LHL_glcm_Correlation",231
"wavelet.LHH_firstorder_Mean",306
"wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis",44
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",57
"wavelet.HLH_firstorder_Mean",94
"wavelet.HLH_glcm_Correlation",9
"wavelet.HHL_glcm_ClusterProminence",270
"wavelet.HHH_firstorder_Median",300
"wavelet.HHH_glcm_ClusterTendency",68
"lbp.3D.m2_glcm_ClusterShade",274
"lbp.3D.k_glcm_Correlation",48
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",98
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",149
"log.sigma.4.0.mm.3D_glcm_Correlation",85
"log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",37
"wavelet.LLH_firstorder_Kurtosis",65
"wavelet.LLH_glcm_Imc2",82
"wavelet.LLH_gldm_DependenceEntropy",69
"wavelet.LHH_firstorder_90Percentile",150
"wavelet.LHH_firstorder_Skewness",348
"wavelet.HLL_glcm_ClusterTendency",28
"wavelet.HHL_glcm_JointEnergy",139
"wavelet.HHL_glszm_LargeAreaEmphasis",128
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",216
"wavelet.HHH_firstorder_Energy",262
"wavelet.LLL_firstorder_Skewness",153
"lbp.3D.m2_firstorder_RootMeanSquared",210
"original_gldm_LargeDependenceLowGrayLevelEmphasis",99
"log.sigma.2.0.mm.3D_glcm_Imc2",21
"wavelet.LLH_glcm_JointEntropy",60
"wavelet.LHL_glcm_ClusterTendency",35
"wavelet.LHL_glszm_ZoneEntropy",67
"wavelet.HLL_firstorder_Median",300
"wavelet.HHL_firstorder_Kurtosis",86
"wavelet.HHL_firstorder_Mean",97
"wavelet.HHH_glcm_JointEnergy",129
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",165
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",118
"lbp.3D.m2_glcm_Imc2",144
"lbp.3D.k_firstorder_Range",114
"wavelet.LHL_glszm_LargeAreaEmphasis",39
"wavelet.LHH_glszm_LargeAreaEmphasis",31
"wavelet.HLH_glcm_MaximumProbability",53
"wavelet.HHH_firstorder_Mean",102
"wavelet.HHH_glcm_Correlation",113
"wavelet.LLL_glcm_Imc2",49
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",68
"log.sigma.4.0.mm.3D_glcm_DifferenceVariance",69
"log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",29
"wavelet.LHL_firstorder_Mean",135
"wavelet.HLL_glcm_MaximumProbability",68
"wavelet.HLL_glszm_LargeAreaEmphasis",235
"wavelet.HLH_firstorder_Median",147
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",29
"gradient_glcm_Correlation",50
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",32
"wavelet.HLL_firstorder_10Percentile",44
"wavelet.HLL_firstorder_Skewness",107
"lbp.3D.m1_glszm_LowGrayLevelZoneEmphasis",6
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",28
"lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis",43
"logarithm_firstorder_InterquartileRange",21
"original_firstorder_Uniformity",10
"wavelet.LHL_glcm_Idmn",11
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",42
"wavelet.LLL_glcm_Correlation",16
"log.sigma.3.0.mm.3D_firstorder_Median",33
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",41
"wavelet.HLL_firstorder_Energy",85
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",43
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",77
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",81
"gradient_glcm_Imc2",27
"log.sigma.4.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",33
"wavelet.HHL_glcm_Correlation",46
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",59
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",19
"lbp.3D.m1_firstorder_Median",32
"logarithm_firstorder_10Percentile",81
"wavelet.HLL_glcm_Correlation",55
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",13
"wavelet.HHH_glrlm_LongRunHighGrayLevelEmphasis",26
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",102
"wavelet.HLH_glcm_ClusterProminence",112
"log.sigma.4.0.mm.3D_firstorder_Skewness",39
"wavelet.HHH_firstorder_Kurtosis",35
"original_shape_MajorAxisLength",8
"original_shape_Sphericity",131
"original_glcm_Idmn",14
"log.sigma.4.0.mm.3D_firstorder_Mean",61
"wavelet.LHH_glszm_GrayLevelVariance",17
"log.sigma.3.0.mm.3D_glcm_ClusterProminence",33
"wavelet.LHH_glcm_Imc1",20
"log.sigma.2.0.mm.3D_firstorder_10Percentile",31
"log.sigma.3.0.mm.3D_glrlm_LowGrayLevelRunEmphasis",12
"lbp.3D.m1_firstorder_RootMeanSquared",69
"log.sigma.2.0.mm.3D_firstorder_Skewness",30
"log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",28
"wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis",47
"logarithm_firstorder_Maximum",62
"wavelet.HLH_glcm_Idmn",15
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",15
"wavelet.LLH_glcm_ClusterTendency",30
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",75
"gradient_glrlm_LongRunLowGrayLevelEmphasis",12
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",13
"lbp.3D.k_glcm_Idmn",41
"wavelet.LHL_glcm_JointEntropy",20
"wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis",54
"lbp.3D.m1_glcm_Correlation",8
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",53
"wavelet.LLH_glcm_Idmn",13
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",17
"lbp.3D.k_glcm_Imc1",14
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",31
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",18
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",24
"wavelet.LHH_glszm_SizeZoneNonUniformity",14
"wavelet.HHH_glcm_Imc1",30
"gradient_glszm_GrayLevelNonUniformity",28
"wavelet.LLH_glszm_LargeAreaEmphasis",29
"gradient_glcm_MaximumProbability",15
"wavelet.LLL_firstorder_90Percentile",12
"logarithm_glrlm_LongRunLowGrayLevelEmphasis",39
"wavelet.HLL_firstorder_90Percentile",29
"wavelet.HLL_glcm_Imc2",17
"wavelet.HHL_glcm_Contrast",35
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",18
"lbp.3D.k_glszm_SmallAreaEmphasis",23
"wavelet.HHL_firstorder_Maximum",5
"log.sigma.3.0.mm.3D_glcm_JointEnergy",15
"wavelet.LHL_gldm_SmallDependenceEmphasis",9
"lbp.3D.k_gldm_DependenceEntropy",11
"lbp.3D.m2_firstorder_Maximum",11
"wavelet.HLL_glcm_Idmn",2
"wavelet.LHH_glcm_Correlation",10
"lbp.3D.m1_glcm_JointEnergy",7
"gradient_firstorder_Skewness",2
"wavelet.LHH_glszm_SmallAreaEmphasis",2
