"f","count"
"wavelet.HHH_firstorder_Median",170
"original_shape_Elongation",49
"original_shape_Flatness",49
"wavelet.HHH_firstorder_Skewness",8
"wavelet.LHH_firstorder_Skewness",109
"lbp.3D.k_firstorder_10Percentile",60
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",32
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",109
"wavelet.LLH_firstorder_Mean",2
"lbp.3D.m2_firstorder_Kurtosis",23
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",37
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",28
"wavelet.LHH_glcm_ClusterShade",30
"wavelet.HHH_firstorder_Mean",8
"wavelet.HHL_glcm_ClusterProminence",10
"wavelet.HHL_firstorder_Median",50
"lbp.3D.k_glszm_SmallAreaEmphasis",19
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",9
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",3
"wavelet.HLL_glcm_Correlation",4
"wavelet.LLH_glcm_Correlation",19
"wavelet.HHL_firstorder_Skewness",2
"lbp.3D.k_glszm_SmallAreaLowGrayLevelEmphasis",49
"original_gldm_LargeDependenceLowGrayLevelEmphasis",3
"wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis",1
"logarithm_glcm_ClusterShade",9
"lbp.3D.m1_glcm_ClusterShade",5
"wavelet.HLH_firstorder_Skewness",8
"wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis",2
"wavelet.HLL_glcm_ClusterShade",1
"wavelet.LLH_firstorder_Kurtosis",1
"wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis",1
"wavelet.LHL_firstorder_Skewness",1
"wavelet.HHH_glcm_ClusterShade",2
"wavelet.LHL_glcm_ClusterShade",4
"log.sigma.3.0.mm.3D_glcm_Imc2",2
"wavelet.LLH_firstorder_Skewness",1
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",4
"wavelet.LLH_glcm_ClusterShade",3
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HLH_firstorder_Kurtosis",2
"lbp.3D.k_glcm_Correlation",3
"wavelet.LHH_firstorder_Kurtosis",1
"lbp.3D.k_firstorder_Maximum",1
"lbp.3D.m2_glrlm_ShortRunLowGrayLevelEmphasis",1
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",1
"wavelet.HHH_glcm_Correlation",2
"wavelet.LHH_firstorder_Mean",3
"wavelet.LLH_firstorder_Median",1
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",1
"wavelet.LHH_glcm_Correlation",1
"lbp.3D.m2_glcm_ClusterShade",1
