"f","count"
"original_shape_Elongation",200
"original_shape_Flatness",189
"original_shape_SurfaceVolumeRatio",237
"original_gldm_SmallDependenceLowGrayLevelEmphasis",4
"log.sigma.3.0.mm.3D_glcm_Correlation",63
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",220
"log.sigma.4.0.mm.3D_firstorder_10Percentile",69
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",196
"wavelet.LLH_firstorder_10Percentile",72
"wavelet.LLH_firstorder_Mean",172
"wavelet.LLH_firstorder_Skewness",42
"wavelet.LLH_glcm_Correlation",93
"wavelet.LHL_firstorder_10Percentile",143
"wavelet.LHL_firstorder_90Percentile",77
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",9
"wavelet.LHH_firstorder_MeanAbsoluteDeviation",118
"wavelet.LHH_firstorder_Skewness",184
"wavelet.LHH_glcm_ClusterShade",222
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",204
"wavelet.LHH_gldm_LowGrayLevelEmphasis",102
"wavelet.HLH_firstorder_Mean",70
"wavelet.HLH_firstorder_Skewness",193
"wavelet.HLH_glcm_ClusterProminence",82
"wavelet.HLH_glcm_MaximumProbability",59
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",159
"wavelet.HHL_firstorder_Skewness",104
"wavelet.HHL_glszm_LargeAreaEmphasis",137
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",78
"wavelet.HHH_glcm_JointEnergy",53
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",22
"wavelet.HHH_glszm_ZoneVariance",54
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",18
"wavelet.LLL_glcm_Imc2",98
"gradient_glcm_ClusterProminence",79
"lbp.3D.m1_firstorder_Maximum",44
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",150
"lbp.3D.m2_firstorder_Kurtosis",165
"lbp.3D.m2_firstorder_Maximum",94
"lbp.3D.m2_firstorder_Mean",138
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",124
"lbp.3D.m2_glcm_ClusterShade",64
"lbp.3D.m2_glcm_Imc2",147
"lbp.3D.k_firstorder_10Percentile",171
"lbp.3D.k_glszm_SmallAreaEmphasis",57
"log.sigma.3.0.mm.3D_firstorder_Median",15
"log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis",25
"wavelet.LHL_glcm_ClusterProminence",81
"wavelet.LHL_glcm_ClusterTendency",42
"wavelet.LHL_glcm_Correlation",133
"wavelet.LHL_glcm_DifferenceAverage",30
"wavelet.LHL_glcm_Imc2",40
"wavelet.LHL_gldm_SmallDependenceEmphasis",17
"wavelet.HLH_firstorder_Kurtosis",83
"wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis",152
"wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis",87
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",108
"wavelet.HHL_firstorder_Median",78
"wavelet.HHL_glcm_ClusterProminence",116
"wavelet.HHH_firstorder_Median",127
"wavelet.HHH_glcm_ClusterShade",116
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",41
"wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis",67
"wavelet.LLL_firstorder_Kurtosis",32
"gradient_firstorder_Minimum",111
"lbp.3D.m1_firstorder_Skewness",36
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",134
"lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis",133
"lbp.3D.k_firstorder_Skewness",77
"logarithm_firstorder_Skewness",76
"log.sigma.3.0.mm.3D_firstorder_Skewness",23
"wavelet.LLH_firstorder_Median",158
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",127
"wavelet.LHL_glcm_ClusterShade",97
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",59
"wavelet.LHH_glrlm_RunVariance",38
"wavelet.LHH_glszm_GrayLevelVariance",22
"wavelet.LHH_glszm_LargeAreaEmphasis",18
