"f","count"
"original_shape_Flatness",162
"original_shape_SurfaceVolumeRatio",248
"original_firstorder_Skewness",237
"original_glcm_ClusterShade",104
"original_glrlm_RunLengthNonUniformityNormalized",87
"original_gldm_LargeDependenceLowGrayLevelEmphasis",178
"log.sigma.2.0.mm.3D_firstorder_90Percentile",235
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",210
"log.sigma.2.0.mm.3D_firstorder_Mean",248
"log.sigma.2.0.mm.3D_firstorder_Skewness",233
"log.sigma.2.0.mm.3D_glcm_Correlation",242
"log.sigma.2.0.mm.3D_glcm_Imc2",139
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",176
"log.sigma.3.0.mm.3D_firstorder_Uniformity",168
"log.sigma.4.0.mm.3D_firstorder_Maximum",139
"log.sigma.4.0.mm.3D_glcm_Correlation",198
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",242
"wavelet.LLH_firstorder_Kurtosis",249
"wavelet.LLH_firstorder_Mean",112
"wavelet.LLH_firstorder_Median",241
"wavelet.LLH_glcm_ClusterShade",214
"wavelet.LLH_glcm_Correlation",250
"wavelet.LLH_glcm_Imc2",220
"wavelet.LLH_glcm_Idmn",114
"wavelet.LLH_glcm_MaximumProbability",193
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",185
"wavelet.LHL_firstorder_90Percentile",228
"wavelet.LHL_firstorder_Energy",102
"wavelet.LHL_firstorder_Kurtosis",224
"wavelet.LHL_firstorder_Skewness",250
"wavelet.LHL_glcm_DifferenceVariance",216
"wavelet.LHL_glcm_Imc2",245
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",248
"wavelet.LHL_gldm_DependenceVariance",18
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",201
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",223
"wavelet.LHH_firstorder_Mean",250
"wavelet.LHH_firstorder_Median",245
"wavelet.LHH_firstorder_Skewness",73
"wavelet.LHH_glcm_ClusterProminence",213
"wavelet.LHH_glcm_ClusterShade",173
"wavelet.LHH_glcm_Correlation",200
"wavelet.LHH_glcm_Imc1",209
"wavelet.HLL_firstorder_90Percentile",240
"wavelet.HLL_glcm_Correlation",234
"wavelet.HLL_glcm_JointEnergy",226
"wavelet.HLL_glcm_Imc2",86
"wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis",178
"wavelet.HLH_firstorder_Mean",206
"wavelet.HLH_firstorder_Median",231
"wavelet.HLH_firstorder_Skewness",151
"wavelet.HLH_glcm_SumSquares",220
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",101
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",244
"wavelet.HHL_firstorder_Kurtosis",249
"wavelet.HHL_firstorder_Mean",196
"wavelet.HHL_firstorder_Median",245
"wavelet.HHL_firstorder_Skewness",248
"wavelet.HHL_glcm_Imc2",106
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",224
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",209
"wavelet.HHH_firstorder_Kurtosis",223
"wavelet.HHH_firstorder_Mean",227
"wavelet.HHH_firstorder_Median",211
"wavelet.HHH_firstorder_Skewness",248
"wavelet.HHH_glcm_ClusterShade",249
"wavelet.HHH_glrlm_GrayLevelNonUniformityNormalized",187
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",217
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",223
"wavelet.LLL_glcm_Imc2",133
"wavelet.LLL_glcm_Idmn",204
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",197
"gradient_firstorder_Median",238
"gradient_firstorder_Skewness",120
"gradient_glcm_ClusterShade",181
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",93
"lbp.3D.m1_firstorder_90Percentile",185
"lbp.3D.m1_firstorder_Kurtosis",248
"lbp.3D.m1_firstorder_Skewness",249
"lbp.3D.m1_glcm_ClusterShade",249
"lbp.3D.m1_glcm_JointEnergy",247
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",222
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",196
"lbp.3D.m2_firstorder_RootMeanSquared",204
"lbp.3D.m2_glcm_ClusterShade",208
"lbp.3D.m2_glcm_DifferenceVariance",212
"lbp.3D.m2_gldm_DependenceEntropy",51
"lbp.3D.k_firstorder_Kurtosis",249
"lbp.3D.k_firstorder_Minimum",82
"lbp.3D.k_firstorder_Range",239
"lbp.3D.k_glcm_ClusterProminence",249
"lbp.3D.k_glcm_Correlation",173
"lbp.3D.k_glcm_Imc1",130
"lbp.3D.k_glcm_Idmn",158
"lbp.3D.k_glcm_MaximumProbability",220
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",232
"lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis",223
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",198
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",246
"logarithm_glcm_Idn",222
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",212
"log.sigma.2.0.mm.3D_firstorder_Maximum",162
"log.sigma.2.0.mm.3D_firstorder_TotalEnergy",19
"wavelet.LHL_firstorder_Uniformity",98
"wavelet.LHH_firstorder_Kurtosis",219
"wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis",114
"wavelet.HLL_firstorder_10Percentile",157
"wavelet.HLL_firstorder_Median",187
"wavelet.HLL_firstorder_Skewness",180
"wavelet.HLL_glcm_Contrast",86
"wavelet.HHL_glcm_Correlation",167
"wavelet.HHL_glszm_SmallAreaEmphasis",205
"gradient_gldm_LargeDependenceEmphasis",124
"lbp.3D.m1_glcm_DifferenceVariance",107
"lbp.3D.m2_firstorder_Range",200
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",63
"wavelet.LHL_firstorder_Median",98
"wavelet.LHL_glcm_Correlation",219
"wavelet.LHH_glcm_InverseVariance",112
"wavelet.HLH_glcm_Correlation",113
"wavelet.HLH_glrlm_GrayLevelNonUniformityNormalized",187
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",130
"gradient_glcm_Correlation",64
"gradient_glcm_Imc2",87
"lbp.3D.m1_firstorder_RootMeanSquared",149
"lbp.3D.k_glszm_GrayLevelVariance",218
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",178
"log.sigma.4.0.mm.3D_glcm_Imc2",67
"log.sigma.4.0.mm.3D_glcm_Idmn",74
"wavelet.LHL_firstorder_Mean",138
"wavelet.LHL_glcm_Idmn",15
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",71
"wavelet.HHL_glcm_Idmn",22
"gradient_glcm_Idn",38
"lbp.3D.m1_glszm_ZoneEntropy",6
"logarithm_firstorder_Kurtosis",72
"log.sigma.2.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",49
"wavelet.LLH_firstorder_Skewness",95
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",12
