"f","count"
"original_firstorder_Minimum",112
"wavelet.LLH_glcm_JointEntropy",114
"log.sigma.2.0.mm.3D_glcm_Imc2",87
"lbp.3D.m2_gldm_DependenceEntropy",50
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",105
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",90
"log.sigma.2.0.mm.3D_gldm_DependenceNonUniformity",53
"logarithm_glszm_SmallAreaLowGrayLevelEmphasis",2
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",96
"wavelet.HHL_glszm_LowGrayLevelZoneEmphasis",21
"logarithm_firstorder_Minimum",85
"logarithm_glszm_GrayLevelNonUniformity",39
"wavelet.LLL_glcm_JointEnergy",30
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",102
"gradient_glcm_Imc2",93
"wavelet.HLL_glcm_JointEnergy",59
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",32
"log.sigma.3.0.mm.3D_gldm_LowGrayLevelEmphasis",12
"log.sigma.4.0.mm.3D_glcm_Idmn",1
"lbp.3D.k_glcm_Correlation",13
"wavelet.LHL_glcm_JointEntropy",25
"log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",10
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",1
"wavelet.LHL_glcm_Imc2",1
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",2
"log.sigma.4.0.mm.3D_glcm_Imc2",2
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",1
"wavelet.HHL_glcm_Imc2",1
"wavelet.LLH_glcm_Idmn",1
"lbp.3D.m1_glcm_Correlation",1
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",1
"gradient_glcm_DifferenceVariance",1
