f,count
original_shape_Flatness,66
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,89
log.sigma.4.0.mm.3D_glcm_Correlation,116
wavelet.LLH_firstorder_90Percentile,113
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,21
wavelet.LLH_gldm_DependenceEntropy,10
wavelet.LHL_glcm_ClusterShade,196
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,47
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,121
wavelet.LHH_firstorder_Skewness,127
wavelet.LHH_glcm_ClusterShade,242
wavelet.LHH_glszm_ZoneVariance,143
wavelet.HLL_firstorder_InterquartileRange,9
wavelet.HLL_firstorder_Kurtosis,55
wavelet.HLL_firstorder_Skewness,70
wavelet.HLL_glcm_Imc2,28
wavelet.HLH_glcm_Imc1,14
wavelet.HHL_firstorder_Mean,16
wavelet.HHL_firstorder_Skewness,174
wavelet.HHL_glcm_ClusterShade,40
wavelet.HHH_firstorder_Kurtosis,126
wavelet.HHH_firstorder_Mean,124
wavelet.HHH_firstorder_Median,126
wavelet.HHH_glcm_JointEnergy,25
wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,123
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,22
lbp.3D.m1_firstorder_RootMeanSquared,151
lbp.3D.m1_glcm_ClusterShade,38
lbp.3D.m1_glcm_DifferenceVariance,90
lbp.3D.m1_glcm_MaximumProbability,27
lbp.3D.m2_firstorder_Range,190
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,193
lbp.3D.k_firstorder_Kurtosis,106
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,64
lbp.3D.k_glszm_SmallAreaEmphasis,4
logarithm_glcm_Imc1,48
original_shape_Sphericity,170
original_shape_SurfaceVolumeRatio,100
original_glszm_LargeAreaLowGrayLevelEmphasis,108
log.sigma.3.0.mm.3D_glcm_Correlation,102
log.sigma.3.0.mm.3D_glcm_Idm,20
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,20
wavelet.LLH_firstorder_MeanAbsoluteDeviation,9
wavelet.LLH_glcm_MaximumProbability,24
wavelet.LHL_glcm_Correlation,97
wavelet.LHH_glcm_DifferenceAverage,121
wavelet.LHH_glcm_Imc2,13
wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,10
wavelet.HHL_firstorder_Kurtosis,81
lbp.3D.m1_glcm_Correlation,10
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,173
lbp.3D.m2_firstorder_90Percentile,156
lbp.3D.m2_firstorder_Skewness,97
lbp.3D.m2_glrlm_RunPercentage,77
lbp.3D.k_glszm_GrayLevelVariance,44
