f,count
original_shape_Elongation,113
wavelet.LHL_firstorder_Median,82
wavelet.HHH_glszm_SmallAreaEmphasis,161
lbp.3D.k_firstorder_Kurtosis,8
wavelet.HLH_firstorder_Skewness,20
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,20
lbp.3D.m1_firstorder_Skewness,22
lbp.3D.m1_glcm_ClusterShade,54
wavelet.LHL_firstorder_Mean,40
wavelet.LHH_firstorder_Median,50
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,77
wavelet.HHH_firstorder_Skewness,41
wavelet.HHH_glcm_ClusterShade,100
wavelet.HHL_glcm_ClusterShade,16
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,1
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,107
wavelet.HLH_glcm_ClusterShade,39
original_shape_Flatness,34
wavelet.HHL_firstorder_Mean,11
wavelet.HLL_firstorder_Mean,3
wavelet.HHH_gldm_GrayLevelVariance,1
wavelet.HLH_firstorder_Mean,12
original_firstorder_Maximum,2
log.sigma.2.0.mm.3D_firstorder_Median,3
wavelet.LHH_firstorder_Variance,1
lbp.3D.m2_firstorder_Skewness,3
lbp.3D.m2_glcm_ClusterShade,1
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,10
wavelet.HLH_firstorder_Median,7
lbp.3D.m1_firstorder_Mean,4
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,9
original_glcm_Imc2,1
lbp.3D.k_glcm_ClusterShade,2
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,1
wavelet.LHH_glcm_InverseVariance,1
wavelet.LLH_firstorder_Mean,1
wavelet.LLH_firstorder_Median,2
lbp.3D.m2_firstorder_90Percentile,4
wavelet.LLH_glcm_Correlation,1
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,1
wavelet.HHL_firstorder_Median,2
wavelet.HLL_glcm_ClusterProminence,2
wavelet.HHH_firstorder_Mean,1
lbp.3D.m2_firstorder_RootMeanSquared,1
iter,250
