f,count
wavelet.LLL_firstorder_10Percentile,250
lbp.3D.m1_firstorder_Skewness,239
gradient_glszm_LargeAreaEmphasis,229
log.sigma.2.0.mm.3D_firstorder_InterquartileRange,238
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,45
wavelet.HLH_glcm_Idmn,91
wavelet.HHL_glcm_JointEnergy,21
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,65
wavelet.HLH_glcm_Correlation,33
lbp.3D.k_glcm_Idmn,84
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,70
wavelet.HHH_firstorder_Mean,145
lbp.3D.m1_firstorder_RootMeanSquared,32
wavelet.HLH_firstorder_Energy,24
log.sigma.3.0.mm.3D_glcm_Correlation,4
wavelet.HLH_glcm_JointEnergy,114
wavelet.LLL_glcm_Idn,27
original_shape_Flatness,1
log.sigma.3.0.mm.3D_glcm_MaximumProbability,60
wavelet.LHL_glcm_Correlation,19
gradient_firstorder_RobustMeanAbsoluteDeviation,74
original_glszm_LargeAreaHighGrayLevelEmphasis,10
wavelet.LLH_glszm_GrayLevelVariance,22
wavelet.LLL_firstorder_Minimum,8
log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,12
log.sigma.3.0.mm.3D_firstorder_Median,48
wavelet.HLL_firstorder_Maximum,4
wavelet.LHL_firstorder_Mean,16
wavelet.HHL_glcm_ClusterShade,20
wavelet.LLL_firstorder_Skewness,31
wavelet.HLH_glcm_Imc1,4
log.sigma.2.0.mm.3D_firstorder_90Percentile,2
wavelet.LLH_firstorder_Mean,1
wavelet.LHH_glcm_Imc2,1
wavelet.LHL_glcm_JointEnergy,5
gradient_firstorder_Kurtosis,13
lbp.3D.m2_firstorder_Maximum,4
wavelet.LHH_glcm_Correlation,6
log.sigma.4.0.mm.3D_glcm_Idmn,5
wavelet.HLH_glszm_LargeAreaEmphasis,41
wavelet.LLH_firstorder_Median,1
wavelet.HHH_firstorder_Skewness,2
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,5
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,3
wavelet.LHL_firstorder_Skewness,9
wavelet.HHH_firstorder_Median,33
wavelet.LHL_firstorder_Kurtosis,2
lbp.3D.k_firstorder_Range,21
wavelet.LLH_glcm_Correlation,12
wavelet.HLL_firstorder_Median,11
wavelet.HHH_gldm_GrayLevelVariance,6
wavelet.HHL_glcm_Imc1,28
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,5
wavelet.HLH_firstorder_Skewness,10
log.sigma.4.0.mm.3D_firstorder_Kurtosis,3
wavelet.LHL_firstorder_90Percentile,13
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,8
wavelet.LHH_glszm_LargeAreaEmphasis,6
wavelet.LLH_firstorder_90Percentile,19
lbp.3D.m1_glcm_ClusterShade,11
wavelet.LHH_glcm_ClusterShade,5
wavelet.HLL_glcm_MaximumProbability,7
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,1
wavelet.HHH_glszm_LargeAreaEmphasis,12
log.sigma.2.0.mm.3D_glcm_MaximumProbability,5
wavelet.LHL_firstorder_Median,8
wavelet.HLL_firstorder_90Percentile,2
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,11
gradient_glcm_Imc2,4
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,3
gradient_glszm_SmallAreaLowGrayLevelEmphasis,2
log.sigma.4.0.mm.3D_glcm_Idm,10
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,2
original_shape_Elongation,1
wavelet.LHH_gldm_DependenceNonUniformityNormalized,8
gradient_firstorder_Minimum,9
wavelet.LHH_glcm_InverseVariance,4
wavelet.LHL_glcm_ClusterProminence,1
wavelet.LLL_glcm_Imc2,1
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,1
log.sigma.3.0.mm.3D_glrlm_ShortRunEmphasis,1
original_shape_SurfaceArea,1
wavelet.HLH_firstorder_Median,3
wavelet.HHH_glcm_Correlation,4
original_firstorder_Maximum,4
log.sigma.3.0.mm.3D_firstorder_90Percentile,6
lbp.3D.k_glcm_ClusterShade,1
wavelet.LHL_firstorder_Maximum,1
wavelet.HHL_firstorder_Mean,2
wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation,1
wavelet.LHH_glszm_SizeZoneNonUniformity,1
log.sigma.2.0.mm.3D_firstorder_Skewness,1
wavelet.HHH_glszm_SmallAreaEmphasis,3
wavelet.HHL_gldm_DependenceEntropy,1
wavelet.LLH_glcm_Idmn,2
log.sigma.4.0.mm.3D_glcm_JointEnergy,2
wavelet.HLH_glcm_ClusterShade,2
wavelet.HHH_firstorder_Kurtosis,1
log.sigma.2.0.mm.3D_firstorder_Kurtosis,1
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,3
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,1
lbp.3D.m2_firstorder_Skewness,2
wavelet.HHL_firstorder_Median,1
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,1
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,2
lbp.3D.k_gldm_DependenceEntropy,2
wavelet.HHH_glcm_ClusterShade,1
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.LLH_gldm_DependenceVariance,2
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,1
logarithm_glszm_SizeZoneNonUniformityNormalized,1
log.sigma.4.0.mm.3D_glcm_DifferenceVariance,1
wavelet.LHH_gldm_DependenceEntropy,1
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,1
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.LHH_firstorder_Median,1
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,4
wavelet.LHH_glcm_MaximumProbability,1
