f,count
original_shape_Flatness,137
original_glszm_LargeAreaEmphasis,16
original_gldm_LargeDependenceHighGrayLevelEmphasis,89
log.sigma.2.0.mm.3D_firstorder_Kurtosis,60
log.sigma.2.0.mm.3D_glcm_Correlation,114
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,139
log.sigma.2.0.mm.3D_gldm_DependenceEntropy,32
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,55
log.sigma.3.0.mm.3D_glcm_Imc2,37
wavelet.LLH_firstorder_Kurtosis,88
wavelet.LLH_glcm_Imc1,41
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,80
wavelet.LLH_gldm_DependenceEntropy,63
wavelet.LHH_firstorder_Skewness,166
wavelet.LHH_glcm_Correlation,56
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,107
wavelet.HLL_gldm_DependenceVariance,45
wavelet.HLH_firstorder_Kurtosis,117
wavelet.HLH_glcm_Correlation,25
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,53
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,58
wavelet.HLH_glszm_ZoneEntropy,64
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,22
wavelet.HHL_firstorder_Kurtosis,119
wavelet.HHL_firstorder_Maximum,29
wavelet.HHL_firstorder_Mean,105
wavelet.HHL_firstorder_Skewness,162
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,237
wavelet.HHL_glszm_ZoneVariance,79
wavelet.HHH_firstorder_Median,214
wavelet.HHH_glcm_ClusterShade,160
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,26
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,61
wavelet.LLL_firstorder_10Percentile,63
wavelet.LLL_firstorder_Minimum,65
gradient_glcm_Imc1,248
gradient_glcm_Imc2,246
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,28
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,89
lbp.3D.m1_gldm_LargeDependenceEmphasis,86
lbp.3D.m2_firstorder_Kurtosis,96
lbp.3D.m2_firstorder_Maximum,39
lbp.3D.m2_glcm_ClusterShade,170
lbp.3D.m2_glszm_LargeAreaEmphasis,203
lbp.3D.m2_gldm_HighGrayLevelEmphasis,175
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,125
lbp.3D.k_glcm_ClusterProminence,63
lbp.3D.k_glcm_Correlation,41
