f,count
original_shape_Flatness,176
original_shape_Sphericity,249
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,92
wavelet.LHL_firstorder_Skewness,204
wavelet.LHH_firstorder_Mean,204
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,194
wavelet.LHH_gldm_DependenceVariance,87
wavelet.HLL_firstorder_Skewness,250
wavelet.HLH_firstorder_Kurtosis,147
wavelet.HLH_firstorder_Mean,245
wavelet.HLH_firstorder_Skewness,215
wavelet.HLH_glcm_ClusterProminence,160
wavelet.HLH_glcm_Correlation,18
wavelet.HHL_firstorder_Median,213
wavelet.HHL_firstorder_Skewness,221
wavelet.HHL_glcm_Correlation,45
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,212
wavelet.HHH_firstorder_Kurtosis,215
wavelet.HHH_firstorder_Mean,198
wavelet.HHH_firstorder_Median,245
wavelet.HHH_gldm_DependenceVariance,81
wavelet.LLL_firstorder_Minimum,171
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,237
lbp.3D.m2_firstorder_Maximum,234
lbp.3D.k_glrlm_LowGrayLevelRunEmphasis,228
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,245
logarithm_glrlm_LongRunLowGrayLevelEmphasis,185
log.sigma.2.0.mm.3D_glcm_Correlation,59
wavelet.LHH_firstorder_Median,147
wavelet.HLH_firstorder_Median,155
wavelet.HHL_firstorder_Mean,63
wavelet.HHH_firstorder_Skewness,115
wavelet.HHH_glrlm_LongRunHighGrayLevelEmphasis,69
wavelet.HHH_gldm_DependenceNonUniformityNormalized,50
gradient_glszm_LargeAreaLowGrayLevelEmphasis,17
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,62
lbp.3D.k_glrlm_RunEntropy,131
wavelet.LHL_glcm_ClusterShade,110
wavelet.LHL_glcm_Correlation,71
wavelet.LHH_firstorder_Skewness,150
wavelet.HHH_glcm_ClusterShade,149
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,28
lbp.3D.k_glszm_ZonePercentage,84
original_shape_MajorAxisLength,14
wavelet.LHH_glcm_ClusterProminence,30
wavelet.LHH_glcm_Imc2,56
wavelet.HHL_firstorder_Kurtosis,142
wavelet.HHH_glcm_Correlation,93
lbp.3D.k_glcm_SumSquares,58
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,40
wavelet.LHL_firstorder_Kurtosis,46
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,52
wavelet.HLH_glcm_Idmn,60
wavelet.HHH_glszm_SmallAreaEmphasis,117
gradient_firstorder_Minimum,99
lbp.3D.k_gldm_LargeDependenceEmphasis,36
wavelet.HLH_glcm_Autocorrelation,23
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,17
wavelet.HHL_glcm_ClusterShade,66
lbp.3D.m2_firstorder_Kurtosis,42
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,17
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,35
original_glszm_SmallAreaLowGrayLevelEmphasis,32
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,10
lbp.3D.k_glcm_Idmn,92
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,25
wavelet.LHL_glcm_JointAverage,39
wavelet.LHH_glszm_ZoneVariance,8
wavelet.HHH_glcm_Idn,29
lbp.3D.k_glszm_ZoneEntropy,25
original_glszm_LargeAreaHighGrayLevelEmphasis,17
log.sigma.4.0.mm.3D_firstorder_Skewness,62
lbp.3D.m1_firstorder_Skewness,58
wavelet.HHH_firstorder_Energy,11
wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis,19
wavelet.LLH_firstorder_Mean,11
wavelet.LHL_glcm_Idn,10
lbp.3D.m2_glcm_ClusterShade,4
log.sigma.4.0.mm.3D_glcm_ClusterShade,8
wavelet.LHH_glrlm_LowGrayLevelRunEmphasis,19
wavelet.LHH_glszm_HighGrayLevelZoneEmphasis,13
logarithm_glcm_MaximumProbability,4
wavelet.LLH_firstorder_Skewness,14
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,15
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,7
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,20
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,8
logarithm_glszm_SizeZoneNonUniformityNormalized,25
wavelet.LHH_glcm_Correlation,30
wavelet.LLL_glszm_LargeAreaEmphasis,18
original_shape_Elongation,23
lbp.3D.m2_firstorder_90Percentile,12
wavelet.HHL_gldm_DependenceVariance,3
wavelet.HLH_glszm_ZoneEntropy,3
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,17
gradient_glszm_SmallAreaLowGrayLevelEmphasis,2
original_firstorder_10Percentile,1
original_glcm_Autocorrelation,4
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,4
wavelet.LLH_firstorder_Median,13
lbp.3D.m2_glcm_Correlation,24
wavelet.HLH_glszm_LowGrayLevelZoneEmphasis,19
log.sigma.4.0.mm.3D_firstorder_Maximum,1
log.sigma.3.0.mm.3D_glcm_MaximumProbability,4
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,4
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,10
wavelet.LHH_glcm_Idn,14
lbp.3D.k_firstorder_Kurtosis,14
wavelet.HLL_glcm_Correlation,5
wavelet.HHL_glcm_Idmn,12
log.sigma.4.0.mm.3D_glcm_Correlation,2
wavelet.HLH_firstorder_TotalEnergy,5
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.LHH_firstorder_InterquartileRange,3
wavelet.LHL_firstorder_TotalEnergy,2
wavelet.HLL_glcm_ClusterShade,1
wavelet.LLH_glcm_Correlation,1
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,6
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,4
wavelet.HLL_firstorder_Kurtosis,2
wavelet.HHL_glcm_Imc1,6
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HLL_glcm_Idn,2
wavelet.HLL_glszm_GrayLevelNonUniformityNormalized,1
wavelet.HLL_firstorder_Median,3
iter,250
