f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,241
original_firstorder_Maximum,205
original_glcm_Imc2,250
original_glrlm_LongRunLowGrayLevelEmphasis,170
log.sigma.2.0.mm.3D_firstorder_90Percentile,192
log.sigma.2.0.mm.3D_firstorder_Energy,188
log.sigma.2.0.mm.3D_firstorder_Kurtosis,152
log.sigma.2.0.mm.3D_firstorder_Mean,184
log.sigma.2.0.mm.3D_glcm_JointEnergy,221
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,173
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,118
log.sigma.3.0.mm.3D_firstorder_Skewness,213
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,167
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,107
log.sigma.4.0.mm.3D_firstorder_90Percentile,239
log.sigma.4.0.mm.3D_firstorder_Median,52
log.sigma.4.0.mm.3D_firstorder_Skewness,233
log.sigma.4.0.mm.3D_glcm_JointEnergy,226
log.sigma.4.0.mm.3D_glcm_Idm,240
log.sigma.4.0.mm.3D_glcm_MaximumProbability,238
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,240
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,52
wavelet.LLH_firstorder_Mean,242
wavelet.LLH_firstorder_Median,232
wavelet.LLH_glcm_ClusterShade,232
wavelet.LLH_glcm_Correlation,246
wavelet.LLH_glcm_Imc1,222
wavelet.LLH_glcm_Imc2,139
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,205
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,146
wavelet.LHL_firstorder_Kurtosis,68
wavelet.LHL_firstorder_Mean,249
wavelet.LHL_firstorder_Median,249
wavelet.LHL_glcm_Correlation,135
wavelet.LHL_glcm_Imc2,246
wavelet.LHL_glcm_MaximumProbability,240
wavelet.LHH_firstorder_Kurtosis,195
wavelet.LHH_firstorder_Skewness,208
wavelet.LHH_glcm_ClusterShade,120
wavelet.LHH_glcm_Imc2,157
wavelet.LHH_glcm_InverseVariance,247
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,249
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,94
wavelet.HLL_firstorder_10Percentile,202
wavelet.HLL_firstorder_90Percentile,210
wavelet.HLL_firstorder_Mean,246
wavelet.HLL_firstorder_Median,217
wavelet.HLL_firstorder_Range,131
wavelet.HLL_firstorder_Skewness,152
wavelet.HLL_glcm_ClusterProminence,206
wavelet.HLL_glcm_ClusterTendency,105
wavelet.HLL_glcm_JointEnergy,164
wavelet.HLL_glcm_Imc2,223
wavelet.HLL_glcm_InverseVariance,243
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,171
wavelet.HLH_firstorder_Kurtosis,171
wavelet.HLH_firstorder_Mean,216
wavelet.HLH_firstorder_Median,234
wavelet.HLH_firstorder_Skewness,248
wavelet.HLH_glcm_ClusterShade,249
wavelet.HLH_glcm_Correlation,153
wavelet.HLH_glcm_JointEnergy,236
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,95
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,220
wavelet.HLH_glszm_SmallAreaEmphasis,102
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,67
wavelet.HHL_firstorder_Kurtosis,99
wavelet.HHL_firstorder_Mean,250
wavelet.HHL_firstorder_Median,240
wavelet.HHL_firstorder_Skewness,229
wavelet.HHL_glcm_ClusterProminence,230
wavelet.HHL_glcm_ClusterShade,245
wavelet.HHL_glcm_Contrast,152
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,106
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,246
wavelet.HHL_gldm_DependenceVariance,240
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,250
wavelet.HHH_firstorder_Kurtosis,211
wavelet.HHH_firstorder_Mean,98
wavelet.HHH_firstorder_Median,225
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,247
wavelet.HHH_glcm_Correlation,163
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,211
wavelet.HHH_glszm_SmallAreaEmphasis,177
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,245
wavelet.LLL_glcm_ClusterShade,207
gradient_firstorder_10Percentile,93
gradient_firstorder_Kurtosis,123
gradient_glcm_ClusterProminence,111
gradient_glszm_LargeAreaHighGrayLevelEmphasis,224
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,74
lbp.3D.m1_firstorder_Mean,201
lbp.3D.m1_firstorder_Skewness,249
lbp.3D.m1_glcm_Autocorrelation,200
lbp.3D.m1_glcm_ClusterShade,250
lbp.3D.m1_glcm_Correlation,146
lbp.3D.m1_glcm_Imc2,193
lbp.3D.m2_firstorder_90Percentile,247
lbp.3D.m2_firstorder_Kurtosis,189
lbp.3D.m2_firstorder_RootMeanSquared,249
lbp.3D.m2_firstorder_Skewness,250
lbp.3D.m2_glcm_ClusterProminence,250
lbp.3D.m2_glcm_ClusterShade,250
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,240
lbp.3D.k_firstorder_10Percentile,214
lbp.3D.k_glcm_ClusterShade,244
lbp.3D.k_glcm_DifferenceVariance,168
lbp.3D.k_glszm_SmallAreaEmphasis,246
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,248
logarithm_glcm_Imc1,217
logarithm_glrlm_GrayLevelNonUniformityNormalized,202
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,239
logarithm_gldm_DependenceVariance,229
original_shape_MajorAxisLength,119
log.sigma.2.0.mm.3D_firstorder_Skewness,72
log.sigma.3.0.mm.3D_glcm_Imc2,26
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,206
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,143
wavelet.LLH_firstorder_Skewness,156
wavelet.LLH_glcm_Id,120
wavelet.LHL_firstorder_Skewness,124
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,38
wavelet.LHH_firstorder_Median,225
wavelet.LHH_glcm_Correlation,157
wavelet.LHH_glcm_Idmn,64
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,76
wavelet.LHH_glszm_ZoneVariance,80
wavelet.HHH_firstorder_Energy,186
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,241
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,120
wavelet.LLL_firstorder_10Percentile,167
lbp.3D.k_firstorder_Kurtosis,171
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,19
logarithm_glszm_LargeAreaEmphasis,25
log.sigma.2.0.mm.3D_glcm_Correlation,122
