f,count
original_shape_Elongation,184
original_firstorder_Maximum,113
original_glcm_Imc2,129
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,19
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,130
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,149
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,62
wavelet.LLH_firstorder_Kurtosis,51
wavelet.LLH_firstorder_Mean,96
wavelet.LLH_glcm_ClusterShade,45
wavelet.LLH_glcm_Correlation,93
wavelet.LLH_glcm_Imc2,24
wavelet.LLH_gldm_LargeDependenceEmphasis,10
wavelet.LHL_firstorder_Mean,148
wavelet.LHH_firstorder_Kurtosis,45
wavelet.LHH_firstorder_Median,143
wavelet.LHH_firstorder_Skewness,209
wavelet.LHH_glcm_Correlation,152
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,21
wavelet.HLL_firstorder_10Percentile,101
wavelet.HLL_firstorder_Mean,173
wavelet.HLL_glcm_ClusterProminence,133
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,37
wavelet.HLH_firstorder_Kurtosis,52
wavelet.HLH_firstorder_Skewness,107
wavelet.HLH_glcm_ClusterShade,184
wavelet.HLH_glcm_JointEnergy,93
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,149
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,18
wavelet.HHL_firstorder_Mean,150
wavelet.HHL_firstorder_Median,210
wavelet.HHL_glcm_ClusterShade,182
wavelet.HHL_glcm_JointEnergy,130
wavelet.HHL_gldm_DependenceVariance,101
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,118
wavelet.HHH_firstorder_Kurtosis,69
wavelet.HHH_glcm_ClusterShade,197
lbp.3D.m1_glcm_ClusterShade,176
lbp.3D.m2_firstorder_90Percentile,166
lbp.3D.m2_firstorder_Skewness,107
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,110
lbp.3D.k_firstorder_Kurtosis,226
lbp.3D.k_glcm_ClusterShade,179
original_shape_Flatness,187
original_glrlm_LongRunLowGrayLevelEmphasis,24
log.sigma.3.0.mm.3D_firstorder_Skewness,85
log.sigma.4.0.mm.3D_glcm_JointEnergy,32
log.sigma.4.0.mm.3D_glcm_Idm,48
wavelet.LLH_firstorder_Median,125
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,67
wavelet.LHL_firstorder_Median,155
wavelet.LHL_glcm_Correlation,34
wavelet.LHH_glcm_ClusterShade,106
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,93
wavelet.HLL_firstorder_90Percentile,89
wavelet.HLL_glcm_ClusterTendency,34
wavelet.HLL_glcm_JointEnergy,37
wavelet.HLH_glszm_SizeZoneNonUniformity,13
wavelet.HHL_firstorder_Skewness,82
wavelet.HHL_glcm_ClusterProminence,154
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,46
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,151
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,128
wavelet.HHH_glszm_SmallAreaEmphasis,147
wavelet.LLL_firstorder_10Percentile,118
lbp.3D.m1_firstorder_Mean,72
lbp.3D.m1_glcm_Autocorrelation,95
lbp.3D.m2_firstorder_RootMeanSquared,133
log.sigma.2.0.mm.3D_firstorder_Skewness,36
log.sigma.2.0.mm.3D_glcm_Correlation,38
log.sigma.4.0.mm.3D_firstorder_Skewness,83
wavelet.LLH_firstorder_RootMeanSquared,47
wavelet.LLH_firstorder_Skewness,101
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,13
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,81
wavelet.LHL_gldm_LowGrayLevelEmphasis,34
wavelet.HLH_glszm_SmallAreaEmphasis,14
wavelet.HHL_glcm_Contrast,47
wavelet.HHH_firstorder_Mean,18
wavelet.HHH_firstorder_Median,129
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,124
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,83
gradient_glcm_Imc1,7
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,11
lbp.3D.m2_glcm_ClusterShade,71
lbp.3D.k_firstorder_10Percentile,164
logarithm_glrlm_GrayLevelNonUniformityNormalized,13
original_shape_Sphericity,78
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,8
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,29
wavelet.LLH_glszm_LargeAreaEmphasis,30
wavelet.LHL_glcm_Imc2,88
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,12
wavelet.HHH_glszm_ZoneVariance,41
lbp.3D.k_glcm_DifferenceVariance,37
logarithm_glcm_Imc1,76
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,38
wavelet.LHH_glcm_InverseVariance,103
wavelet.HLL_firstorder_Median,41
wavelet.HLL_firstorder_Skewness,17
wavelet.HLH_firstorder_Mean,69
wavelet.HHH_firstorder_Energy,94
wavelet.HHH_firstorder_Skewness,121
wavelet.HHH_glcm_JointEnergy,62
gradient_glszm_SmallAreaLowGrayLevelEmphasis,14
logarithm_gldm_DependenceVariance,23
log.sigma.2.0.mm.3D_firstorder_90Percentile,32
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,46
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,28
lbp.3D.m1_glcm_Correlation,9
lbp.3D.m1_glcm_Imc2,44
lbp.3D.k_glszm_SmallAreaEmphasis,150
log.sigma.3.0.mm.3D_glcm_Correlation,12
log.sigma.4.0.mm.3D_firstorder_90Percentile,83
log.sigma.4.0.mm.3D_glcm_MaximumProbability,64
wavelet.LHL_firstorder_Skewness,60
wavelet.LLL_glcm_ClusterShade,33
wavelet.LLL_glcm_Correlation,18
lbp.3D.m1_firstorder_Skewness,93
