f,count
original_shape_Elongation,195
original_glcm_Imc2,26
log.sigma.2.0.mm.3D_firstorder_10Percentile,15
log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,46
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,100
log.sigma.3.0.mm.3D_firstorder_Skewness,131
log.sigma.4.0.mm.3D_firstorder_Skewness,108
log.sigma.4.0.mm.3D_glcm_ClusterShade,97
log.sigma.4.0.mm.3D_glcm_JointEnergy,121
log.sigma.4.0.mm.3D_glcm_MaximumProbability,138
wavelet.LLH_glcm_Imc1,25
wavelet.LHL_firstorder_90Percentile,47
wavelet.LHL_firstorder_MeanAbsoluteDeviation,128
wavelet.LHL_firstorder_Mean,133
wavelet.LHL_firstorder_Median,22
wavelet.LHL_glcm_ClusterProminence,54
wavelet.LHL_glcm_InverseVariance,22
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,12
wavelet.LHL_glszm_ZoneEntropy,14
wavelet.LHH_glcm_ClusterShade,158
wavelet.LHH_glcm_InverseVariance,59
wavelet.LHH_glszm_LargeAreaEmphasis,106
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,145
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,41
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,27
wavelet.HLL_firstorder_Mean,214
wavelet.HLL_firstorder_Median,126
wavelet.HLL_glszm_ZoneVariance,96
wavelet.HLH_firstorder_Kurtosis,37
wavelet.HLH_glszm_HighGrayLevelZoneEmphasis,45
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,219
wavelet.HLH_gldm_LowGrayLevelEmphasis,187
wavelet.HHL_firstorder_Mean,124
wavelet.HHL_firstorder_Skewness,103
wavelet.HHL_glcm_ClusterShade,190
wavelet.HHL_glszm_LargeAreaEmphasis,172
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,119
wavelet.HHH_firstorder_Skewness,194
wavelet.HHH_glcm_ClusterShade,216
wavelet.HHH_glcm_Imc1,41
wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,39
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,19
gradient_glszm_LargeAreaEmphasis,91
gradient_gldm_DependenceVariance,22
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,94
lbp.3D.m1_firstorder_RootMeanSquared,226
lbp.3D.m1_glcm_JointAverage,242
lbp.3D.m1_glcm_ClusterShade,216
lbp.3D.m2_firstorder_Kurtosis,84
lbp.3D.m2_glcm_JointAverage,203
lbp.3D.m2_glcm_ClusterShade,139
lbp.3D.m2_glcm_Imc2,80
lbp.3D.k_glcm_ClusterProminence,229
lbp.3D.k_glcm_SumSquares,131
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,52
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,51
logarithm_glcm_Imc1,110
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,146
original_glcm_Imc1,91
log.sigma.2.0.mm.3D_glcm_Correlation,82
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,159
log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,25
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,175
log.sigma.4.0.mm.3D_glcm_Correlation,22
wavelet.LLH_glcm_ClusterProminence,131
wavelet.LLH_glcm_Correlation,54
wavelet.LHL_glcm_DifferenceVariance,54
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,90
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,68
wavelet.LHH_glszm_SizeZoneNonUniformity,47
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,67
wavelet.HLL_firstorder_10Percentile,169
wavelet.HLH_glcm_Idm,43
wavelet.HHH_firstorder_Mean,59
wavelet.HHH_glcm_Correlation,60
gradient_glcm_Imc2,21
lbp.3D.m1_firstorder_Median,74
lbp.3D.m2_firstorder_90Percentile,145
lbp.3D.m2_firstorder_Range,208
lbp.3D.m2_glcm_ClusterProminence,75
lbp.3D.k_firstorder_Range,135
lbp.3D.k_glcm_Idmn,88
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,69
logarithm_glrlm_GrayLevelNonUniformityNormalized,39
logarithm_glszm_LargeAreaEmphasis,185
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,143
original_shape_SurfaceVolumeRatio,16
original_firstorder_Maximum,96
original_glcm_Correlation,50
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,36
wavelet.LLH_firstorder_InterquartileRange,28
wavelet.LLH_firstorder_Kurtosis,101
wavelet.LLH_firstorder_Skewness,31
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,39
wavelet.LHL_firstorder_Skewness,75
wavelet.LHL_glcm_Idmn,12
wavelet.LHH_firstorder_Variance,87
wavelet.HLL_firstorder_Kurtosis,16
wavelet.HLH_glcm_ClusterShade,98
wavelet.HLH_glszm_ZoneVariance,105
wavelet.HHL_firstorder_Energy,93
wavelet.HHL_firstorder_Median,131
wavelet.HHL_glcm_Imc1,23
wavelet.HHH_firstorder_Median,46
wavelet.HHH_glcm_JointEnergy,91
wavelet.HHH_glszm_LargeAreaEmphasis,71
wavelet.LLL_firstorder_10Percentile,164
gradient_firstorder_10Percentile,74
lbp.3D.k_firstorder_10Percentile,46
lbp.3D.k_firstorder_Kurtosis,45
logarithm_firstorder_Minimum,149
original_shape_Flatness,72
log.sigma.4.0.mm.3D_glcm_Contrast,18
log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,12
log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,13
wavelet.LLH_glcm_ClusterTendency,106
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,81
wavelet.LHL_firstorder_Kurtosis,35
wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis,65
wavelet.LHH_glcm_MaximumProbability,19
wavelet.HHL_glcm_JointEnergy,128
gradient_firstorder_Kurtosis,86
lbp.3D.m2_firstorder_Maximum,18
log.sigma.2.0.mm.3D_glcm_ClusterShade,31
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformity,33
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,10
wavelet.HLL_glcm_Idmn,6
wavelet.HLH_firstorder_Median,32
wavelet.HLH_firstorder_Skewness,84
wavelet.HHL_glcm_ClusterProminence,48
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,24
wavelet.LLL_glcm_Idn,29
logarithm_glcm_ClusterShade,47
wavelet.LLH_firstorder_90Percentile,27
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,41
wavelet.HLL_glcm_Idm,82
wavelet.HLL_glcm_MaximumProbability,57
wavelet.HLH_glcm_Idmn,7
wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis,24
wavelet.HHH_glcm_Idmn,17
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,73
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,71
lbp.3D.m1_firstorder_Skewness,31
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,102
log.sigma.2.0.mm.3D_firstorder_90Percentile,18
log.sigma.4.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,28
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,21
wavelet.LHL_glcm_Correlation,66
wavelet.HLL_firstorder_RootMeanSquared,55
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,18
