f,count
original_shape_Flatness,250
original_shape_Sphericity,208
original_glcm_Imc1,87
original_gldm_LargeDependenceLowGrayLevelEmphasis,204
log.sigma.2.0.mm.3D_glcm_Correlation,235
wavelet.LLH_firstorder_Skewness,143
wavelet.LHL_firstorder_90Percentile,165
wavelet.LHL_firstorder_Kurtosis,122
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,171
wavelet.LHH_firstorder_Kurtosis,31
wavelet.LHH_firstorder_Mean,98
wavelet.LHH_glcm_Correlation,161
wavelet.HLL_firstorder_Median,25
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,43
wavelet.HLH_firstorder_Skewness,84
wavelet.HLH_glcm_ClusterShade,229
wavelet.HHL_firstorder_Median,242
wavelet.HHL_firstorder_Skewness,147
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,151
wavelet.HHH_firstorder_Mean,248
wavelet.HHH_firstorder_Median,249
wavelet.HHH_firstorder_Skewness,233
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,89
wavelet.HHH_glszm_SmallAreaEmphasis,173
gradient_firstorder_Kurtosis,86
lbp.3D.m2_glszm_LargeAreaEmphasis,136
lbp.3D.k_firstorder_Range,172
lbp.3D.k_glcm_Idmn,100
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,207
lbp.3D.k_glszm_SmallAreaEmphasis,237
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,4
logarithm_glcm_Imc1,180
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,132
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,230
original_shape_MajorAxisLength,23
wavelet.LLH_glcm_Correlation,27
wavelet.LHL_glcm_Correlation,55
wavelet.HLH_firstorder_Mean,181
wavelet.HLH_firstorder_Median,94
wavelet.HHL_firstorder_Mean,170
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,120
wavelet.HHH_firstorder_Energy,89
wavelet.HHH_glcm_Imc1,103
wavelet.HHH_glcm_Idmn,51
gradient_glszm_SizeZoneNonUniformityNormalized,47
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,34
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,10
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,83
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,44
wavelet.LHH_firstorder_Skewness,183
wavelet.LHH_glcm_ClusterProminence,167
wavelet.HLL_firstorder_Kurtosis,142
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,63
wavelet.HHL_firstorder_Kurtosis,34
lbp.3D.m2_firstorder_Maximum,138
lbp.3D.k_glcm_ClusterShade,148
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,23
wavelet.LLH_glszm_LargeAreaEmphasis,14
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,103
wavelet.LHH_firstorder_Median,122
