f,count
original_glrlm_LowGrayLevelRunEmphasis,83
original_glszm_SmallAreaLowGrayLevelEmphasis,230
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,233
wavelet.LLH_glcm_Imc1,247
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,180
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,16
log.sigma.2.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,24
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,6
lbp.3D.m2_firstorder_Uniformity,137
logarithm_glcm_Imc1,133
wavelet.LHL_firstorder_Energy,31
lbp.3D.k_glcm_Imc1,45
lbp.3D.m2_firstorder_Maximum,39
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,14
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,70
wavelet.HLL_gldm_LowGrayLevelEmphasis,13
wavelet.HHL_glcm_Imc1,61
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,4
wavelet.HHL_firstorder_Median,4
gradient_firstorder_Minimum,7
original_glszm_LargeAreaHighGrayLevelEmphasis,3
original_shape_MajorAxisLength,3
wavelet.LHH_firstorder_TotalEnergy,4
wavelet.LLH_firstorder_Kurtosis,1
iter,250
