f,count
original_shape_Elongation,180
original_shape_Flatness,236
original_shape_Sphericity,197
original_firstorder_Minimum,160
wavelet.LLH_firstorder_Skewness,63
wavelet.LLH_glcm_ClusterProminence,76
wavelet.LHL_gldm_DependenceEntropy,32
wavelet.LHH_firstorder_Kurtosis,178
wavelet.LHH_firstorder_Median,221
wavelet.LHH_firstorder_Skewness,247
wavelet.LHH_glcm_ClusterShade,200
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,137
wavelet.LHH_glszm_SmallAreaEmphasis,53
wavelet.HLL_firstorder_Kurtosis,138
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,114
wavelet.HLH_firstorder_Median,245
wavelet.HLH_firstorder_Skewness,152
wavelet.HHL_firstorder_Median,240
wavelet.HHL_firstorder_Skewness,243
wavelet.HHL_glcm_ClusterShade,110
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,203
wavelet.HHH_firstorder_Kurtosis,160
wavelet.HHH_firstorder_Mean,248
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,245
wavelet.HHH_glcm_ClusterShade,237
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,84
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,115
gradient_firstorder_Minimum,108
gradient_glcm_Imc2,101
lbp.3D.m1_glszm_LargeAreaEmphasis,144
lbp.3D.m2_firstorder_InterquartileRange,16
lbp.3D.m2_firstorder_Maximum,250
lbp.3D.m2_glcm_Imc2,80
lbp.3D.m2_glcm_SumSquares,214
lbp.3D.k_firstorder_90Percentile,239
lbp.3D.k_firstorder_Kurtosis,164
lbp.3D.k_firstorder_Range,217
lbp.3D.k_glcm_Idn,53
lbp.3D.k_glrlm_LowGrayLevelRunEmphasis,192
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,241
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,188
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,7
wavelet.LHL_firstorder_RootMeanSquared,43
wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,55
wavelet.HLL_glcm_Correlation,17
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,183
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,121
wavelet.HLH_firstorder_Mean,218
wavelet.HLH_glcm_ClusterProminence,121
wavelet.HHL_firstorder_Kurtosis,106
wavelet.LLL_glrlm_LongRunLowGrayLevelEmphasis,214
lbp.3D.m1_glcm_ClusterShade,139
lbp.3D.m2_glszm_LargeAreaEmphasis,234
lbp.3D.k_firstorder_10Percentile,64
lbp.3D.k_glrlm_GrayLevelVariance,182
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,92
logarithm_glszm_SizeZoneNonUniformityNormalized,13
original_gldm_LargeDependenceHighGrayLevelEmphasis,32
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,20
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,117
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,59
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis,63
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,36
wavelet.HLH_firstorder_Kurtosis,36
wavelet.HLH_glcm_Imc1,71
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,39
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,53
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,73
lbp.3D.m1_gldm_LargeDependenceEmphasis,44
lbp.3D.m2_firstorder_90Percentile,12
lbp.3D.m2_glcm_ClusterShade,120
lbp.3D.m2_gldm_HighGrayLevelEmphasis,16
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,11
lbp.3D.k_gldm_LargeDependenceEmphasis,81
original_shape_MajorAxisLength,17
log.sigma.2.0.mm.3D_glcm_Correlation,64
wavelet.LHL_firstorder_Kurtosis,110
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,46
wavelet.HLL_firstorder_Mean,65
wavelet.HHH_glszm_SmallAreaEmphasis,108
lbp.3D.m2_firstorder_Uniformity,39
lbp.3D.k_glcm_Correlation,51
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,64
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,62
wavelet.LHL_firstorder_Skewness,59
wavelet.LHH_gldm_DependenceVariance,15
wavelet.HHL_glcm_JointEnergy,12
wavelet.HHL_glszm_ZoneVariance,10
wavelet.HHH_glcm_Idmn,67
wavelet.HHL_glcm_ClusterProminence,51
wavelet.HHL_glcm_Correlation,30
wavelet.HHH_glcm_Correlation,7
log.sigma.4.0.mm.3D_glcm_Correlation,49
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,14
wavelet.HLL_glcm_Idmn,14
wavelet.HHL_glcm_Idmn,29
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,14
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,26
gradient_glszm_SizeZoneNonUniformityNormalized,5
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,13
lbp.3D.k_glszm_SmallAreaEmphasis,62
wavelet.LHL_glrlm_HighGrayLevelRunEmphasis,41
wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis,7
log.sigma.3.0.mm.3D_glcm_ClusterShade,12
wavelet.LLH_glcm_Correlation,1
wavelet.HHH_glcm_ClusterProminence,39
lbp.3D.k_glcm_Imc1,14
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,13
wavelet.HLH_glcm_Idmn,8
wavelet.HHH_firstorder_Energy,16
wavelet.LLH_firstorder_Kurtosis,2
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,7
wavelet.LHH_firstorder_Mean,21
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,20
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,7
gradient_glszm_LargeAreaEmphasis,12
log.sigma.4.0.mm.3D_firstorder_Kurtosis,11
log.sigma.4.0.mm.3D_firstorder_Maximum,44
wavelet.LHL_glcm_DifferenceVariance,6
wavelet.HHH_glcm_Imc2,2
wavelet.LHH_glcm_Correlation,16
logarithm_glcm_Correlation,11
original_firstorder_Skewness,3
wavelet.LHH_glcm_Imc1,11
lbp.3D.m2_firstorder_Kurtosis,8
log.sigma.3.0.mm.3D_firstorder_Skewness,12
logarithm_glrlm_LongRunHighGrayLevelEmphasis,9
wavelet.HHH_gldm_DependenceNonUniformityNormalized,2
logarithm_glszm_LargeAreaEmphasis,4
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,2
wavelet.HLL_glrlm_LongRunLowGrayLevelEmphasis,9
wavelet.HHL_glcm_Imc1,5
