f,count
wavelet.LLL_firstorder_10Percentile,212
wavelet.HHL_glcm_Idmn,127
wavelet.LHL_gldm_DependenceEntropy,22
wavelet.LHL_glszm_SmallAreaEmphasis,11
log.sigma.2.0.mm.3D_firstorder_Skewness,10
original_firstorder_Maximum,41
gradient_glszm_SmallAreaLowGrayLevelEmphasis,3
wavelet.LHL_glcm_JointAverage,21
gradient_glcm_Idmn,23
wavelet.HHL_firstorder_Mean,49
lbp.3D.k_firstorder_Maximum,12
lbp.3D.k_firstorder_Kurtosis,10
original_glcm_Imc1,7
wavelet.LLH_glrlm_RunVariance,38
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,52
wavelet.HHH_glszm_SmallAreaEmphasis,51
log.sigma.2.0.mm.3D_glcm_Correlation,53
wavelet.LHH_glcm_ClusterShade,13
wavelet.HHH_firstorder_Skewness,10
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,12
lbp.3D.k_glcm_Correlation,2
wavelet.HLL_firstorder_Median,14
wavelet.LHL_glrlm_LongRunEmphasis,29
wavelet.HHL_firstorder_Skewness,55
wavelet.HHL_glcm_JointEnergy,30
gradient_glcm_Imc1,24
wavelet.HLL_firstorder_10Percentile,40
gradient_firstorder_Minimum,6
wavelet.LLH_firstorder_Skewness,67
log.sigma.2.0.mm.3D_gldm_DependenceVariance,9
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,108
wavelet.HHH_firstorder_Mean,36
lbp.3D.k_glcm_Idmn,13
gradient_glszm_SizeZoneNonUniformityNormalized,9
wavelet.HHL_firstorder_Kurtosis,7
wavelet.HLL_glcm_MaximumProbability,16
logarithm_firstorder_Minimum,42
wavelet.LHL_firstorder_Median,20
log.sigma.2.0.mm.3D_firstorder_Kurtosis,6
wavelet.LLH_glszm_GrayLevelVariance,6
log.sigma.4.0.mm.3D_glcm_Correlation,10
lbp.3D.m2_firstorder_Maximum,11
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,10
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,10
wavelet.HLH_firstorder_Mean,11
wavelet.HLH_glcm_Imc1,26
original_gldm_LargeDependenceLowGrayLevelEmphasis,3
