f,count
wavelet.LLL_firstorder_10Percentile,250
original_firstorder_Maximum,235
gradient_firstorder_Skewness,26
wavelet.LHL_glcm_MaximumProbability,39
lbp.3D.k_glcm_Idmn,7
wavelet.LHH_firstorder_Skewness,56
wavelet.HLL_firstorder_10Percentile,100
wavelet.HHL_glszm_SmallAreaEmphasis,34
lbp.3D.m1_glcm_JointAverage,61
lbp.3D.m1_firstorder_Mean,15
wavelet.LHH_firstorder_Kurtosis,25
original_shape_MajorAxisLength,163
wavelet.LLH_glcm_InverseVariance,39
original_shape_Sphericity,223
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,33
wavelet.LHL_glcm_Correlation,84
wavelet.HHL_firstorder_Skewness,96
wavelet.LLH_glcm_Correlation,144
wavelet.HHL_firstorder_Kurtosis,179
wavelet.HHH_glszm_SmallAreaEmphasis,148
lbp.3D.k_firstorder_Range,85
original_glcm_ClusterShade,86
wavelet.HLL_glcm_MaximumProbability,79
wavelet.HHL_glcm_JointEnergy,57
lbp.3D.k_firstorder_Kurtosis,7
wavelet.HLL_glcm_Correlation,76
wavelet.LHL_firstorder_90Percentile,81
wavelet.HLH_glcm_Idmn,95
lbp.3D.m1_glcm_Correlation,6
wavelet.HHL_glcm_ClusterShade,11
wavelet.HLH_glszm_SmallAreaEmphasis,26
wavelet.HLH_glcm_Correlation,17
original_shape_Elongation,105
wavelet.HHL_glcm_Correlation,48
log.sigma.3.0.mm.3D_firstorder_Skewness,7
wavelet.HHH_glcm_Idmn,14
wavelet.HLH_glcm_Contrast,38
wavelet.HHL_firstorder_Mean,9
wavelet.HLL_firstorder_90Percentile,2
wavelet.HLL_glcm_InverseVariance,58
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,15
wavelet.LHH_firstorder_Median,31
wavelet.HLL_glcm_ClusterProminence,5
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,42
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,21
logarithm_firstorder_Skewness,10
wavelet.LHL_firstorder_Kurtosis,41
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,8
wavelet.LHH_glcm_ClusterShade,16
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,69
log.sigma.4.0.mm.3D_glcm_MaximumProbability,30
lbp.3D.k_glcm_ClusterShade,43
original_glcm_Imc1,23
log.sigma.4.0.mm.3D_glcm_Imc2,79
wavelet.HHL_firstorder_Median,43
lbp.3D.m2_glcm_ClusterShade,31
wavelet.LHL_firstorder_Uniformity,5
wavelet.LLL_glcm_Correlation,17
log.sigma.2.0.mm.3D_glcm_Correlation,11
wavelet.HHH_firstorder_Mean,12
lbp.3D.m2_firstorder_Skewness,23
wavelet.LLH_firstorder_Kurtosis,12
wavelet.LHH_firstorder_90Percentile,2
wavelet.LHL_firstorder_Median,7
log.sigma.2.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,14
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,12
wavelet.LLL_glcm_Imc2,2
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,73
gradient_firstorder_10Percentile,8
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,11
wavelet.HLH_glszm_ZoneVariance,4
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,9
lbp.3D.m1_glcm_ClusterShade,25
wavelet.LHH_glcm_Correlation,16
logarithm_firstorder_Minimum,20
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,4
log.sigma.2.0.mm.3D_firstorder_Skewness,3
lbp.3D.k_firstorder_Variance,9
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,7
wavelet.HLL_glcm_JointEntropy,50
wavelet.HLH_glcm_JointEnergy,32
original_glcm_JointEnergy,12
lbp.3D.m1_firstorder_Skewness,38
logarithm_gldm_DependenceVariance,11
wavelet.HHH_firstorder_Median,18
wavelet.HLH_firstorder_Median,22
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,13
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,19
wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis,18
log.sigma.2.0.mm.3D_glcm_JointEnergy,2
original_shape_Flatness,8
wavelet.LHH_glszm_SmallAreaEmphasis,14
wavelet.HLH_firstorder_Kurtosis,5
wavelet.HHH_glcm_ClusterShade,2
wavelet.LLH_firstorder_Skewness,11
wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis,5
logarithm_glszm_SmallAreaEmphasis,4
wavelet.HLH_firstorder_Skewness,2
log.sigma.4.0.mm.3D_glrlm_ShortRunEmphasis,4
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,9
log.sigma.3.0.mm.3D_glcm_Correlation,10
wavelet.HHH_firstorder_Skewness,2
lbp.3D.m2_firstorder_90Percentile,17
wavelet.HLL_firstorder_Skewness,8
logarithm_firstorder_Uniformity,5
wavelet.HHL_glcm_Imc2,11
wavelet.LLH_glcm_ClusterShade,3
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,19
wavelet.LHL_firstorder_Skewness,5
wavelet.HLH_glcm_Imc2,14
wavelet.LHL_glszm_ZoneVariance,4
lbp.3D.m2_glcm_ClusterProminence,26
log.sigma.2.0.mm.3D_firstorder_Kurtosis,3
wavelet.LHL_firstorder_Mean,5
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,2
