f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,234
original_shape_SurfaceVolumeRatio,245
original_glcm_Correlation,189
original_glcm_Imc2,247
log.sigma.2.0.mm.3D_firstorder_90Percentile,250
log.sigma.2.0.mm.3D_firstorder_Skewness,231
log.sigma.2.0.mm.3D_glcm_Correlation,154
log.sigma.2.0.mm.3D_glcm_JointEnergy,193
log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,235
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,240
log.sigma.3.0.mm.3D_firstorder_Median,43
log.sigma.4.0.mm.3D_firstorder_10Percentile,250
log.sigma.4.0.mm.3D_glcm_ClusterShade,247
log.sigma.4.0.mm.3D_glcm_MaximumProbability,125
log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,58
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,238
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,63
wavelet.LLH_firstorder_Kurtosis,171
wavelet.LLH_firstorder_Median,231
wavelet.LLH_firstorder_Skewness,219
wavelet.LLH_glcm_Correlation,219
wavelet.LLH_glcm_Imc1,249
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,53
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,157
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,126
wavelet.LHL_firstorder_Kurtosis,100
wavelet.LHL_firstorder_MeanAbsoluteDeviation,102
wavelet.LHL_firstorder_Median,250
wavelet.LHL_firstorder_Skewness,131
wavelet.LHL_glszm_ZoneVariance,202
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,241
wavelet.LHH_firstorder_Skewness,213
wavelet.LHH_glcm_Correlation,229
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,44
wavelet.LHH_glszm_GrayLevelVariance,133
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,88
wavelet.LHH_glszm_SizeZoneNonUniformity,198
wavelet.LHH_glszm_SmallAreaEmphasis,155
wavelet.LHH_gldm_DependenceEntropy,62
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,145
wavelet.HLL_firstorder_10Percentile,212
wavelet.HLL_firstorder_Mean,248
wavelet.HLL_firstorder_Median,228
wavelet.HLL_glcm_ClusterShade,232
wavelet.HLL_glcm_Correlation,147
wavelet.HLL_glszm_ZoneVariance,147
wavelet.HLH_firstorder_Kurtosis,42
wavelet.HLH_firstorder_Median,231
wavelet.HLH_firstorder_Skewness,231
wavelet.HLH_glcm_ClusterShade,101
wavelet.HLH_glcm_Correlation,121
wavelet.HLH_glcm_JointEnergy,236
wavelet.HLH_glcm_Imc1,63
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,164
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,242
wavelet.HLH_glszm_ZoneVariance,196
wavelet.HHL_firstorder_Mean,246
wavelet.HHL_firstorder_Median,245
wavelet.HHL_glcm_ClusterProminence,132
wavelet.HHL_glcm_ClusterShade,247
wavelet.HHL_glcm_Correlation,35
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glszm_LargeAreaEmphasis,179
wavelet.HHH_firstorder_Mean,245
wavelet.HHH_firstorder_Median,248
wavelet.HHH_firstorder_Skewness,229
wavelet.HHH_glcm_ClusterShade,217
wavelet.HHH_glcm_Contrast,250
wavelet.HHH_glcm_Correlation,83
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glcm_Imc1,243
wavelet.HHH_glszm_LargeAreaEmphasis,84
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,218
wavelet.LLL_firstorder_10Percentile,221
gradient_firstorder_10Percentile,223
gradient_firstorder_Kurtosis,205
gradient_glszm_LargeAreaLowGrayLevelEmphasis,60
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,204
lbp.3D.m1_firstorder_RootMeanSquared,250
lbp.3D.m1_glcm_Autocorrelation,250
lbp.3D.m1_glcm_ClusterShade,248
lbp.3D.m1_glcm_Correlation,249
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,42
lbp.3D.m2_firstorder_90Percentile,176
lbp.3D.m2_firstorder_Kurtosis,170
lbp.3D.m2_firstorder_Maximum,198
lbp.3D.m2_firstorder_Range,98
lbp.3D.m2_firstorder_Skewness,249
lbp.3D.m2_glcm_ClusterProminence,248
lbp.3D.m2_glcm_ClusterShade,237
lbp.3D.m2_glcm_Imc2,246
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,235
lbp.3D.k_firstorder_10Percentile,93
lbp.3D.k_firstorder_Kurtosis,217
lbp.3D.k_firstorder_Minimum,146
lbp.3D.k_firstorder_Range,245
lbp.3D.k_glcm_ClusterProminence,250
lbp.3D.k_glcm_Idmn,138
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,208
logarithm_glcm_ClusterShade,245
logarithm_glcm_Imc1,230
logarithm_glrlm_GrayLevelNonUniformityNormalized,198
logarithm_glszm_LargeAreaEmphasis,168
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,225
original_firstorder_Maximum,164
log.sigma.4.0.mm.3D_firstorder_Skewness,204
log.sigma.4.0.mm.3D_glcm_DifferenceVariance,87
log.sigma.4.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,45
wavelet.LLH_firstorder_Mean,154
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,76
wavelet.LHL_glcm_ClusterProminence,148
wavelet.LHL_glcm_Correlation,243
wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis,14
wavelet.LHH_glcm_InverseVariance,104
wavelet.LHH_glcm_MaximumProbability,164
wavelet.LHH_glszm_ZonePercentage,126
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,133
wavelet.HLL_firstorder_Kurtosis,112
wavelet.HLL_firstorder_RootMeanSquared,139
wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis,125
wavelet.HHL_firstorder_Energy,189
wavelet.HHL_firstorder_Skewness,239
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,177
wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis,38
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,80
wavelet.HHH_glszm_SmallAreaEmphasis,176
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,51
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,73
gradient_firstorder_RobustMeanAbsoluteDeviation,56
lbp.3D.m1_firstorder_Skewness,151
lbp.3D.m2_firstorder_RootMeanSquared,229
lbp.3D.k_glcm_Correlation,42
lbp.3D.k_glcm_SumSquares,229
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,161
logarithm_firstorder_Minimum,205
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,216
original_glszm_LargeAreaLowGrayLevelEmphasis,46
