f,count
original_shape_Flatness,63
original_gldm_LargeDependenceHighGrayLevelEmphasis,250
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,247
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,195
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,183
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,90
wavelet.HHL_firstorder_Median,250
wavelet.HHL_glcm_Correlation,140
wavelet.HHL_glcm_Imc1,245
wavelet.HHH_firstorder_Energy,241
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,237
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,250
lbp.3D.m2_glcm_Imc2,250
lbp.3D.k_firstorder_10Percentile,46
logarithm_glcm_Imc2,130
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,110
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,246
original_shape_Elongation,16
log.sigma.3.0.mm.3D_firstorder_Kurtosis,92
wavelet.LLH_firstorder_Skewness,57
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,22
wavelet.HHH_glcm_ClusterShade,50
wavelet.HHH_glcm_Idmn,49
original_shape_Sphericity,27
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,150
wavelet.LHH_firstorder_Skewness,2
wavelet.HLH_gldm_LowGrayLevelEmphasis,133
wavelet.HHH_firstorder_Mean,106
wavelet.LLL_glcm_Autocorrelation,50
lbp.3D.k_glcm_Correlation,11
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,29
lbp.3D.m2_firstorder_Kurtosis,23
wavelet.LLH_firstorder_Kurtosis,23
wavelet.LHH_firstorder_TotalEnergy,5
wavelet.HLH_firstorder_Kurtosis,28
lbp.3D.m2_firstorder_Maximum,12
wavelet.HLH_firstorder_Skewness,1
lbp.3D.m2_gldm_LargeDependenceEmphasis,2
lbp.3D.k_glcm_ClusterShade,10
wavelet.LHL_firstorder_TotalEnergy,12
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,70
log.sigma.4.0.mm.3D_gldm_DependenceVariance,11
wavelet.HHL_firstorder_Skewness,19
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,15
wavelet.HLL_glszm_LargeAreaEmphasis,2
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,4
wavelet.HLH_glcm_ClusterShade,3
wavelet.HHH_firstorder_Skewness,1
lbp.3D.m2_firstorder_Skewness,3
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,15
gradient_firstorder_Minimum,3
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,8
lbp.3D.m2_firstorder_90Percentile,5
lbp.3D.k_glszm_SmallAreaEmphasis,2
log.sigma.4.0.mm.3D_glcm_Idmn,1
wavelet.HHH_firstorder_Median,1
lbp.3D.k_glcm_Imc1,1
original_firstorder_10Percentile,2
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,1
iter,250
