f,count
original_firstorder_10Percentile,170
original_firstorder_Kurtosis,95
original_firstorder_Minimum,87
original_glrlm_ShortRunLowGrayLevelEmphasis,92
original_gldm_LargeDependenceLowGrayLevelEmphasis,174
log.sigma.2.0.mm.3D_firstorder_90Percentile,58
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,17
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.LLH_firstorder_TotalEnergy,60
wavelet.LLH_glcm_JointEnergy,33
wavelet.LHL_firstorder_10Percentile,122
wavelet.LHL_firstorder_TotalEnergy,67
wavelet.LHL_glcm_ClusterProminence,242
wavelet.LHL_glcm_Idmn,23
wavelet.LHL_glszm_GrayLevelVariance,241
wavelet.LHL_glszm_ZoneEntropy,81
wavelet.LHH_firstorder_10Percentile,34
wavelet.LHH_firstorder_Mean,113
wavelet.LHH_glcm_ClusterProminence,132
wavelet.LHH_glcm_DifferenceVariance,94
wavelet.LHH_glszm_LargeAreaEmphasis,75
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,111
wavelet.HLL_firstorder_10Percentile,146
wavelet.HLL_firstorder_90Percentile,44
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,21
wavelet.HHL_firstorder_Mean,77
wavelet.HHL_firstorder_Median,90
wavelet.HHL_glcm_ClusterShade,85
wavelet.HHH_glcm_ClusterShade,193
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,101
gradient_glcm_Correlation,69
gradient_glcm_MaximumProbability,27
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,49
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,55
lbp.3D.m1_firstorder_Skewness,126
lbp.3D.m1_glszm_ZoneEntropy,44
lbp.3D.m2_firstorder_90Percentile,212
lbp.3D.m2_firstorder_Kurtosis,50
lbp.3D.m2_firstorder_RootMeanSquared,223
lbp.3D.m2_glrlm_GrayLevelVariance,148
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,141
lbp.3D.k_firstorder_Range,51
lbp.3D.k_glcm_Imc1,35
lbp.3D.k_glcm_Idn,99
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,35
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,98
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,110
logarithm_firstorder_RootMeanSquared,197
logarithm_firstorder_Variance,198
logarithm_glszm_HighGrayLevelZoneEmphasis,20
original_glcm_ClusterTendency,195
log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,29
log.sigma.4.0.mm.3D_firstorder_10Percentile,124
wavelet.LLH_firstorder_Kurtosis,60
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,70
wavelet.LHL_firstorder_Kurtosis,70
wavelet.LHH_firstorder_Kurtosis,66
wavelet.LHH_firstorder_Skewness,45
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,77
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,106
wavelet.HLL_firstorder_Maximum,44
wavelet.HLL_firstorder_Skewness,95
wavelet.HLH_firstorder_Kurtosis,30
wavelet.HLH_glcm_Contrast,66
wavelet.HLH_glcm_InverseVariance,28
