f,count
logarithm_glcm_Correlation,3
logarithm_firstorder_RootMeanSquared,250
log.sigma.3.0.mm.3D_glcm_MaximumProbability,161
lbp.3D.k_glcm_Correlation,240
original_firstorder_10Percentile,222
wavelet.HHL_glcm_Imc1,141
original_gldm_LargeDependenceLowGrayLevelEmphasis,15
wavelet.LHH_glcm_Imc1,24
lbp.3D.k_firstorder_Minimum,18
wavelet.HLL_firstorder_90Percentile,1
wavelet.HHL_firstorder_Kurtosis,6
original_glszm_ZoneVariance,13
wavelet.HLH_glcm_Imc1,59
log.sigma.2.0.mm.3D_glcm_Correlation,27
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,9
wavelet.LLH_firstorder_Skewness,3
gradient_glszm_SizeZoneNonUniformityNormalized,3
wavelet.LHH_firstorder_Kurtosis,1
wavelet.HHH_glcm_ClusterShade,3
wavelet.HLL_firstorder_Mean,1
lbp.3D.m1_firstorder_90Percentile,1
wavelet.HLL_glcm_JointEntropy,3
gradient_firstorder_Skewness,4
wavelet.HLL_firstorder_Maximum,1
gradient_glcm_ClusterProminence,1
lbp.3D.m2_firstorder_Kurtosis,1
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,1
wavelet.HLL_glcm_Idmn,2
wavelet.HLH_glcm_Idmn,2
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.LLH_firstorder_InterquartileRange,4
original_glszm_SmallAreaLowGrayLevelEmphasis,2
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_firstorder_10Percentile,4
log.sigma.2.0.mm.3D_glcm_Imc2,1
wavelet.HHH_firstorder_Median,1
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,1
lbp.3D.m1_glcm_ClusterShade,1
wavelet.LHL_glcm_ClusterProminence,1
gradient_glszm_LargeAreaEmphasis,1
wavelet.HHL_glcm_Correlation,1
original_firstorder_InterquartileRange,1
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.HLL_glcm_ClusterProminence,1
lbp.3D.m1_firstorder_RootMeanSquared,1
log.sigma.4.0.mm.3D_firstorder_10Percentile,2
lbp.3D.k_glcm_ClusterShade,1
wavelet.HLL_glcm_JointEnergy,1
wavelet.HLL_firstorder_Kurtosis,1
wavelet.LHH_firstorder_Skewness,3
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,2
wavelet.LLH_firstorder_Mean,1
iter,250
