f,count
original_shape_Flatness,184
original_gldm_LargeDependenceLowGrayLevelEmphasis,130
log.sigma.2.0.mm.3D_firstorder_Skewness,104
log.sigma.3.0.mm.3D_firstorder_Mean,22
log.sigma.4.0.mm.3D_glcm_Correlation,42
log.sigma.4.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,34
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,166
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,50
wavelet.LLH_firstorder_Mean,39
wavelet.LLH_glcm_Correlation,48
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,45
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,60
wavelet.LHL_firstorder_Mean,129
wavelet.LHL_firstorder_Median,78
wavelet.LHL_firstorder_Skewness,114
wavelet.LHH_firstorder_Median,114
wavelet.LHH_firstorder_Skewness,167
wavelet.LHH_glcm_ClusterShade,195
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,100
wavelet.LHH_glszm_SmallAreaEmphasis,153
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,121
wavelet.HLL_firstorder_Kurtosis,120
wavelet.HLL_firstorder_Mean,114
wavelet.HLL_glcm_Correlation,41
wavelet.HLL_glszm_LargeAreaEmphasis,120
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,94
wavelet.HLH_firstorder_Median,103
wavelet.HLH_firstorder_Skewness,202
wavelet.HLH_glcm_ClusterProminence,72
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,166
wavelet.HLH_glszm_LargeAreaEmphasis,126
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,156
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,65
wavelet.HHL_firstorder_Skewness,165
wavelet.HHL_glcm_ClusterProminence,48
wavelet.HHL_glcm_ClusterShade,181
wavelet.HHL_glcm_JointEnergy,45
wavelet.HHL_glcm_Imc1,14
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,101
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,58
wavelet.HHH_firstorder_Energy,159
