f,count
original_shape_Elongation,242
original_shape_Flatness,243
original_shape_Sphericity,212
original_firstorder_Maximum,153
original_glcm_ClusterShade,77
log.sigma.2.0.mm.3D_firstorder_Kurtosis,188
log.sigma.2.0.mm.3D_firstorder_Median,31
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,41
log.sigma.4.0.mm.3D_firstorder_90Percentile,4
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,195
wavelet.LLH_firstorder_Kurtosis,127
wavelet.LLH_firstorder_Skewness,243
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,77
wavelet.LHL_firstorder_Median,201
wavelet.LHH_firstorder_90Percentile,141
wavelet.LHH_firstorder_Median,198
wavelet.LHH_firstorder_Skewness,235
wavelet.LHH_glcm_ClusterShade,203
wavelet.LHH_glcm_Correlation,134
wavelet.LHH_glcm_InverseVariance,159
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,46
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,97
wavelet.HLH_firstorder_Median,51
wavelet.HLH_firstorder_Skewness,205
wavelet.HLH_glcm_ClusterShade,237
wavelet.HHL_firstorder_Mean,237
wavelet.HHL_firstorder_Median,250
wavelet.HHL_glcm_ClusterShade,215
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,207
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,170
wavelet.HHH_firstorder_Kurtosis,107
wavelet.HHH_firstorder_Mean,25
wavelet.HHH_firstorder_Median,245
wavelet.HHH_firstorder_Skewness,223
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,247
wavelet.HHH_glszm_SmallAreaEmphasis,246
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,131
wavelet.LLL_firstorder_10Percentile,124
lbp.3D.m1_firstorder_Skewness,191
lbp.3D.m1_glcm_ClusterShade,202
lbp.3D.m2_firstorder_RootMeanSquared,80
lbp.3D.m2_firstorder_Skewness,110
lbp.3D.m2_glcm_ClusterShade,51
lbp.3D.k_firstorder_10Percentile,246
lbp.3D.k_firstorder_Kurtosis,173
lbp.3D.k_glcm_ClusterShade,205
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,239
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,50
wavelet.LLH_firstorder_Mean,61
wavelet.LLH_firstorder_Median,60
wavelet.LLH_glcm_ClusterShade,5
wavelet.LHL_firstorder_Mean,158
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,145
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,12
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,117
wavelet.LHH_glszm_SmallAreaEmphasis,180
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,3
wavelet.HLL_firstorder_Mean,117
wavelet.HLL_firstorder_Median,82
wavelet.HLL_glcm_ClusterProminence,97
wavelet.HHL_firstorder_Skewness,199
wavelet.HHL_glcm_ClusterProminence,168
wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis,23
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,47
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,78
lbp.3D.m1_firstorder_Mean,55
wavelet.LLH_glcm_Correlation,46
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,65
wavelet.LHL_firstorder_Skewness,136
logarithm_firstorder_Minimum,41
logarithm_firstorder_Skewness,20
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,28
log.sigma.4.0.mm.3D_firstorder_Skewness,32
wavelet.HHH_firstorder_Energy,101
gradient_firstorder_Skewness,34
wavelet.LHH_firstorder_Kurtosis,38
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,38
wavelet.LLL_glcm_Imc2,121
gradient_glszm_LargeAreaHighGrayLevelEmphasis,110
logarithm_glcm_Imc2,49
wavelet.HLH_firstorder_Kurtosis,10
wavelet.HLH_firstorder_Mean,24
wavelet.HLH_glcm_JointEnergy,27
wavelet.HHL_glcm_Correlation,24
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,42
lbp.3D.m2_firstorder_90Percentile,46
lbp.3D.k_glcm_Idmn,1
log.sigma.4.0.mm.3D_glcm_ClusterShade,19
wavelet.LLH_glcm_InverseVariance,5
