f,count
wavelet.LLL_firstorder_10Percentile,249
wavelet.HHL_firstorder_Kurtosis,149
wavelet.LHH_gldm_DependenceNonUniformityNormalized,1
log.sigma.4.0.mm.3D_glcm_MaximumProbability,2
wavelet.LHL_glrlm_LongRunEmphasis,88
lbp.3D.m1_glcm_JointAverage,6
lbp.3D.m1_firstorder_Skewness,25
wavelet.LHL_glcm_Correlation,29
wavelet.HLH_glcm_Idmn,12
wavelet.LHH_firstorder_Skewness,14
original_firstorder_Maximum,126
original_shape_Sphericity,139
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,1
log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,4
lbp.3D.k_firstorder_Range,34
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,4
wavelet.HHH_glszm_SmallAreaEmphasis,65
wavelet.LHL_firstorder_Kurtosis,5
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,13
lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis,8
logarithm_gldm_DependenceVariance,6
log.sigma.3.0.mm.3D_glcm_Imc2,4
log.sigma.2.0.mm.3D_glcm_Correlation,21
wavelet.HHL_glszm_ZoneEntropy,1
wavelet.LHH_firstorder_Kurtosis,5
wavelet.HHH_firstorder_Kurtosis,5
log.sigma.3.0.mm.3D_glcm_Imc1,6
lbp.3D.m1_glcm_ClusterShade,7
wavelet.HHH_firstorder_Mean,3
wavelet.HLL_firstorder_10Percentile,30
wavelet.LLH_glcm_Correlation,18
original_shape_Elongation,14
wavelet.HLH_firstorder_Median,1
wavelet.LHH_glcm_ClusterShade,3
wavelet.HLL_glcm_Correlation,19
lbp.3D.m2_firstorder_RootMeanSquared,2
wavelet.LHH_gldm_LowGrayLevelEmphasis,1
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,1
logarithm_firstorder_Uniformity,2
wavelet.LHH_gldm_DependenceEntropy,2
log.sigma.3.0.mm.3D_glcm_Correlation,3
wavelet.HLH_glcm_Contrast,1
wavelet.LLH_firstorder_Skewness,5
wavelet.HLL_glcm_JointEntropy,2
logarithm_firstorder_Minimum,4
wavelet.HHH_glcm_Imc1,6
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,4
wavelet.LLH_firstorder_Kurtosis,4
wavelet.HLL_glcm_InverseVariance,6
original_shape_MajorAxisLength,21
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,12
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.HHL_firstorder_Skewness,15
wavelet.HHL_glcm_JointEnergy,9
wavelet.HHH_glcm_ClusterShade,2
wavelet.HHL_glcm_Contrast,1
wavelet.HHH_glcm_Idmn,1
lbp.3D.k_glcm_ClusterShade,3
wavelet.HLL_glcm_MaximumProbability,2
original_glcm_ClusterShade,2
wavelet.HHH_firstorder_Skewness,1
lbp.3D.m1_glcm_Correlation,2
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,1
wavelet.HLL_firstorder_Skewness,1
wavelet.HHL_glcm_Correlation,4
wavelet.LHL_gldm_LowGrayLevelEmphasis,1
wavelet.LHH_firstorder_Median,2
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,1
lbp.3D.k_glszm_ZonePercentage,2
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HLH_glcm_JointEnergy,1
wavelet.HHL_gldm_DependenceVariance,1
lbp.3D.k_firstorder_Minimum,1
lbp.3D.k_glcm_Correlation,1
wavelet.HHL_glszm_SmallAreaEmphasis,1
iter,250
