f,count
original_shape_Elongation,210
original_shape_Flatness,73
original_glcm_Imc2,76
log.sigma.3.0.mm.3D_glcm_Idmn,18
log.sigma.4.0.mm.3D_firstorder_Skewness,44
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,14
wavelet.LLH_firstorder_Mean,99
wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation,86
wavelet.LHL_glcm_ClusterProminence,59
wavelet.LHH_glcm_ClusterShade,144
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,119
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,63
wavelet.HLL_firstorder_Kurtosis,17
wavelet.HLL_glcm_Correlation,19
wavelet.HLH_firstorder_Kurtosis,24
wavelet.HLH_glcm_Idm,25
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,156
wavelet.HLH_glszm_ZoneVariance,84
wavelet.HHL_glcm_JointEnergy,100
wavelet.HHL_glszm_LargeAreaEmphasis,86
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,165
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,54
wavelet.HHH_glszm_SmallAreaEmphasis,65
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,32
gradient_glszm_LargeAreaLowGrayLevelEmphasis,72
lbp.3D.m1_firstorder_Median,132
lbp.3D.m1_firstorder_RootMeanSquared,139
lbp.3D.m1_firstorder_Skewness,38
lbp.3D.m1_glcm_ClusterShade,193
lbp.3D.m2_firstorder_90Percentile,172
lbp.3D.m2_firstorder_RootMeanSquared,174
lbp.3D.m2_glcm_ClusterShade,127
lbp.3D.k_firstorder_10Percentile,38
lbp.3D.k_firstorder_Kurtosis,46
lbp.3D.k_glcm_ClusterProminence,234
lbp.3D.k_glcm_Correlation,9
lbp.3D.k_glcm_SumSquares,197
logarithm_firstorder_Minimum,40
logarithm_glszm_LargeAreaEmphasis,77
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,138
original_firstorder_Maximum,56
original_gldm_LargeDependenceLowGrayLevelEmphasis,105
log.sigma.2.0.mm.3D_firstorder_90Percentile,57
log.sigma.2.0.mm.3D_firstorder_Skewness,109
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,188
log.sigma.3.0.mm.3D_firstorder_90Percentile,51
log.sigma.3.0.mm.3D_glcm_Correlation,153
log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis,10
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,162
wavelet.LLH_firstorder_90Percentile,30
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,64
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,83
wavelet.HLL_glcm_ClusterShade,37
wavelet.HLH_firstorder_Energy,40
wavelet.HLH_firstorder_Skewness,60
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,145
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,76
wavelet.HHL_glcm_ClusterShade,195
wavelet.HHH_firstorder_Median,102
wavelet.HHH_firstorder_Skewness,52
wavelet.HHH_glcm_ClusterShade,179
wavelet.HHH_glszm_LargeAreaEmphasis,41
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,34
gradient_firstorder_Kurtosis,42
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,110
lbp.3D.k_firstorder_Range,148
lbp.3D.k_glcm_Idmn,132
original_shape_SurfaceArea,14
log.sigma.2.0.mm.3D_firstorder_Median,27
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,28
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,4
wavelet.LHL_glrlm_RunEntropy,20
