f,count
original_shape_Flatness,234
original_glcm_Correlation,39
original_glcm_Imc1,99
log.sigma.2.0.mm.3D_glcm_Correlation,231
log.sigma.4.0.mm.3D_glrlm_RunVariance,11
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,107
wavelet.LLH_firstorder_10Percentile,25
wavelet.LLH_firstorder_Skewness,168
wavelet.LLH_glcm_Correlation,97
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,21
wavelet.LHL_firstorder_Energy,35
wavelet.LHL_firstorder_MeanAbsoluteDeviation,22
wavelet.LHL_glcm_Correlation,88
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,125
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,53
wavelet.LHH_glcm_Imc2,30
wavelet.HLL_glszm_LargeAreaEmphasis,164
wavelet.HLH_firstorder_Mean,123
wavelet.HLH_firstorder_Median,107
wavelet.HLH_glcm_ClusterShade,91
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,145
wavelet.HLH_gldm_DependenceNonUniformity,7
wavelet.HHL_firstorder_Kurtosis,72
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,128
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,111
wavelet.HHH_firstorder_Mean,117
wavelet.HHH_firstorder_Median,167
wavelet.HHH_firstorder_Skewness,74
wavelet.HHH_glcm_ClusterShade,198
wavelet.HHH_glcm_Imc1,169
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,102
wavelet.LLL_firstorder_10Percentile,144
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,80
gradient_firstorder_InterquartileRange,10
lbp.3D.m2_firstorder_90Percentile,214
lbp.3D.m2_firstorder_RootMeanSquared,183
lbp.3D.k_firstorder_10Percentile,55
lbp.3D.k_firstorder_Range,170
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,198
logarithm_glcm_Imc1,166
logarithm_glrlm_LongRunLowGrayLevelEmphasis,52
logarithm_glszm_LargeAreaEmphasis,9
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,225
original_glcm_Idmn,23
log.sigma.3.0.mm.3D_firstorder_Kurtosis,10
log.sigma.3.0.mm.3D_glcm_Imc1,6
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,105
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,18
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,31
wavelet.LHH_firstorder_Median,131
wavelet.LHH_firstorder_Skewness,108
wavelet.LHH_glcm_ClusterShade,152
wavelet.LHH_glcm_Correlation,124
wavelet.HHL_firstorder_Mean,40
wavelet.HHL_firstorder_Skewness,189
wavelet.HHL_glcm_JointEnergy,58
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,210
wavelet.HHH_firstorder_Energy,162
wavelet.HHH_glcm_Correlation,10
wavelet.HHH_glcm_JointEnergy,113
wavelet.HHH_glcm_Idmn,51
wavelet.HHH_glszm_SmallAreaEmphasis,116
wavelet.LLL_glcm_Imc2,141
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,68
lbp.3D.k_firstorder_Kurtosis,82
lbp.3D.k_glcm_ClusterProminence,101
lbp.3D.k_glszm_SmallAreaEmphasis,115
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,53
log.sigma.4.0.mm.3D_glcm_ClusterShade,25
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,43
wavelet.HLL_glcm_DifferenceVariance,34
wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis,33
wavelet.HHL_firstorder_Median,154
wavelet.HHL_glcm_Correlation,24
wavelet.HHH_firstorder_Kurtosis,165
wavelet.LLL_firstorder_Skewness,45
gradient_glszm_SizeZoneNonUniformityNormalized,16
lbp.3D.m1_glcm_MaximumProbability,69
lbp.3D.m2_glcm_ClusterShade,30
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,59
lbp.3D.k_glcm_Imc2,17
logarithm_firstorder_RootMeanSquared,48
logarithm_glszm_SmallAreaEmphasis,51
original_shape_Sphericity,38
log.sigma.2.0.mm.3D_firstorder_Skewness,6
log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformity,10
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,49
log.sigma.4.0.mm.3D_glcm_JointEntropy,19
wavelet.LHL_firstorder_Kurtosis,41
wavelet.LHL_firstorder_Skewness,22
wavelet.LHH_firstorder_Mean,65
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,40
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,10
gradient_firstorder_Kurtosis,87
lbp.3D.m2_glrlm_ShortRunEmphasis,124
lbp.3D.k_glcm_Idmn,50
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,15
log.sigma.2.0.mm.3D_glcm_ClusterShade,24
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,94
wavelet.LLH_firstorder_Median,12
wavelet.LHL_gldm_DependenceEntropy,38
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,71
wavelet.HLH_firstorder_Skewness,101
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,30
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,12
lbp.3D.m2_glcm_MaximumProbability,51
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,44
log.sigma.2.0.mm.3D_firstorder_90Percentile,65
log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,19
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,11
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,17
wavelet.LHH_gldm_DependenceVariance,20
wavelet.HLL_firstorder_Median,61
wavelet.HLL_glcm_Correlation,29
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,43
wavelet.HLH_glcm_Imc1,15
wavelet.HHH_glrlm_HighGrayLevelRunEmphasis,35
gradient_glszm_GrayLevelNonUniformityNormalized,21
wavelet.LLH_glcm_ClusterTendency,58
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,22
wavelet.LHH_firstorder_Kurtosis,56
wavelet.HLL_glcm_Idmn,9
gradient_glszm_SmallAreaLowGrayLevelEmphasis,13
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,46
wavelet.LLH_glcm_JointEnergy,15
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,28
wavelet.LHL_firstorder_90Percentile,29
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,25
lbp.3D.k_glcm_Correlation,25
wavelet.HLL_firstorder_Maximum,4
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,16
lbp.3D.m1_glcm_ClusterShade,30
log.sigma.2.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,8
wavelet.LHH_firstorder_MeanAbsoluteDeviation,3
wavelet.HLH_glcm_MaximumProbability,33
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,9
wavelet.HHL_glcm_Imc2,6
lbp.3D.k_gldm_DependenceEntropy,26
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,78
wavelet.LHH_glszm_GrayLevelVariance,23
wavelet.HLL_firstorder_Skewness,21
wavelet.HLL_firstorder_TotalEnergy,16
wavelet.LHL_glcm_DifferenceVariance,49
wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis,24
wavelet.HHL_glszm_SmallAreaEmphasis,13
lbp.3D.k_glrlm_RunEntropy,11
wavelet.LHH_glszm_ZoneVariance,9
wavelet.HLH_firstorder_Kurtosis,29
wavelet.HLH_glcm_Correlation,9
wavelet.LLH_firstorder_Kurtosis,36
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,21
wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis,15
gradient_glcm_Idmn,12
lbp.3D.m2_firstorder_Maximum,13
log.sigma.3.0.mm.3D_firstorder_90Percentile,67
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,9
wavelet.HLH_glszm_SmallAreaEmphasis,7
