f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,249
original_firstorder_10Percentile,209
original_firstorder_Kurtosis,248
original_glcm_ClusterProminence,237
original_glcm_Correlation,241
original_gldm_LargeDependenceHighGrayLevelEmphasis,223
log.sigma.2.0.mm.3D_firstorder_Skewness,28
log.sigma.3.0.mm.3D_firstorder_90Percentile,186
log.sigma.3.0.mm.3D_firstorder_Kurtosis,89
log.sigma.4.0.mm.3D_firstorder_InterquartileRange,67
log.sigma.4.0.mm.3D_glcm_ClusterShade,238
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,164
wavelet.LLH_firstorder_Kurtosis,241
wavelet.LLH_firstorder_Skewness,250
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,136
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,119
wavelet.LHL_firstorder_90Percentile,229
wavelet.LHL_firstorder_Kurtosis,155
wavelet.LHL_firstorder_RootMeanSquared,117
wavelet.LHL_glcm_Correlation,239
wavelet.LHL_glcm_DifferenceVariance,233
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,199
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,168
wavelet.LHL_gldm_DependenceEntropy,232
wavelet.LHH_firstorder_Median,250
wavelet.LHH_firstorder_Skewness,250
wavelet.LHH_glcm_ClusterShade,209
wavelet.LHH_glcm_Correlation,230
wavelet.LHH_glcm_Imc1,249
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,222
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,184
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,239
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,231
wavelet.HLL_firstorder_90Percentile,221
wavelet.HLL_firstorder_Kurtosis,239
wavelet.HLL_firstorder_Maximum,33
wavelet.HLL_firstorder_Median,206
wavelet.HLL_glcm_Correlation,248
wavelet.HLL_glcm_DifferenceVariance,205
wavelet.HLL_glcm_Imc1,133
wavelet.HLL_glszm_LargeAreaEmphasis,248
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,247
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,94
wavelet.HLH_firstorder_Kurtosis,73
wavelet.HLH_firstorder_Mean,238
wavelet.HLH_firstorder_Median,249
wavelet.HLH_firstorder_Skewness,228
wavelet.HLH_glcm_ClusterShade,227
wavelet.HLH_glcm_Correlation,231
wavelet.HLH_glcm_Imc1,174
wavelet.HLH_glcm_MaximumProbability,249
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,244
wavelet.HLH_gldm_LowGrayLevelEmphasis,228
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,205
wavelet.HHL_firstorder_Kurtosis,199
wavelet.HHL_firstorder_Mean,244
wavelet.HHL_firstorder_Median,250
wavelet.HHL_firstorder_Skewness,246
wavelet.HHL_glcm_ClusterProminence,209
wavelet.HHL_glcm_Correlation,225
wavelet.HHL_glcm_Imc1,230
wavelet.HHL_glcm_Idmn,94
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,213
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,248
wavelet.HHL_glszm_SmallAreaEmphasis,250
wavelet.HHL_gldm_DependenceVariance,113
wavelet.HHH_firstorder_Energy,245
wavelet.HHH_firstorder_Kurtosis,236
wavelet.HHH_firstorder_Median,248
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,248
wavelet.HHH_glcm_Correlation,250
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glcm_Imc2,175
wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis,208
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,210
wavelet.HHH_gldm_DependenceNonUniformityNormalized,122
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,222
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,217
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,237
gradient_firstorder_Kurtosis,107
gradient_glcm_Correlation,162
gradient_glszm_LargeAreaEmphasis,175
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,250
lbp.3D.m1_glcm_ClusterShade,230
lbp.3D.m1_glszm_LargeAreaEmphasis,213
lbp.3D.m2_firstorder_90Percentile,250
lbp.3D.m2_firstorder_InterquartileRange,250
lbp.3D.m2_firstorder_Kurtosis,249
lbp.3D.m2_firstorder_Maximum,189
lbp.3D.m2_firstorder_Skewness,250
lbp.3D.m2_glcm_Imc2,233
lbp.3D.m2_glrlm_GrayLevelVariance,250
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,242
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,237
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,108
lbp.3D.m2_gldm_SmallDependenceEmphasis,250
lbp.3D.k_firstorder_10Percentile,250
lbp.3D.k_firstorder_Kurtosis,187
lbp.3D.k_firstorder_Range,250
lbp.3D.k_glcm_Contrast,236
lbp.3D.k_glcm_Correlation,250
lbp.3D.k_glcm_Imc1,104
lbp.3D.k_glszm_GrayLevelVariance,250
lbp.3D.k_glszm_SmallAreaEmphasis,249
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,235
lbp.3D.k_gldm_DependenceVariance,250
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,212
lbp.3D.k_gldm_LowGrayLevelEmphasis,247
logarithm_firstorder_Kurtosis,249
logarithm_firstorder_Minimum,183
logarithm_glcm_Imc1,248
logarithm_glcm_Imc2,229
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,123
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,203
original_shape_MajorAxisLength,143
log.sigma.3.0.mm.3D_glcm_Correlation,75
wavelet.LLH_glcm_Correlation,68
wavelet.LLH_glszm_SmallAreaEmphasis,45
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,146
wavelet.LHH_firstorder_Mean,210
wavelet.LHH_glszm_ZoneVariance,35
wavelet.HLL_glcm_MaximumProbability,248
wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis,83
wavelet.HHH_firstorder_Mean,224
wavelet.HHH_glcm_Idmn,118
gradient_glcm_ClusterProminence,54
lbp.3D.k_glcm_Idn,138
logarithm_firstorder_Mean,174
logarithm_glcm_MaximumProbability,64
logarithm_glszm_GrayLevelNonUniformityNormalized,20
log.sigma.2.0.mm.3D_glcm_ClusterShade,187
wavelet.LLH_firstorder_90Percentile,18
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,54
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,97
wavelet.HLH_glcm_Idmn,66
gradient_glszm_SizeZoneNonUniformityNormalized,143
logarithm_glcm_Idn,83
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,29
