f,count
original_shape_Elongation,158
original_gldm_LargeDependenceHighGrayLevelEmphasis,88
wavelet.LHL_glcm_DifferenceVariance,92
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,25
wavelet.LHL_gldm_DependenceEntropy,87
wavelet.LHH_firstorder_InterquartileRange,69
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,61
wavelet.HLL_glcm_Correlation,105
wavelet.HLL_glszm_LargeAreaEmphasis,85
wavelet.HLH_firstorder_Median,33
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,189
wavelet.HLH_gldm_LowGrayLevelEmphasis,64
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,161
wavelet.HHH_firstorder_Energy,31
wavelet.HHH_glcm_Correlation,100
wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis,32
wavelet.LLL_glcm_Autocorrelation,59
gradient_glcm_ClusterProminence,24
gradient_glcm_Imc2,21
lbp.3D.m2_firstorder_90Percentile,93
lbp.3D.m2_firstorder_InterquartileRange,211
lbp.3D.m2_firstorder_Kurtosis,195
lbp.3D.m2_glcm_Imc2,101
lbp.3D.m2_glrlm_GrayLevelVariance,198
lbp.3D.k_firstorder_Kurtosis,33
lbp.3D.k_firstorder_Range,87
lbp.3D.k_glcm_Contrast,105
lbp.3D.k_glcm_Idn,42
lbp.3D.k_gldm_DependenceVariance,102
logarithm_firstorder_Minimum,105
logarithm_glcm_Idn,52
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,15
original_glcm_ClusterProminence,84
original_glcm_Correlation,116
wavelet.LLH_firstorder_90Percentile,43
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,18
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,15
wavelet.LHL_firstorder_90Percentile,61
wavelet.LHL_glcm_Correlation,112
wavelet.LHH_glcm_ClusterTendency,60
wavelet.HLL_glcm_Imc1,57
wavelet.HHL_firstorder_Mean,84
wavelet.HHL_glszm_SmallAreaEmphasis,25
wavelet.LLL_glcm_MaximumProbability,29
gradient_firstorder_RobustMeanAbsoluteDeviation,27
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,52
lbp.3D.m2_firstorder_Skewness,80
lbp.3D.k_firstorder_10Percentile,135
lbp.3D.k_glcm_Correlation,114
lbp.3D.k_glszm_GrayLevelVariance,138
logarithm_firstorder_Kurtosis,68
logarithm_glcm_Imc2,110
logarithm_glszm_ZoneEntropy,76
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,60
original_firstorder_Kurtosis,48
log.sigma.4.0.mm.3D_glcm_JointEntropy,39
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,16
wavelet.LHL_firstorder_RootMeanSquared,34
wavelet.LHH_glcm_Imc1,56
wavelet.HLL_firstorder_10Percentile,30
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,90
wavelet.HLH_glcm_Imc1,52
wavelet.HHL_firstorder_Median,60
wavelet.HHH_firstorder_Kurtosis,25
lbp.3D.m2_firstorder_Uniformity,54
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,113
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,44
logarithm_firstorder_Mean,86
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,97
log.sigma.2.0.mm.3D_glcm_ClusterShade,48
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,34
log.sigma.3.0.mm.3D_firstorder_Kurtosis,27
wavelet.LLH_glszm_SmallAreaEmphasis,28
wavelet.LLH_gldm_DependenceEntropy,34
wavelet.LHL_firstorder_Skewness,10
wavelet.LHL_firstorder_TotalEnergy,41
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,32
wavelet.LHL_gldm_LargeDependenceEmphasis,31
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,55
wavelet.LHH_firstorder_TotalEnergy,27
wavelet.LHH_glszm_ZoneVariance,25
wavelet.HHL_glszm_ZoneEntropy,30
gradient_glcm_Correlation,26
original_shape_Flatness,102
original_glszm_ZoneVariance,23
log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,44
log.sigma.3.0.mm.3D_glcm_Imc1,28
wavelet.LHH_glcm_ClusterShade,9
wavelet.HHL_glcm_Imc1,58
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,15
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,42
gradient_glcm_Idmn,12
lbp.3D.m1_firstorder_Median,3
