f,count
original_shape_Flatness,150
original_shape_Sphericity,91
original_glrlm_LowGrayLevelRunEmphasis,125
log.sigma.2.0.mm.3D_firstorder_Kurtosis,39
log.sigma.2.0.mm.3D_glcm_Correlation,135
log.sigma.2.0.mm.3D_gldm_DependenceEntropy,17
log.sigma.3.0.mm.3D_firstorder_Skewness,25
log.sigma.4.0.mm.3D_glcm_Imc1,47
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,27
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,29
wavelet.LHL_firstorder_RootMeanSquared,104
wavelet.LHL_firstorder_TotalEnergy,28
wavelet.LHL_glcm_Correlation,15
wavelet.LHL_glcm_DifferenceVariance,99
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,16
wavelet.LHH_firstorder_Skewness,127
wavelet.LHH_glcm_InverseVariance,30
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,50
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,83
wavelet.HLL_firstorder_Skewness,216
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,129
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,122
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,74
wavelet.HHL_firstorder_Kurtosis,136
wavelet.HHL_firstorder_Mean,112
wavelet.HHL_glcm_Imc2,41
wavelet.HHL_glrlm_LongRunEmphasis,83
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,198
wavelet.HHH_glcm_ClusterShade,168
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,97
wavelet.LLL_firstorder_Minimum,87
gradient_glcm_Imc2,227
gradient_gldm_DependenceEntropy,33
lbp.3D.m2_firstorder_Kurtosis,114
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,165
lbp.3D.m2_glcm_ClusterShade,220
lbp.3D.m2_gldm_HighGrayLevelEmphasis,194
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,70
lbp.3D.k_firstorder_Range,109
lbp.3D.k_glcm_Correlation,27
lbp.3D.k_glcm_Idn,93
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,192
lbp.3D.k_gldm_SmallDependenceHighGrayLevelEmphasis,71
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,21
log.sigma.4.0.mm.3D_firstorder_90Percentile,62
log.sigma.4.0.mm.3D_glcm_JointEntropy,53
wavelet.LLH_glcm_Correlation,126
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,88
wavelet.LLH_gldm_DependenceEntropy,52
wavelet.LLH_gldm_DependenceVariance,14
wavelet.LHL_firstorder_Minimum,25
wavelet.LHL_glcm_Imc1,43
wavelet.LHH_firstorder_Mean,54
wavelet.LHH_glcm_Imc1,65
wavelet.HLL_firstorder_Mean,35
wavelet.HLL_glszm_ZoneEntropy,53
wavelet.HLH_firstorder_Kurtosis,82
wavelet.HLH_glcm_ClusterProminence,32
wavelet.HLH_glcm_Imc2,71
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,75
wavelet.HHL_glszm_ZoneEntropy,50
wavelet.HHH_firstorder_Kurtosis,147
wavelet.HHH_firstorder_TotalEnergy,36
wavelet.HHH_gldm_DependenceNonUniformityNormalized,60
lbp.3D.m2_firstorder_90Percentile,46
lbp.3D.k_glcm_ClusterShade,62
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,25
logarithm_glcm_ClusterTendency,81
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,98
original_gldm_LargeDependenceHighGrayLevelEmphasis,108
log.sigma.3.0.mm.3D_glcm_ClusterShade,60
wavelet.LLH_glcm_Imc2,21
wavelet.LHL_firstorder_90Percentile,31
wavelet.LHL_firstorder_Median,35
wavelet.LHH_glcm_Correlation,25
wavelet.LHH_gldm_DependenceNonUniformityNormalized,38
