f,count
original_shape_Maximum2DDiameterColumn,162
original_shape_Sphericity,51
original_glcm_Idmn,148
log.sigma.4.0.mm.3D_glcm_Idn,226
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,237
wavelet.LHL_firstorder_TotalEnergy,108
wavelet.HLL_firstorder_Energy,131
wavelet.HHH_glcm_Imc1,58
wavelet.HHL_glcm_Imc1,1
wavelet.LLH_glcm_Imc1,25
wavelet.LLH_glcm_Idmn,33
wavelet.LLL_gldm_LowGrayLevelEmphasis,69
lbp.3D.m2_glrlm_GrayLevelNonUniformityNormalized,61
original_shape_MajorAxisLength,81
logarithm_glcm_Idn,11
lbp.3D.k_glcm_Imc2,53
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,63
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,24
wavelet.LHH_glcm_Imc2,23
wavelet.LHL_glcm_Idmn,2
log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,10
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,1
log.sigma.2.0.mm.3D_glcm_Idmn,3
gradient_firstorder_Minimum,3
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_glcm_Idmn,2
wavelet.LHH_glcm_ClusterShade,5
wavelet.HHL_firstorder_Median,2
iter,250
