f,count
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,45
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,48
wavelet.LHL_glcm_Correlation,104
wavelet.LHH_glcm_ClusterShade,168
wavelet.HLL_firstorder_Mean,107
wavelet.HLH_firstorder_Median,121
wavelet.HHL_firstorder_Mean,195
wavelet.HHH_glcm_ClusterShade,51
wavelet.HHH_glcm_Imc1,71
lbp.3D.m2_firstorder_Maximum,100
lbp.3D.m2_firstorder_RootMeanSquared,54
lbp.3D.m2_firstorder_Skewness,161
lbp.3D.m2_glcm_Imc2,110
lbp.3D.k_firstorder_Kurtosis,112
lbp.3D.k_firstorder_Range,172
lbp.3D.k_glcm_ClusterProminence,217
lbp.3D.k_glcm_Idmn,56
logarithm_glcm_ClusterProminence,51
original_glcm_Imc2,40
log.sigma.2.0.mm.3D_firstorder_90Percentile,3
wavelet.LLH_glcm_ClusterProminence,124
wavelet.LHL_firstorder_Median,28
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,50
wavelet.HLL_firstorder_Median,93
wavelet.HHL_firstorder_Median,134
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,114
wavelet.HHH_firstorder_Mean,168
lbp.3D.m1_firstorder_Median,80
lbp.3D.m1_glcm_ClusterShade,202
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,119
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,38
original_shape_Flatness,69
log.sigma.2.0.mm.3D_firstorder_Skewness,35
log.sigma.4.0.mm.3D_glcm_ClusterShade,74
wavelet.LHH_firstorder_Skewness,63
wavelet.HLL_glcm_ClusterProminence,22
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,112
lbp.3D.m1_firstorder_Skewness,68
original_shape_SurfaceVolumeRatio,17
wavelet.HLL_glszm_ZoneVariance,22
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,24
wavelet.HHL_glszm_LargeAreaEmphasis,66
lbp.3D.k_glcm_SumSquares,23
lbp.3D.k_gldm_SmallDependenceEmphasis,21
wavelet.LHH_glszm_SizeZoneNonUniformity,28
wavelet.HLL_firstorder_10Percentile,43
wavelet.HHL_firstorder_Skewness,13
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,48
wavelet.HHL_glcm_ClusterShade,11
lbp.3D.m2_firstorder_90Percentile,9
wavelet.LLH_firstorder_Skewness,15
wavelet.HHH_firstorder_Median,54
wavelet.LHL_glcm_ClusterProminence,11
log.sigma.4.0.mm.3D_glcm_MaximumProbability,5
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,12
lbp.3D.m2_glcm_ClusterShade,33
wavelet.HLH_firstorder_Skewness,74
wavelet.HLH_glcm_ClusterShade,17
lbp.3D.m2_firstorder_Kurtosis,3
original_shape_Elongation,49
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,20
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,14
wavelet.HHH_firstorder_Skewness,20
wavelet.HHL_glcm_JointEnergy,2
wavelet.LHH_glcm_MaximumProbability,2
wavelet.HLL_firstorder_Kurtosis,1
wavelet.LHH_glcm_Correlation,6
wavelet.HHL_firstorder_Energy,18
wavelet.HHH_glcm_Contrast,12
wavelet.LHH_glcm_DifferenceVariance,19
wavelet.HLH_glszm_ZoneVariance,8
wavelet.LLL_firstorder_10Percentile,9
wavelet.LLH_firstorder_Kurtosis,7
wavelet.LLH_firstorder_Mean,16
wavelet.LHH_glcm_InverseVariance,6
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,16
original_shape_Sphericity,11
wavelet.HLH_glcm_Idm,2
gradient_glszm_LargeAreaLowGrayLevelEmphasis,11
log.sigma.2.0.mm.3D_glcm_Correlation,12
logarithm_glcm_Imc1,3
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.HHL_glcm_Correlation,3
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,5
wavelet.HLL_glcm_Correlation,3
lbp.3D.m2_firstorder_Range,7
wavelet.HHH_glszm_SmallAreaEmphasis,9
wavelet.LLH_firstorder_Median,1
wavelet.LHH_glszm_LargeAreaEmphasis,6
log.sigma.4.0.mm.3D_firstorder_Skewness,5
logarithm_glszm_LargeAreaEmphasis,1
wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis,5
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,2
gradient_firstorder_Kurtosis,5
original_glcm_Correlation,1
log.sigma.3.0.mm.3D_firstorder_90Percentile,2
wavelet.HHH_glszm_LargeAreaEmphasis,3
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,3
original_glszm_ZoneVariance,1
log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HLH_glcm_Correlation,1
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,1
log.sigma.4.0.mm.3D_firstorder_Kurtosis,1
logarithm_glcm_DifferenceVariance,1
wavelet.LHH_glszm_ZonePercentage,2
wavelet.HLL_firstorder_RootMeanSquared,1
iter,250
