f,count
original_glcm_Correlation,72
original_glcm_Imc1,131
log.sigma.2.0.mm.3D_glcm_Correlation,227
log.sigma.3.0.mm.3D_firstorder_90Percentile,101
wavelet.LLH_firstorder_Skewness,103
wavelet.LLH_glcm_Correlation,141
wavelet.LHL_firstorder_Energy,50
wavelet.LHL_firstorder_MeanAbsoluteDeviation,49
wavelet.LHL_glcm_DifferenceVariance,116
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,171
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,18
wavelet.LHH_firstorder_Skewness,22
wavelet.LHH_firstorder_TotalEnergy,41
wavelet.LHH_glcm_Correlation,82
wavelet.LHH_glrlm_GrayLevelNonUniformityNormalized,26
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,26
wavelet.HLL_firstorder_TotalEnergy,14
wavelet.HLL_glszm_ZoneEntropy,32
wavelet.HLH_firstorder_Skewness,27
wavelet.HLH_glcm_Imc1,20
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,95
wavelet.HHL_glcm_ClusterShade,95
wavelet.HHH_firstorder_Kurtosis,113
wavelet.HHH_firstorder_Mean,89
wavelet.HHH_firstorder_Median,134
wavelet.HHH_glcm_ClusterShade,137
wavelet.HHH_glcm_JointEnergy,112
wavelet.HHH_gldm_HighGrayLevelEmphasis,44
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,98
wavelet.LLL_firstorder_10Percentile,109
wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis,41
gradient_firstorder_RobustMeanAbsoluteDeviation,38
lbp.3D.m1_glcm_MaximumProbability,34
lbp.3D.m2_glcm_ClusterShade,27
lbp.3D.m2_glcm_Imc2,88
lbp.3D.m2_gldm_LargeDependenceEmphasis,223
lbp.3D.k_firstorder_10Percentile,33
lbp.3D.k_firstorder_Kurtosis,20
lbp.3D.k_glcm_ClusterProminence,84
lbp.3D.k_glrlm_RunEntropy,38
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,126
lbp.3D.k_gldm_DependenceEntropy,32
logarithm_glrlm_LowGrayLevelRunEmphasis,93
original_shape_Flatness,183
original_glcm_Idmn,45
original_gldm_LargeDependenceLowGrayLevelEmphasis,127
log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,70
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,82
log.sigma.4.0.mm.3D_glcm_Imc1,50
wavelet.LLH_firstorder_Maximum,28
wavelet.LLH_glcm_ClusterTendency,60
wavelet.LLH_gldm_DependenceEntropy,31
wavelet.LHL_gldm_DependenceEntropy,39
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,91
wavelet.LHH_glcm_ClusterTendency,102
wavelet.HLL_glcm_Correlation,28
wavelet.HLH_firstorder_Median,18
wavelet.HHL_firstorder_Median,121
wavelet.HHL_glcm_JointEnergy,86
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,119
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,111
wavelet.LLL_glcm_Imc2,34
lbp.3D.m2_firstorder_90Percentile,211
lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis,148
lbp.3D.k_glcm_Correlation,31
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,38
logarithm_firstorder_RootMeanSquared,72
logarithm_glcm_Imc1,194
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,24
logarithm_glszm_SmallAreaEmphasis,57
log.sigma.4.0.mm.3D_glcm_Correlation,19
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,17
wavelet.LLH_glcm_ClusterShade,44
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,54
wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis,47
wavelet.LHL_firstorder_Kurtosis,57
wavelet.LHH_glcm_ClusterProminence,52
wavelet.LHH_glcm_InverseVariance,70
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,36
wavelet.HLH_firstorder_Kurtosis,15
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,56
wavelet.HHH_glcm_Correlation,22
lbp.3D.m2_firstorder_Maximum,13
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,77
lbp.3D.k_firstorder_Range,33
lbp.3D.k_glcm_Imc2,36
lbp.3D.k_glszm_ZoneEntropy,24
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,25
log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,7
log.sigma.4.0.mm.3D_glcm_ClusterShade,26
log.sigma.4.0.mm.3D_glcm_JointEntropy,62
