f,count
original_shape_Flatness,250
original_shape_Sphericity,249
original_glcm_Correlation,239
original_glcm_Imc1,245
original_glszm_LargeAreaLowGrayLevelEmphasis,248
original_gldm_LargeDependenceLowGrayLevelEmphasis,249
log.sigma.2.0.mm.3D_glcm_ClusterShade,105
log.sigma.2.0.mm.3D_glcm_Correlation,250
log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,178
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,227
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,170
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,110
log.sigma.4.0.mm.3D_firstorder_Skewness,33
log.sigma.4.0.mm.3D_glcm_Correlation,201
wavelet.LLH_firstorder_Kurtosis,211
wavelet.LLH_firstorder_Skewness,249
wavelet.LLH_glcm_ClusterShade,182
wavelet.LLH_glcm_Correlation,250
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,162
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,244
wavelet.LHL_firstorder_90Percentile,246
wavelet.LHL_firstorder_Kurtosis,185
wavelet.LHL_firstorder_MeanAbsoluteDeviation,174
wavelet.LHL_glcm_Correlation,245
wavelet.LHL_glcm_DifferenceVariance,193
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,238
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,171
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,134
wavelet.LHH_firstorder_Kurtosis,229
wavelet.LHH_firstorder_Mean,246
wavelet.LHH_firstorder_Median,244
wavelet.LHH_firstorder_Minimum,185
wavelet.LHH_firstorder_Skewness,240
wavelet.LHH_firstorder_TotalEnergy,105
wavelet.LHH_glcm_ClusterProminence,239
wavelet.LHH_glcm_Correlation,250
wavelet.LHH_glcm_InverseVariance,219
wavelet.LHH_glrlm_GrayLevelNonUniformityNormalized,199
wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis,242
wavelet.LHH_glszm_SmallAreaEmphasis,146
wavelet.HLL_firstorder_Median,219
wavelet.HLL_firstorder_Skewness,223
wavelet.HLL_glcm_Correlation,208
wavelet.HLL_glcm_MaximumProbability,250
wavelet.HLL_glszm_LargeAreaEmphasis,247
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,248
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,221
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,164
wavelet.HLH_firstorder_Kurtosis,117
wavelet.HLH_firstorder_Mean,215
wavelet.HLH_firstorder_Median,239
wavelet.HLH_firstorder_Skewness,207
wavelet.HLH_glcm_ClusterShade,222
wavelet.HLH_glcm_Correlation,243
wavelet.HLH_glcm_JointEnergy,244
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,233
wavelet.HLH_glszm_SmallAreaEmphasis,129
wavelet.HLH_glszm_ZoneVariance,151
wavelet.HHL_firstorder_Kurtosis,211
wavelet.HHL_firstorder_Mean,235
wavelet.HHL_firstorder_Median,250
wavelet.HHL_firstorder_Skewness,183
wavelet.HHL_glcm_ClusterShade,250
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glcm_Imc2,95
wavelet.HHL_glcm_Idmn,146
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,244
wavelet.HHL_glszm_SmallAreaEmphasis,248
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,237
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,171
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,105
wavelet.HHH_firstorder_Energy,238
wavelet.HHH_firstorder_Kurtosis,243
wavelet.HHH_firstorder_Mean,250
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_Correlation,250
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glcm_Imc1,237
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,245
wavelet.HHH_glszm_SmallAreaEmphasis,248
wavelet.HHH_gldm_HighGrayLevelEmphasis,177
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,227
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,224
wavelet.LLL_firstorder_10Percentile,235
wavelet.LLL_firstorder_Skewness,193
wavelet.LLL_glcm_Imc2,215
wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis,141
gradient_glcm_Correlation,67
gradient_glszm_SizeZoneNonUniformityNormalized,141
lbp.3D.m1_glcm_ClusterShade,153
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,238
lbp.3D.m2_firstorder_90Percentile,250
lbp.3D.m2_firstorder_Maximum,250
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,235
lbp.3D.m2_glcm_ClusterShade,245
lbp.3D.m2_glcm_Imc2,228
lbp.3D.m2_glcm_MaximumProbability,222
lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis,200
lbp.3D.m2_gldm_LargeDependenceEmphasis,250
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,237
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,249
lbp.3D.k_firstorder_10Percentile,244
lbp.3D.k_firstorder_Kurtosis,227
lbp.3D.k_firstorder_Minimum,182
lbp.3D.k_firstorder_Range,245
lbp.3D.k_glcm_ClusterProminence,241
lbp.3D.k_glcm_Correlation,209
lbp.3D.k_glcm_Idmn,146
lbp.3D.k_glrlm_RunEntropy,172
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,208
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,250
lbp.3D.k_glszm_SmallAreaEmphasis,249
lbp.3D.k_glszm_ZoneEntropy,80
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,245
logarithm_firstorder_RootMeanSquared,223
logarithm_glcm_Imc1,250
logarithm_glcm_MaximumProbability,123
logarithm_glrlm_LowGrayLevelRunEmphasis,238
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,225
logarithm_gldm_DependenceVariance,45
log.sigma.2.0.mm.3D_firstorder_90Percentile,225
log.sigma.3.0.mm.3D_firstorder_90Percentile,175
log.sigma.3.0.mm.3D_firstorder_Kurtosis,15
log.sigma.4.0.mm.3D_glcm_ClusterShade,116
log.sigma.4.0.mm.3D_glcm_JointEntropy,74
wavelet.LLH_firstorder_10Percentile,155
wavelet.LLH_firstorder_90Percentile,141
wavelet.LLH_gldm_DependenceEntropy,58
wavelet.LHL_firstorder_Energy,163
wavelet.LHL_firstorder_Skewness,96
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,25
wavelet.HLL_firstorder_90Percentile,148
wavelet.HLH_glrlm_HighGrayLevelRunEmphasis,150
wavelet.HHL_glcm_Correlation,146
wavelet.HHH_glszm_GrayLevelNonUniformity,51
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,175
wavelet.HHH_gldm_DependenceNonUniformityNormalized,127
gradient_firstorder_Kurtosis,94
lbp.3D.m1_glcm_MaximumProbability,236
logarithm_firstorder_Minimum,67
logarithm_glszm_LargeAreaEmphasis,146
logarithm_glszm_SmallAreaEmphasis,191
original_glcm_Idmn,101
wavelet.LHH_gldm_DependenceNonUniformityNormalized,64
wavelet.HLL_firstorder_Maximum,47
wavelet.HLL_firstorder_TotalEnergy,88
wavelet.LHL_glrlm_LongRunEmphasis,22
wavelet.LHH_glcm_ClusterTendency,105
gradient_glcm_Idmn,9
wavelet.LLH_glcm_ClusterTendency,92
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,137
wavelet.LHH_glcm_Imc2,56
wavelet.HLL_glcm_DifferenceVariance,111
gradient_glszm_LargeAreaEmphasis,31
logarithm_firstorder_Variance,71
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,45
log.sigma.4.0.mm.3D_glrlm_RunVariance,22
wavelet.LLH_glcm_Imc2,45
wavelet.HLL_firstorder_10Percentile,25
lbp.3D.m1_firstorder_Mean,30
original_shape_MajorAxisLength,57
log.sigma.4.0.mm.3D_glcm_Imc1,44
wavelet.LHL_gldm_DependenceEntropy,50
gradient_firstorder_RobustMeanAbsoluteDeviation,46
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,15
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,60
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,86
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,7
log.sigma.4.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,27
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,32
gradient_glcm_Imc2,6
log.sigma.2.0.mm.3D_gldm_DependenceVariance,7
wavelet.HLL_glcm_Idmn,13
wavelet.HLH_glcm_Idmn,10
wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis,21
wavelet.HLH_glcm_Imc1,6
wavelet.LLH_firstorder_Median,7
wavelet.LHL_firstorder_Median,15
gradient_firstorder_Minimum,19
wavelet.LLH_firstorder_Maximum,10
lbp.3D.k_gldm_DependenceEntropy,25
wavelet.LLH_glcm_JointEnergy,12
log.sigma.2.0.mm.3D_firstorder_Skewness,20
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,2
lbp.3D.k_glcm_Imc2,1
wavelet.HLL_glszm_LowGrayLevelZoneEmphasis,2
log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,4
wavelet.HLL_glszm_ZoneEntropy,1
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,1
wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis,1
iter,250
