f,count
wavelet.LHH_firstorder_TotalEnergy,39
wavelet.LLL_glcm_JointEnergy,50
original_glrlm_LongRunLowGrayLevelEmphasis,45
log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,113
logarithm_glcm_Imc2,59
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,48
log.sigma.4.0.mm.3D_gldm_LowGrayLevelEmphasis,139
wavelet.HHL_glcm_Imc2,108
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,137
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,86
original_gldm_SmallDependenceLowGrayLevelEmphasis,114
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,4
lbp.3D.m2_firstorder_Maximum,19
logarithm_glrlm_LongRunLowGrayLevelEmphasis,89
wavelet.HHH_glcm_Idn,14
wavelet.LHL_firstorder_TotalEnergy,10
log.sigma.4.0.mm.3D_glcm_Imc1,12
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,54
log.sigma.4.0.mm.3D_firstorder_Kurtosis,2
log.sigma.4.0.mm.3D_firstorder_Maximum,16
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,13
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,37
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,34
wavelet.LLH_firstorder_Kurtosis,38
wavelet.LLH_glcm_Imc2,4
logarithm_firstorder_10Percentile,8
lbp.3D.m2_firstorder_Uniformity,1
lbp.3D.m2_glcm_Imc2,27
wavelet.LLH_glszm_ZoneEntropy,1
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,2
lbp.3D.k_glcm_InverseVariance,2
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,3
wavelet.HLL_glcm_Idmn,14
log.sigma.3.0.mm.3D_firstorder_Skewness,1
log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,1
gradient_gldm_DependenceEntropy,1
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,1
original_shape_MajorAxisLength,4
gradient_glcm_Correlation,1
wavelet.LLL_glcm_Imc2,6
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,1
log.sigma.4.0.mm.3D_glcm_JointEntropy,1
logarithm_glcm_Idmn,1
iter,250
