f,count
wavelet.HHL_glcm_Imc1,250
original_glcm_Autocorrelation,250
wavelet.HLH_firstorder_Skewness,74
wavelet.HHL_glcm_ClusterShade,28
wavelet.LLH_glszm_ZoneEntropy,45
wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis,19
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,4
wavelet.HHH_firstorder_Mean,79
logarithm_glszm_GrayLevelNonUniformityNormalized,24
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,8
wavelet.HLL_firstorder_Skewness,19
original_glcm_Correlation,8
lbp.3D.k_glcm_Imc1,11
lbp.3D.m2_firstorder_Kurtosis,26
original_glcm_ClusterProminence,149
wavelet.HHL_glszm_ZoneEntropy,115
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,41
log.sigma.2.0.mm.3D_firstorder_90Percentile,11
wavelet.LLH_firstorder_Mean,32
lbp.3D.k_glszm_ZoneEntropy,10
original_firstorder_InterquartileRange,24
wavelet.LHH_firstorder_Mean,19
logarithm_glrlm_GrayLevelNonUniformityNormalized,7
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,30
log.sigma.2.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,5
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,9
wavelet.HHH_glcm_Idn,6
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,7
wavelet.LLL_firstorder_Minimum,16
wavelet.HHH_firstorder_Kurtosis,49
lbp.3D.k_glcm_InverseVariance,1
wavelet.LHH_gldm_HighGrayLevelEmphasis,38
log.sigma.4.0.mm.3D_gldm_LowGrayLevelEmphasis,19
wavelet.HLH_firstorder_Uniformity,21
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,2
wavelet.HLL_glcm_Correlation,21
log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,5
lbp.3D.k_glrlm_RunEntropy,5
wavelet.LHH_glcm_Correlation,2
wavelet.LHH_firstorder_InterquartileRange,41
log.sigma.4.0.mm.3D_glcm_JointEntropy,11
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,17
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,15
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,17
wavelet.HLH_firstorder_Mean,1
wavelet.LHL_glcm_JointAverage,2
lbp.3D.k_firstorder_10Percentile,4
log.sigma.2.0.mm.3D_glcm_Correlation,18
log.sigma.4.0.mm.3D_glcm_Correlation,24
original_glszm_SmallAreaLowGrayLevelEmphasis,3
wavelet.HHL_firstorder_Median,7
gradient_glcm_ClusterShade,10
wavelet.LHH_glcm_InverseVariance,4
wavelet.LHL_glcm_ClusterShade,2
wavelet.LHL_firstorder_90Percentile,16
wavelet.HLL_glcm_Imc1,2
wavelet.HLL_firstorder_TotalEnergy,4
wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,4
wavelet.LLH_firstorder_Median,4
log.sigma.4.0.mm.3D_glcm_ClusterShade,13
wavelet.LLH_glcm_ClusterShade,11
wavelet.HHH_gldm_DependenceNonUniformityNormalized,1
wavelet.HLL_firstorder_Kurtosis,13
logarithm_gldm_DependenceEntropy,5
gradient_glszm_ZoneEntropy,4
wavelet.LLH_gldm_DependenceVariance,3
wavelet.LLH_firstorder_TotalEnergy,15
wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,3
wavelet.HHL_firstorder_Skewness,3
