f,count
original_gldm_LargeDependenceLowGrayLevelEmphasis,217
log.sigma.4.0.mm.3D_firstorder_10Percentile,91
wavelet.LHL_glcm_ClusterProminence,134
wavelet.LHH_firstorder_Skewness,22
wavelet.LHH_glcm_Imc1,16
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,151
wavelet.HLH_firstorder_Median,55
wavelet.HHL_firstorder_Mean,92
wavelet.HHH_glcm_ClusterShade,233
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,164
gradient_glcm_Idmn,11
lbp.3D.m1_glcm_Correlation,95
lbp.3D.m2_firstorder_90Percentile,175
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,180
logarithm_firstorder_RootMeanSquared,192
original_shape_Flatness,59
wavelet.LHL_firstorder_Kurtosis,47
wavelet.HLL_firstorder_Kurtosis,33
wavelet.HHL_glcm_ClusterShade,89
wavelet.HHH_firstorder_Mean,136
wavelet.HHH_firstorder_Median,178
gradient_glszm_LargeAreaLowGrayLevelEmphasis,9
original_shape_SurfaceVolumeRatio,147
wavelet.LHL_firstorder_Skewness,65
wavelet.HLH_firstorder_Mean,87
wavelet.HHH_firstorder_Kurtosis,81
wavelet.HHH_firstorder_Skewness,125
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,8
gradient_glcm_Correlation,53
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,46
original_firstorder_10Percentile,142
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,67
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,26
wavelet.HHL_glcm_Correlation,101
lbp.3D.k_firstorder_Kurtosis,59
lbp.3D.k_firstorder_Range,8
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,50
wavelet.LHL_glcm_SumSquares,90
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,19
wavelet.LHH_firstorder_Mean,126
wavelet.HHL_firstorder_Median,46
wavelet.HHL_firstorder_Skewness,77
wavelet.HLH_glcm_ClusterShade,51
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,137
lbp.3D.m1_firstorder_Skewness,11
lbp.3D.m2_glcm_MaximumProbability,41
wavelet.LLH_firstorder_Skewness,5
wavelet.HHL_glcm_ClusterProminence,40
original_glrlm_ShortRunLowGrayLevelEmphasis,43
