f,count
original_shape_Sphericity,57
wavelet.HHL_glcm_ClusterShade,39
wavelet.HHH_firstorder_Skewness,122
lbp.3D.m2_firstorder_Median,161
lbp.3D.m2_glcm_ClusterShade,168
lbp.3D.k_glcm_ClusterShade,91
wavelet.LHL_firstorder_Mean,41
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,9
wavelet.HHL_firstorder_Skewness,16
wavelet.HHH_firstorder_Energy,36
wavelet.HHH_firstorder_Mean,3
wavelet.HHH_firstorder_Median,23
wavelet.HHH_glcm_ClusterShade,40
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,24
wavelet.HLH_firstorder_Skewness,26
logarithm_glcm_JointEnergy,9
wavelet.HHH_glszm_SmallAreaEmphasis,47
lbp.3D.k_glrlm_GrayLevelVariance,9
lbp.3D.m2_firstorder_90Percentile,3
original_shape_Flatness,38
wavelet.HHH_glcm_Imc1,9
lbp.3D.m2_firstorder_Range,36
lbp.3D.k_firstorder_Maximum,5
wavelet.HLL_firstorder_Mean,15
lbp.3D.m1_glcm_ClusterShade,14
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,7
wavelet.LLH_firstorder_Skewness,15
lbp.3D.k_firstorder_Kurtosis,11
wavelet.LHH_glcm_ClusterShade,26
wavelet.LLL_glcm_Imc2,10
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,11
wavelet.LLL_firstorder_10Percentile,10
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,5
wavelet.HLL_glcm_Correlation,1
lbp.3D.k_glszm_SmallAreaEmphasis,16
wavelet.LHH_gldm_DependenceNonUniformityNormalized,1
gradient_firstorder_Kurtosis,6
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,4
wavelet.HHL_firstorder_Median,2
wavelet.HLL_glszm_LargeAreaEmphasis,3
wavelet.LHL_firstorder_Median,2
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,3
wavelet.LHH_firstorder_Skewness,3
lbp.3D.m2_firstorder_Maximum,2
lbp.3D.m1_firstorder_Skewness,1
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_glcm_Idmn,1
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,1
wavelet.HLH_glcm_ClusterProminence,1
log.sigma.4.0.mm.3D_firstorder_Minimum,1
wavelet.LHH_glcm_InverseVariance,1
iter,281
