f,count
original_shape_Flatness,249
original_shape_Sphericity,250
original_shape_SurfaceVolumeRatio,222
original_firstorder_10Percentile,101
original_glcm_Correlation,240
original_glcm_Idmn,129
original_glszm_LargeAreaEmphasis,220
original_glszm_LargeAreaLowGrayLevelEmphasis,250
log.sigma.2.0.mm.3D_firstorder_90Percentile,144
log.sigma.2.0.mm.3D_firstorder_Kurtosis,233
log.sigma.2.0.mm.3D_glcm_ClusterShade,203
log.sigma.2.0.mm.3D_glcm_Imc2,250
log.sigma.3.0.mm.3D_firstorder_Kurtosis,193
log.sigma.3.0.mm.3D_firstorder_Skewness,146
log.sigma.3.0.mm.3D_glcm_Correlation,247
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,99
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,234
log.sigma.4.0.mm.3D_glcm_Correlation,248
wavelet.LLH_firstorder_90Percentile,249
wavelet.LLH_firstorder_Median,228
wavelet.LLH_firstorder_Skewness,213
wavelet.LLH_glcm_Correlation,98
wavelet.LLH_glcm_Imc1,37
wavelet.LLH_glcm_MaximumProbability,236
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,120
wavelet.LLH_gldm_DependenceVariance,161
wavelet.LHL_firstorder_90Percentile,212
wavelet.LHL_firstorder_InterquartileRange,38
wavelet.LHL_firstorder_Kurtosis,238
wavelet.LHL_firstorder_Median,222
wavelet.LHL_firstorder_Skewness,222
wavelet.LHL_glcm_ClusterShade,248
wavelet.LHL_glcm_ClusterTendency,141
wavelet.LHL_glcm_Contrast,76
wavelet.LHL_glcm_Correlation,248
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,249
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,178
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,245
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,184
wavelet.LHH_firstorder_10Percentile,235
wavelet.LHH_firstorder_Median,243
wavelet.LHH_firstorder_Skewness,241
wavelet.LHH_glcm_ClusterShade,250
wavelet.LHH_glcm_Correlation,247
