f,count
original_shape_Sphericity,48
wavelet.LHL_firstorder_Kurtosis,27
wavelet.HHH_glcm_ClusterShade,181
lbp.3D.k_firstorder_Minimum,56
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,71
original_glszm_LargeAreaLowGrayLevelEmphasis,41
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,56
wavelet.HHH_firstorder_Skewness,60
wavelet.LHL_glcm_Correlation,6
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,4
wavelet.HHL_glcm_ClusterShade,15
wavelet.HHH_firstorder_Mean,29
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,17
wavelet.LHL_glcm_ClusterShade,59
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,6
original_shape_Flatness,8
wavelet.HHH_firstorder_Median,12
wavelet.LHH_glcm_ClusterShade,105
wavelet.LLH_firstorder_90Percentile,22
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,8
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,14
wavelet.LLH_firstorder_Median,4
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,6
lbp.3D.m1_glcm_ClusterShade,1
log.sigma.3.0.mm.3D_glcm_Correlation,1
wavelet.HHL_firstorder_Skewness,4
lbp.3D.m2_firstorder_90Percentile,1
lbp.3D.k_glszm_GrayLevelVariance,1
original_glszm_LargeAreaEmphasis,1
wavelet.HHL_firstorder_Kurtosis,1
lbp.3D.m2_firstorder_Skewness,1
wavelet.LHH_firstorder_Kurtosis,1
log.sigma.4.0.mm.3D_glcm_Correlation,1
wavelet.LHH_firstorder_Median,1
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,1
lbp.3D.m2_firstorder_Range,1
wavelet.HLH_firstorder_Skewness,1
wavelet.LHH_firstorder_Skewness,1
iter,250
