f,count
logarithm_firstorder_RootMeanSquared,214
log.sigma.2.0.mm.3D_glcm_ClusterShade,120
wavelet.HHL_glcm_Imc1,240
original_firstorder_10Percentile,179
log.sigma.2.0.mm.3D_firstorder_90Percentile,45
logarithm_gldm_GrayLevelNonUniformity,5
wavelet.LHH_glcm_Correlation,1
log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,70
wavelet.LHH_glcm_ClusterShade,19
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,17
lbp.3D.k_firstorder_Range,59
lbp.3D.k_glcm_Imc2,43
gradient_firstorder_10Percentile,49
wavelet.LLH_glcm_Contrast,2
wavelet.HLH_glrlm_RunLengthNonUniformityNormalized,63
wavelet.HHH_glcm_Correlation,16
wavelet.LHL_glcm_MaximumProbability,9
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,5
wavelet.HHH_firstorder_Median,56
wavelet.HLL_firstorder_Skewness,51
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,4
lbp.3D.m1_glcm_Correlation,4
wavelet.HHL_glcm_Correlation,17
original_glcm_Correlation,5
wavelet.HLH_firstorder_Kurtosis,10
logarithm_glcm_Imc2,2
wavelet.HLL_glcm_MaximumProbability,23
original_firstorder_Skewness,6
wavelet.HHH_glcm_ClusterShade,10
lbp.3D.m1_glcm_MaximumProbability,39
original_firstorder_Minimum,5
wavelet.HHH_firstorder_Mean,15
lbp.3D.m1_firstorder_Range,1
gradient_firstorder_InterquartileRange,15
gradient_glcm_Correlation,44
log.sigma.3.0.mm.3D_firstorder_Skewness,5
wavelet.HLH_glcm_Imc1,8
wavelet.HHH_glcm_JointEnergy,2
lbp.3D.m2_glrlm_RunPercentage,10
original_shape_SurfaceVolumeRatio,5
wavelet.HHH_firstorder_Skewness,9
log.sigma.2.0.mm.3D_firstorder_Kurtosis,4
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,4
lbp.3D.k_glcm_Idmn,4
lbp.3D.m2_glcm_MaximumProbability,7
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,1
original_shape_Sphericity,3
original_glrlm_ShortRunLowGrayLevelEmphasis,22
original_glszm_LargeAreaEmphasis,20
wavelet.HHL_firstorder_Kurtosis,6
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,1
wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,3
wavelet.LLH_glcm_Correlation,8
wavelet.HHH_glcm_Imc1,10
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,1
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,7
log.sigma.4.0.mm.3D_glcm_Idn,11
lbp.3D.k_glcm_Correlation,1
lbp.3D.k_firstorder_Minimum,11
wavelet.HHL_firstorder_Skewness,7
logarithm_glcm_Imc1,8
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,2
wavelet.LHH_firstorder_Skewness,3
wavelet.HHL_firstorder_Median,4
wavelet.HLH_glcm_Idmn,7
wavelet.HLL_firstorder_90Percentile,7
wavelet.HHL_glcm_JointEnergy,5
lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis,5
wavelet.HLH_glcm_Correlation,1
wavelet.LLH_firstorder_Median,3
original_glszm_LargeAreaLowGrayLevelEmphasis,1
logarithm_glcm_Idn,1
wavelet.HLL_glcm_Imc1,5
gradient_glcm_Imc1,3
logarithm_firstorder_Kurtosis,1
wavelet.HHL_glszm_SizeZoneNonUniformityNormalized,2
lbp.3D.k_glszm_GrayLevelVariance,3
wavelet.HLH_firstorder_10Percentile,1
original_shape_Flatness,2
lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation,2
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,2
lbp.3D.k_gldm_DependenceEntropy,6
logarithm_firstorder_Uniformity,6
lbp.3D.m1_glcm_DifferenceVariance,1
wavelet.LHL_glcm_ClusterTendency,1
log.sigma.3.0.mm.3D_glcm_InverseVariance,3
wavelet.LLH_glcm_Imc1,1
log.sigma.3.0.mm.3D_glcm_Correlation,1
wavelet.LLH_glcm_ClusterShade,1
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.LHH_firstorder_Median,1
lbp.3D.k_glszm_SmallAreaEmphasis,1
gradient_firstorder_Minimum,1
wavelet.LLH_firstorder_Skewness,1
log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,1
wavelet.HLL_gldm_DependenceVariance,1
wavelet.LHH_glszm_SmallAreaEmphasis,1
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.HHL_glcm_ClusterShade,1
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,2
wavelet.HLL_glrlm_LowGrayLevelRunEmphasis,2
log.sigma.3.0.mm.3D_firstorder_Kurtosis,1
wavelet.HLL_glszm_GrayLevelVariance,2
wavelet.HHH_firstorder_Kurtosis,2
wavelet.LLL_firstorder_InterquartileRange,2
lbp.3D.m2_glcm_DifferenceVariance,1
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.HHH_glszm_GrayLevelNonUniformity,1
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,1
iter,250
